Long Name,Symbol
DJ US Food & Beverage Index,^DJUSFB
DJ US Fixed Line Communications,^DJUSFC
DJ US Food Retailers & Wholesalers Index,^DJUSFD
DJ US Factory Equipment Index,^DJUSFE
DJ US Furnishings & Appliances Index,^DJUSFH
DJ US Food Products Index,^DJUSFP
DJ US Forest Products & Paper Index,^DJUSFR
DJ US Forest Products Index,^DJUSFS
DJ US Footwear Index,^DJUSFT
DJ US Large-cap Growth Index,^DJUSGL
DJ US Mid-cap Growth Index,^DJUSGM
DJ US Small-cap Growth Index,^DJUSGS
DJ US Gas Utilities Index,^DJUSGU
DJ US Home Construction Index,^DJUSHB
DJ US Household Durable Index,^DJUSHD
DJ US Home Constr & Furnishings Index,^DJUSHM
DJ US Household Non-Durable Index,^DJUSHN
DJ US Household Products Index,^DJUSHO
DJ US Healthcare Providers Index,^DJUSHP
DJ US Heavy Machinery Index,^DJUSHR
DJ US Heavy Construction Index,^DJUSHV
DJ US Industrial Diversified Index,^DJUSID
DJ US Insurance Full line,^DJUSIF
DJ US Insurance Life Index,^DJUSIL
DJ US Insurance Property & Casualty Index,^DJUSIP
DJ US Insurance Index,^DJUSIR
DJ US General Industrial Services Index,^DJUSIS
DJ US Industrial Transportation Index,^DJUSIT
DJ US Industrial Services Index,^DJUSIV
DJ US Lodging Index,^DJUSLG
DJ US Land Transportation Equip Index,^DJUSLT
DJ US Low Cap Index,^DJUSLW
DJ US Mining Diversified Index,^DJUSMD
DJ US Mining & Metals Index,^DJUSMM
DJ US Medical Products Index,^DJUSMP
DJ US Medical Supplies Index,^DJUSMS
DJ US Marine Transport Index,^DJUSMT
DJ US Non-Ferrous Index,^DJUSNF
DJ US Office Equipment Index,^DJUSOE
DJ US Oil Companies Major Index,^DJUSOL
DJ US Oil Companies Secondary Index,^DJUSOS
DJ US Publishing Index,^DJUSPB
DJ US Pollution Control Index,^DJUSPC
DJ US Pipelines Index,^DJUSPL
DJ US Paper Products Index,^DJUSPP
DJ US Retail Apparel Index,^DJUSRA
DJ US Retail Broadline Index,^DJUSRB
DJ US Retail Drug-based Index,^DJUSRD
DJ US Recreational Products & services Index,^DJUSRP
DJ US Railroads Index,^DJUSRR
DJ US Retail Specialty Index,^DJUSRS
DJ US Retailers Index,^DJUSRT
DJ US Restaurants Index,^DJUSRU
DJ US Security Brokers Index,^DJUSSB
DJ US Soft Srinks Index,^DJUSSD
DJ US Savings & Loan Index,^DJUSSL
DJ US Steel Index,^DJUSST
DJ US Technology Software Index,^DJUSSW
DJ US Textiles & Apparel Index,^DJUSTA
DJ US Tobacco Index,^DJUSTB
DJ US Trucking Index,^DJUSTK
DJ US Top-cap Index,^DJUSTP
DJ US Tires Index,^DJUSTR
DJ US Toys Index,^DJUSTY
DJ US Large-cap Value Index,^DJUSVL
DJ US Mid-cap Value Index,^DJUSVM
DJ US Small-cap Value Index,^DJUSVS
DJ US Water Utilities Index,^DJUSWU
DJ US Basic Resources,
DJ US Cyclical Goods & Svcs,
DJ US Financial Svcs,
DJ US Industrial Goods & Svcs,
DJ US Media,
DJ US Beverage,
DJ US Diversified Tech Svcs,
DJ US Food,
DJ US Tech Hardware & Equipment,
DJ US Tech Services,
DJ US Banks Ex. Savings & Loan,
DJ US Oil Drilling Eq & Svcs,
DJ US Transportation Svcs,
DJ US Internet Svcs,
