ticker,timeframe,signal_date,signal_type,current_price,sma,price_breakout,volume_breakout,trend_aligned,pvb_score,screen_type,signal_price,volume,volume_highest,days_since_signal,price_change_pct,volume_change_pct,volume_surge,score,signal_day_change_abs,signal_day_change_pct,performance_since_signal
KRE,daily,2025-08-22,Buy,65.4500,60.8098,False,False,False,0.0000,pvb,64.8400,29433300.0000,28311700.0000,14,7.6308,-33.1962,3.9616,8.9183,2.8300,4.5638,0.9408
LIT,daily,2025-07-14,Buy,50.5600,37.7904,False,False,False,0.0000,pvb,40.5500,1060100.0000,370600.0000,53,33.7905,43.7938,186.0496,135.4500,0.2500,0.6203,24.6856
LLY,daily,2025-08-07,Sell,727.2100,772.3025,False,False,False,0.0000,pvb,639.4554,26101600.0000,9176100.0000,29,-5.8387,-56.9098,184.4520,176.3430,34.7237,-5.1505,13.7233
LULU,daily,2025-09-05,Sell,167.8000,212.9712,False,False,False,0.0000,pvb,167.8000,36736100.0000,15476700.0000,0,-21.2100,137.3639,137.3639,259.8311,2.6600,1.6108,0.0000
MDY,daily,2025-08-22,Buy,602.8900,574.3062,False,False,False,0.0000,pvb,595.5600,1520500.0000,1426200.0000,14,4.9771,-64.0724,6.6120,8.2920,13.4700,2.3141,1.2308
META,daily,2025-07-31,Buy,752.4500,696.5676,False,False,False,0.0000,pvb,773.4400,38831100.0000,27077300.0000,36,8.0225,-64.3332,43.4083,42.1667,1.7600,-0.2270,-2.7138
MSFT,daily,2025-09-05,Close Buy,495.0000,509.7134,False,False,False,0.0000,pvb,495.0000,31971700.0000,51617300.0000,0,-2.8866,-38.0601,-38.0601,0.0000,14.0700,-2.7639,0.0000
NTRS,daily,2025-06-23,Buy,127.2700,101.1917,False,False,False,0.0000,pvb,120.8100,15633400.0000,3646800.0000,74,25.7712,-66.5076,328.6882,246.5990,1.8100,1.5210,5.3472
ORCL,daily,2025-09-05,Close Buy,232.8000,238.4447,False,False,False,0.0000,pvb,232.8000,15367400.0000,54610000.0000,0,-2.3673,-71.8597,-71.8597,0.0000,0.2500,0.1075,0.0000
PDD,daily,2025-08-22,Buy,124.6800,110.3276,False,False,False,0.0000,pvb,127.1100,20172300.0000,18974900.0000,14,13.0089,-55.2525,6.3104,15.6615,0.3700,-0.2902,-1.9117
PM,daily,2025-07-28,Close Buy,161.5500,177.2407,False,False,False,0.0000,pvb,157.7700,8676900.0000,19831800.0000,39,-8.8527,-79.5445,-56.2475,0.0000,1.8300,-1.1466,2.3959
PPA,daily,2025-07-17,Buy,147.4500,135.4562,False,False,False,0.0000,pvb,146.8100,388900.0000,367300.0000,50,8.8544,-47.1005,5.8808,11.1570,0.9600,0.6582,0.4359
PSJ,daily,2025-06-09,Buy,51.5600,41.9120,False,False,False,0.0000,pvb,46.8930,347338.0000,179101.0000,88,23.0196,-75.3463,93.9341,72.9934,0.1399,0.2993,9.9524
REM,daily,2025-09-05,Buy,23.5800,22.1396,False,False,False,0.0000,pvb,23.5800,1349800.0000,746000.0000,0,6.5060,80.9383,80.9383,89.4143,0.1000,0.4259,0.0000
RING,daily,2025-09-03,Buy,56.9400,46.9728,False,False,False,0.0000,pvb,55.8300,2116500.0000,1380900.0000,2,21.2191,-67.5429,53.2696,59.8784,0.6400,-1.1333,1.9882
SLVP,daily,2025-09-02,Buy,23.3200,18.9414,False,False,False,0.0000,pvb,22.7200,757600.0000,529200.0000,3,23.1166,-44.3122,43.1595,56.4045,0.2800,1.2478,2.6408
SPGI,daily,2025-07-31,Buy,538.0600,518.8590,False,False,False,0.0000,pvb,550.1410,2494700.0000,2251700.0000,36,3.7006,-59.1287,10.7918,15.4506,15.9422,2.9843,-2.1960
UNH,daily,2025-08-21,Close Sell,315.3900,288.7171,False,False,False,0.0000,pvb,303.3500,13359000.0000,68198500.0000,15,9.2384,-79.3278,-80.4116,0.0000,1.0600,0.3507,3.9690
VHT,daily,2025-06-16,Close Sell,257.0000,245.5276,False,False,False,0.0000,pvb,248.6605,262000.0000,1384600.0000,81,4.6726,-85.9598,-81.0776,0.0000,1.2451,-0.4982,3.3538
VOX,daily,2025-07-24,Buy,185.8000,164.7366,False,False,False,0.0000,pvb,173.8600,1064800.0000,854000.0000,43,12.7861,-82.0609,24.6838,21.2844,1.6500,-0.9401,6.8676
VRSN,daily,2025-08-04,Close Buy,280.0900,280.6704,False,False,False,0.0000,pvb,267.5182,1194700.0000,3755700.0000,32,-0.2068,-81.8250,-68.1897,0.0000,1.6253,0.6113,4.6994
XBI,daily,2025-06-06,Close Sell,95.4700,78.9099,False,False,False,0.0000,pvb,84.2528,10003500.0000,36123800.0000,91,20.9861,-63.5631,-72.3077,0.0000,1.0399,1.2497,13.3137
XHB,daily,2025-07-01,Buy,119.3600,95.9378,False,False,False,0.0000,pvb,102.6600,6636800.0000,5925300.0000,66,24.4140,-53.1230,12.0078,13.9446,4.6700,4.7658,16.2673
XLE,daily,2025-06-12,Close Sell,87.3600,81.6750,False,False,False,0.0000,pvb,85.8913,17014100.0000,59481200.0000,85,6.9605,-59.4991,-71.3958,0.0000,0.6943,0.8150,1.7100
XLV,daily,2025-06-16,Close Sell,137.9000,134.1460,False,False,False,0.0000,pvb,135.0652,14171000.0000,39444700.0000,81,2.7984,-62.8249,-64.0738,0.0000,0.7066,-0.5204,2.0988
XLY,daily,2025-09-04,Buy,235.1100,224.3088,False,False,False,0.0000,pvb,235.1600,12331200.0000,11330200.0000,1,4.8153,36.7893,8.8348,13.7834,2.4400,1.0485,-0.0213
^DJUSST,daily,2025-06-02,Buy,597.1600,496.4334,False,False,False,0.0000,pvb,534.0800,150266600.0000,107052100.0000,88,20.2900,-84.2960,40.3677,34.5956,20.9700,4.0868,11.8110
