ticker,date,current_price,data_points,ema_10,ema_10_slope,sma_20,sma_20_slope,sma_50,sma_50_slope,macd,macd_signal,macd_histogram,rsi_14,price_position_52w,atr,atr_pct,atr_percentile_100,atrext_dollar,atrext_percent,weekly_stage_code,weekly_stage_color_code,weekly_stage_name,weekly_momentum_20,weekly_ma_alignment,weekly_price_vs_ema_fast,weekly_price_vs_sma_medium,weekly_price_vs_sma_slow,weekly_pct_change,weekly_abs_pct_change,weekly_5period_pct_change,weekly_10period_pct_change,weekly_atr_ratio,timeframe
CAT,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGLB,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAM.U,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVAI,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRMN,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLF,2025-08-18,52.87,86,52.00,0.15,50.75,0.23,49.27,0.18,1.11,1.04,0.07,55.48,0.97,1.68,3.17,,2.15,2.31,2A,green_light,Bullish Trend,9.11,Bullish,1.68,4.18,7.31,0.78,0.78,-1.07,5.34,2.86,weekly
XLE,2025-08-18,85.79,86,85.72,-0.00,84.25,-0.06,86.51,-0.02,0.03,-0.17,0.20,51.86,0.51,3.66,4.26,,-0.20,-0.19,1B,yellow,Mean Reversion,6.21,Mixed,0.08,1.83,-0.83,0.27,0.27,-1.50,-2.80,3.84,weekly
XLK,2025-08-18,259.85,86,255.56,2.30,238.76,2.79,231.56,0.97,11.25,8.71,2.54,69.30,0.93,10.47,4.03,,2.70,3.03,2A,green_light,Bullish Trend,26.97,Bullish,1.68,8.84,12.22,-2.20,2.20,-0.82,8.21,3.64,weekly
XLV,2025-08-18,137.50,86,134.44,0.07,134.05,-0.43,140.28,-0.34,-1.55,-2.16,0.61,56.72,0.31,4.78,3.47,,-0.58,-0.57,1B,yellow,Mean Reversion,-1.02,Mixed,2.28,2.57,-1.98,0.95,0.95,0.75,4.19,3.23,weekly
XLI,2025-08-18,151.22,86,148.90,0.80,142.91,1.15,137.77,0.51,4.91,4.32,0.59,63.06,0.92,4.54,3.00,,2.96,3.25,2A,green_light,Bullish Trend,16.73,Bullish,1.56,5.82,9.76,0.52,0.52,-2.43,6.54,2.81,weekly
XLB,2025-08-18,90.12,86,89.02,0.17,86.87,0.29,87.97,0.00,1.00,0.62,0.38,57.70,0.68,3.06,3.39,,0.70,0.72,2A,green_light,Bullish Trend,8.83,Mixed,1.24,3.74,2.45,0.10,0.10,-2.44,4.81,3.17,weekly
XLRE,2025-08-18,41.83,86,41.54,0.03,41.19,0.06,41.44,0.00,0.21,0.19,0.03,51.23,0.79,1.30,3.11,,0.30,0.30,LP,purple,Launch Pad,3.41,Mixed,0.70,1.55,0.93,1.21,1.21,-2.24,0.90,2.78,weekly
XLP,2025-08-18,83.22,86,81.64,0.16,81.14,0.13,80.07,0.05,0.69,0.57,0.12,56.27,1.00,2.02,2.43,,1.55,1.62,2A,green_light,Bullish Trend,1.64,Bullish,1.93,2.56,3.93,1.46,1.46,2.11,3.42,2.23,weekly
XLY,2025-08-18,227.58,86,221.43,1.25,212.64,1.46,212.01,0.86,5.15,3.54,1.61,60.15,0.90,8.83,3.88,,1.76,1.89,2A,green_light,Bullish Trend,15.07,Bullish,2.78,7.03,7.34,-0.64,0.64,1.21,8.25,3.49,weekly
