ticker,description,market_cap,market_cap_currency,sector,industry,exchange,analyst rating,upcoming earnings date,recent earnings date,index,NASDAQComposite,SP500,SP500ConsumerDiscretionary,Russell3000,Russell1000,NASDAQIndustrials,NASDAQBank,NasdaqUSLargeCapGrowth,Russell2000,SPMidCap400,MiniRussell2000,SP500ESG,NASDAQ100,SP100,NASDAQUSBenchmarkFoodProducers,NasdaqUSSmallCapGrowth,NASDAQComputer,DowJonesIndustrialAverage,KBWNASDAQBank,SP500Financials,DowJonesCompositeAverage,SP500HealthCare,NASDAQBiotechnology,SP500Industrials,PHLXSemiconductorSector,SP500InformationTechnology,SP500CommunicationServices,NASDAQTelecommunications,NASDAQRealEstateandOtherFinancialServices,NASDAQ100TechnologySector,NASDAQCBInsightsMetaverseUSIndex,NasdaqUSMidCapGrowth,PHLXHousingSector,SP500Energy,NYSEArcaMajorMarket,SP500Materials,SP500ConsumerStaples,NASDAQInsurance,NASDAQTransportation,DowJonesTransportationAverage,ISECTACloudComputing,KBWNASDAQFinancialTechnologyIndex,NASDAQCleanEdgeGreenEnergy,SP500RealEstate,NASDAQGoldenDragonChina,SP500Utilities,PHLXUtilitiesSector,DowJonesUtilityAverage,PHLXGoldSilverSector,PHLXOilServiceSector,MainIndex,filter_applied,universe_name,generation_source,generation_date
ECDA,"ECD Automotive Design, Inc.",7619391.0,USD,Producer manufacturing,Auto parts: OEM,NASDAQ,Neutral,2026-03-31,2025-08-20,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,industry=Auto parts: OEM,ticker_universe_industry_Auto_parts_OEM,simple_universe_generator,2025-09-16T08:55:55.604937
SRI,"Stoneridge, Inc.",232173839.0,USD,Producer manufacturing,Auto parts: OEM,NYSE,Strong buy,2025-10-29,2025-08-06,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,industry=Auto parts: OEM,ticker_universe_industry_Auto_parts_OEM,simple_universe_generator,2025-09-16T08:55:55.604937
ADNT,Adient plc,2045772439.0,USD,Producer manufacturing,Auto parts: OEM,NYSE,Neutral,2025-11-05,2025-08-06,"Russell 2000, Russell 3000, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,industry=Auto parts: OEM,ticker_universe_industry_Auto_parts_OEM,simple_universe_generator,2025-09-16T08:55:55.604937
WKSP,"Worksport, Ltd.",19992534.0,USD,Producer manufacturing,Auto parts: OEM,NASDAQ,Strong buy,2025-11-12,2025-08-13,"NASDAQ Composite, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,industry=Auto parts: OEM,ticker_universe_industry_Auto_parts_OEM,simple_universe_generator,2025-09-16T08:55:55.604937
FOXF,Fox Factory Holding Corp.,1237714607.0,USD,Producer manufacturing,Auto parts: OEM,NASDAQ,Buy,2025-10-30,2025-08-07,"NASDAQ Composite, Russell 2000, Russell 3000, NASDAQ Industrials, Mini-Russell 2000",True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,industry=Auto parts: OEM,ticker_universe_industry_Auto_parts_OEM,simple_universe_generator,2025-09-16T08:55:55.604937
REE,REE Automotive Ltd.,22331938.0,USD,Producer manufacturing,Auto parts: OEM,NASDAQ,Neutral,2025-08-27,2025-05-20,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,industry=Auto parts: OEM,ticker_universe_industry_Auto_parts_OEM,simple_universe_generator,2025-09-16T08:55:55.604937
EVTV,"Envirotech Vehicles, Inc.",8190866.0,USD,Producer manufacturing,Auto parts: OEM,NASDAQ,Neutral,2025-11-18,2025-08-18,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,industry=Auto parts: OEM,ticker_universe_industry_Auto_parts_OEM,simple_universe_generator,2025-09-16T08:55:55.604937
FRSX,Foresight Autonomous Holdings Ltd.,9764570.94984,USD,Producer manufacturing,Auto parts: OEM,NASDAQ,Neutral,2025-11-20,2025-03-24,"NASDAQ Composite, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,industry=Auto parts: OEM,ticker_universe_industry_Auto_parts_OEM,simple_universe_generator,2025-09-16T08:55:55.604937
SBLX,"StableX Technologies, Inc.",4194228.0,USD,Producer manufacturing,Auto parts: OEM,NASDAQ,Neutral,2025-11-17,2025-08-14,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,industry=Auto parts: OEM,ticker_universe_industry_Auto_parts_OEM,simple_universe_generator,2025-09-16T08:55:55.604937
MKDW,MKDWELL Tech Inc.,29901545.0,USD,Producer manufacturing,Auto parts: OEM,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,industry=Auto parts: OEM,ticker_universe_industry_Auto_parts_OEM,simple_universe_generator,2025-09-16T08:55:55.604937
CREV,Carbon Revolution Public Limited Company,7993179.0,USD,Producer manufacturing,Auto parts: OEM,NASDAQ,Neutral,2026-05-20,2024-04-09,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,industry=Auto parts: OEM,ticker_universe_industry_Auto_parts_OEM,simple_universe_generator,2025-09-16T08:55:55.604937
