ticker,description,market_cap,market_cap_currency,sector,industry,exchange,analyst rating,upcoming earnings date,recent earnings date,index,NASDAQComposite,SP500,SP500ConsumerDiscretionary,Russell3000,Russell1000,NASDAQIndustrials,NASDAQBank,NasdaqUSLargeCapGrowth,Russell2000,SPMidCap400,MiniRussell2000,SP500ESG,NASDAQ100,SP100,NASDAQUSBenchmarkFoodProducers,NasdaqUSSmallCapGrowth,NASDAQComputer,DowJonesIndustrialAverage,KBWNASDAQBank,SP500Financials,DowJonesCompositeAverage,SP500HealthCare,NASDAQBiotechnology,SP500Industrials,PHLXSemiconductorSector,SP500InformationTechnology,SP500CommunicationServices,NASDAQTelecommunications,NASDAQRealEstateandOtherFinancialServices,NASDAQ100TechnologySector,NASDAQCBInsightsMetaverseUSIndex,NasdaqUSMidCapGrowth,PHLXHousingSector,SP500Energy,NYSEArcaMajorMarket,SP500Materials,SP500ConsumerStaples,NASDAQInsurance,NASDAQTransportation,DowJonesTransportationAverage,ISECTACloudComputing,KBWNASDAQFinancialTechnologyIndex,NASDAQCleanEdgeGreenEnergy,SP500RealEstate,NASDAQGoldenDragonChina,SP500Utilities,PHLXUtilitiesSector,DowJonesUtilityAverage,PHLXGoldSilverSector,PHLXOilServiceSector,MainIndex,filter_applied,universe_name,generation_source,generation_date
SNEX,StoneX Group Inc.,5176289685.0,USD,Finance,Investment banks/Brokers,NASDAQ,Strong buy,2025-12-10,2025-08-05,"NASDAQ Composite, Russell 2000, Russell 3000, Mini-Russell 2000, NASDAQ Real Estate and Other Financial Services",True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
SEIC,SEI Investments Company,11167051990.0,USD,Finance,Investment managers,NASDAQ,Buy,2025-10-22,2025-07-23,"NASDAQ Composite, S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, NASDAQ Real Estate and Other Financial Services",True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
HLNE,Hamilton Lane Incorporated,8593477144.0,USD,Finance,Investment managers,NASDAQ,Neutral,2025-11-04,2025-08-05,"NASDAQ Composite, S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000, NASDAQ Real Estate and Other Financial Services",True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
PFG,Principal Financial Group Inc,17943997927.0,USD,Finance,Investment managers,NASDAQ,Neutral,2025-10-23,2025-07-28,"S&P 500, NASDAQ Composite, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG, NASDAQ Real Estate and Other Financial Services",True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
ACT,"Enact Holdings, Inc.",5624389266.0,USD,Finance,Multi-line insurance,NASDAQ,Neutral,2025-11-04,2025-07-30,"NASDAQ Composite, Russell 2000, Russell 3000, Mini-Russell 2000, NASDAQ Real Estate and Other Financial Services",True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
LAMR,Lamar Advertising Company,12681689041.0,USD,Finance,Real estate investment trusts,NASDAQ,Buy,2025-10-30,2025-08-08,"NASDAQ Composite, S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, NASDAQ Real Estate and Other Financial Services",True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
JFIN,Jiayin Group Inc.,733831257.0,USD,Finance,Finance/Rental/Leasing,NASDAQ,Neutral,2025-11-19,2025-08-20,"NASDAQ Composite, NASDAQ Golden Dragon China, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
VCTR,"Victory Capital Holdings, Inc. Class A Common Stock",4777014990.0,USD,Finance,Investment managers,NASDAQ,Buy,2025-10-30,2025-08-07,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000, NASDAQ Real Estate and Other Financial Services",True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
CG,The Carlyle Group Inc.,23463797533.0,USD,Finance,Investment managers,NASDAQ,Buy,2025-11-11,2025-08-06,"NASDAQ Composite, S&P MidCap 400, Russell 3000, Russell 1000, NASDAQ Real Estate and Other Financial Services",True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
FSV,FirstService Corporation,9177998864.54549,USD,Finance,Real estate development,NASDAQ,Buy,2025-10-23,2025-07-24,"NASDAQ Composite, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
