date,timeframe,monthly_mb_total_stocks,monthly_mb_advancing_stocks,monthly_mb_declining_stocks,monthly_mb_unchanged_stocks,monthly_mb_net_advances,monthly_mb_ad_ratio,monthly_mb_ad_line,monthly_mb_advance_pct,monthly_mb_decline_pct,monthly_mb_avg_pct_change,monthly_mb_pct_change_volatility,monthly_mb_long_new_highs,monthly_mb_long_new_lows,monthly_mb_total_stocks_hl_long,monthly_mb_net_long_new_highs,monthly_mb_hl_ratio_long,monthly_mb_long_new_highs_pct,monthly_mb_long_new_lows_pct,monthly_mb_net_hl_line_long,monthly_mb_medium_new_highs,monthly_mb_medium_new_lows,monthly_mb_total_stocks_hl_medium,monthly_mb_net_medium_new_highs,monthly_mb_hl_ratio_medium,monthly_mb_medium_new_highs_pct,monthly_mb_medium_new_lows_pct,monthly_mb_net_hl_line_medium,monthly_mb_short_new_highs,monthly_mb_short_new_lows,monthly_mb_total_stocks_hl_short,monthly_mb_net_short_new_highs,monthly_mb_hl_ratio_short,monthly_mb_short_new_highs_pct,monthly_mb_short_new_lows_pct,monthly_mb_net_hl_line_short,monthly_mb_stocks_above_ma_3,monthly_mb_total_stocks_ma_3,monthly_mb_pct_above_ma_3,monthly_mb_stocks_above_ma_6,monthly_mb_total_stocks_ma_6,monthly_mb_pct_above_ma_6,monthly_mb_stocks_above_ma_12,monthly_mb_total_stocks_ma_12,monthly_mb_pct_above_ma_12,monthly_mb_long_new_highs_gt_100,monthly_mb_long_success_condition,monthly_mb_medium_new_highs_gt_100,monthly_mb_medium_success_condition,monthly_mb_short_new_highs_gt_100,monthly_mb_short_success_condition,monthly_mb_ad_ratio_gt_2_0,monthly_mb_ad_ratio_lt_0_5,monthly_mb_strong_advance_breadth,monthly_mb_weak_advance_breadth,monthly_mb_timeframe,monthly_mb_universe,monthly_mb_hl_periods,monthly_mb_ma_periods,monthly_mb_bullish_momentum_5d,monthly_mb_bearish_momentum_5d,monthly_mb_net_momentum_5d,monthly_mb_bullish_momentum_10d,monthly_mb_bearish_momentum_10d,monthly_mb_net_momentum_10d,monthly_mb_bullish_momentum_20d,monthly_mb_bearish_momentum_20d,monthly_mb_net_momentum_20d,monthly_mb_overall_breadth_score,monthly_mb_breadth_rating,monthly_mb_signal_strength,monthly_mb_threshold_classification,monthly_mb_market_participation
2024-01-17,monthly,101,30,71,0,-41,0.42,-45,29.70,70.30,-0.54,1.10,10,29,101,-19,0.34,9.90,28.71,-3,17,69,101,-52,0.25,16.83,68.32,-23,101,101,101,0,1.00,100.00,100.00,0,26,101,25.74,36,101,35.64,57,101,56.44,0,0,0,0,1,1,0,1,0,1,monthly,NASDAQ100,12;3;1,3;6;12,0.00,0.20,-0.20,0.10,0.20,-0.10,0.09,0.27,-0.18,5.94,Very Poor,Weak Signal (Bearish),Neutral,29.70
2024-01-18,monthly,101,84,17,0,67,4.94,22,83.17,16.83,1.29,1.77,25,9,101,16,2.78,24.75,8.91,13,50,19,101,31,2.63,49.50,18.81,8,101,101,101,0,1.00,100.00,100.00,0,76,101,75.25,63,101,62.38,68,101,67.33,0,0,0,0,1,1,1,0,1,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.20,0.00,0.20,0.10,0.10,0.17,0.25,-0.08,16.63,Very Poor,Weak Signal (Bullish),Advance/Decline Thrust (Bullish),83.17
2024-01-19,monthly,101,86,15,0,71,5.73,93,85.15,14.85,1.62,1.82,56,7,101,49,8.00,55.45,6.93,62,78,9,101,69,8.67,77.23,8.91,77,101,101,101,0,1.00,100.00,100.00,0,89,101,88.12,80,101,79.21,76,101,75.25,0,0,0,0,1,1,1,0,1,0,monthly,NASDAQ100,12;3;1,3;6;12,0.40,0.20,0.20,0.30,0.10,0.20,0.23,0.23,0.00,17.03,Very Poor,Weak Signal (Bullish),Advance/Decline Thrust (Bullish),85.15
2024-01-22,monthly,101,67,34,0,33,1.97,126,66.34,33.66,0.43,1.88,64,9,101,55,7.11,63.37,8.91,117,84,12,101,72,7.00,83.17,11.88,149,101,101,101,0,1.00,100.00,100.00,0,80,101,79.21,87,101,86.14,78,101,77.23,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.40,0.20,0.20,0.30,0.10,0.20,0.21,0.21,0.00,13.27,Very Poor,Neutral,Neutral,66.34
2024-01-23,monthly,101,66,35,0,31,1.89,157,65.35,34.65,0.33,1.24,31,5,101,26,6.20,30.69,4.95,143,38,15,101,23,2.53,37.62,14.85,172,101,101,101,0,1.00,100.00,100.00,0,71,101,70.30,85,101,84.16,82,101,81.19,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.40,0.20,0.20,0.20,0.10,0.10,0.20,0.20,0.00,13.07,Very Poor,Neutral,Neutral,65.35
2024-01-24,monthly,101,35,66,0,-31,0.53,126,34.65,65.35,-0.21,2.19,53,6,101,47,8.83,52.48,5.94,190,60,34,101,26,1.76,59.41,33.66,198,101,101,101,0,1.00,100.00,100.00,0,40,101,39.60,67,101,66.34,71,101,70.30,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.40,0.00,0.40,0.20,0.10,0.10,0.19,0.19,0.00,6.93,Very Poor,Neutral,Neutral,34.65
2024-01-25,monthly,101,65,36,0,29,1.81,155,64.36,35.64,0.27,1.87,35,5,101,30,7.00,34.65,4.95,220,43,37,101,6,1.16,42.57,36.63,204,101,101,101,0,1.00,100.00,100.00,0,56,101,55.45,65,101,64.36,72,101,71.29,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.00,0.20,0.20,0.10,0.10,0.18,0.18,0.00,12.87,Very Poor,Neutral,Neutral,64.36
2024-01-26,monthly,101,47,54,0,-7,0.87,148,46.53,53.47,-0.33,2.13,17,3,101,14,5.67,16.83,2.97,234,27,35,101,-8,0.77,26.73,34.65,196,101,101,101,0,1.00,100.00,100.00,0,58,101,57.43,49,101,48.51,72,101,71.29,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.00,0.00,0.00,0.20,0.10,0.10,0.17,0.17,0.00,9.31,Very Poor,Neutral,Neutral,46.53
2024-01-29,monthly,101,87,14,0,73,6.21,221,86.14,13.86,1.05,1.60,23,4,101,19,5.75,22.77,3.96,253,46,25,101,21,1.84,45.54,24.75,217,101,101,101,0,1.00,100.00,100.00,0,83,101,82.18,75,101,74.26,84,101,83.17,0,0,0,0,1,1,1,0,1,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.00,0.20,0.30,0.10,0.20,0.21,0.16,0.05,17.23,Very Poor,Weak Signal (Bullish),Advance/Decline Thrust (Bullish),86.14
2024-01-30,monthly,101,40,61,0,-21,0.66,200,39.60,60.40,-0.63,1.53,26,2,101,24,13.00,25.74,1.98,277,57,23,101,34,2.48,56.44,22.77,251,101,101,101,0,1.00,100.00,100.00,0,60,101,59.41,67,101,66.34,74,101,73.27,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.00,0.20,0.30,0.10,0.20,0.20,0.15,0.05,7.92,Very Poor,Neutral,Neutral,39.60
2024-01-31,monthly,101,11,90,0,-79,0.12,121,10.89,89.11,-1.56,1.53,17,6,101,11,2.83,16.83,5.94,288,28,64,101,-36,0.44,27.72,63.37,215,101,101,101,0,1.00,100.00,100.00,0,6,101,5.94,21,101,20.79,40,101,39.60,0,0,0,0,1,1,0,1,0,1,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.20,0.00,0.30,0.10,0.20,0.20,0.15,0.05,2.18,Very Poor,Weak Signal (Bearish),Neutral,10.89
2024-02-01,monthly,101,84,16,1,68,5.25,189,83.17,15.84,1.05,1.40,12,9,101,3,1.33,11.88,8.91,291,25,49,101,-24,0.51,24.75,48.51,191,101,101,101,0,1.00,100.00,100.00,0,65,101,64.36,53,101,52.48,63,101,62.38,0,0,0,0,1,1,1,0,1,0,monthly,NASDAQ100,12;3;1,3;6;12,0.40,0.20,0.20,0.30,0.10,0.20,0.25,0.10,0.15,16.63,Very Poor,Weak Signal (Bullish),Advance/Decline Thrust (Bullish),83.17
2024-02-02,monthly,101,61,39,1,22,1.56,211,60.40,38.61,0.53,3.74,23,18,101,5,1.28,22.77,17.82,296,49,26,101,23,1.88,48.51,25.74,214,101,101,101,0,1.00,100.00,100.00,0,71,101,70.30,57,101,56.44,62,101,61.39,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.40,0.20,0.20,0.20,0.10,0.10,0.25,0.10,0.15,12.08,Very Poor,Neutral,Neutral,60.40
2024-02-05,monthly,101,33,68,0,-35,0.49,176,32.67,67.33,-0.44,2.13,13,18,101,-5,0.72,12.87,17.82,291,32,30,101,2,1.07,31.68,29.70,216,101,101,101,0,1.00,100.00,100.00,0,40,101,39.60,45,101,44.55,49,101,48.51,0,0,0,0,1,1,0,1,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.20,0.00,0.20,0.10,0.10,0.25,0.10,0.15,6.53,Very Poor,Weak Signal (Bearish),Neutral,32.67
2024-02-06,monthly,101,56,44,1,12,1.27,188,55.45,43.56,0.57,3.67,19,12,101,7,1.58,18.81,11.88,298,43,35,101,8,1.23,42.57,34.65,224,101,101,101,0,1.00,100.00,100.00,0,49,101,48.51,54,101,53.47,51,101,50.50,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.20,0.00,0.20,0.10,0.10,0.20,0.10,0.10,11.09,Very Poor,Neutral,Neutral,55.45
2024-02-07,monthly,101,76,25,0,51,3.04,239,75.25,24.75,0.92,2.00,30,8,101,22,3.75,29.70,7.92,320,66,14,101,52,4.71,65.35,13.86,276,101,101,101,0,1.00,100.00,100.00,0,80,101,79.21,70,101,69.31,59,101,58.42,0,0,0,0,1,1,1,0,1,0,monthly,NASDAQ100,12;3;1,3;6;12,0.40,0.00,0.40,0.30,0.10,0.20,0.25,0.10,0.15,15.05,Very Poor,Weak Signal (Bullish),Advance/Decline Thrust (Bullish),75.25
2024-02-08,monthly,101,69,32,0,37,2.16,276,68.32,31.68,1.05,5.36,28,13,101,15,2.15,27.72,12.87,335,49,17,101,32,2.88,48.51,16.83,308,101,101,101,0,1.00,100.00,100.00,0,67,101,66.34,71,101,70.30,63,101,62.38,0,0,0,0,1,1,1,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.00,0.20,0.30,0.10,0.20,0.25,0.10,0.15,13.66,Very Poor,Weak Signal (Bullish),Advance/Decline Thrust (Bullish),68.32
2024-02-09,monthly,101,71,30,0,41,2.37,317,70.30,29.70,0.76,2.25,26,7,101,19,3.71,25.74,6.93,354,48,18,101,30,2.67,47.52,17.82,338,101,101,101,0,1.00,100.00,100.00,0,69,101,68.32,77,101,76.24,67,101,66.34,0,0,0,0,1,1,1,0,1,0,monthly,NASDAQ100,12;3;1,3;6;12,0.40,0.00,0.40,0.40,0.10,0.30,0.30,0.10,0.20,14.06,Very Poor,Weak Signal (Bullish),Advance/Decline Thrust (Bullish),70.30
2024-02-12,monthly,101,42,59,0,-17,0.71,300,41.58,58.42,0.38,3.56,20,4,101,16,5.00,19.80,3.96,370,48,22,101,26,2.18,47.52,21.78,364,101,101,101,0,1.00,100.00,100.00,0,53,101,52.48,71,101,70.30,67,101,66.34,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.40,0.00,0.40,0.30,0.10,0.20,0.30,0.10,0.20,8.32,Very Poor,Neutral,Neutral,41.58
2024-02-13,monthly,101,5,96,0,-91,0.05,209,4.95,95.05,-1.98,2.53,3,23,101,-20,0.13,2.97,22.77,350,11,76,101,-65,0.14,10.89,75.25,299,101,101,101,0,1.00,100.00,100.00,0,9,101,8.91,26,101,25.74,47,101,46.53,0,0,0,0,1,1,0,1,0,1,monthly,NASDAQ100,12;3;1,3;6;12,0.40,0.20,0.20,0.30,0.20,0.10,0.30,0.15,0.15,0.99,Very Poor,Weak Signal (Bearish),Neutral,4.95
2024-02-14,monthly,101,82,19,0,63,4.32,272,81.19,18.81,1.36,1.96,8,6,101,2,1.33,7.92,5.94,352,17,15,101,2,1.13,16.83,14.85,301,101,101,101,0,1.00,100.00,100.00,0,59,101,58.42,48,101,47.52,62,101,61.39,0,0,0,0,1,1,1,0,1,0,monthly,NASDAQ100,12;3;1,3;6;12,0.40,0.20,0.20,0.40,0.10,0.30,0.35,0.10,0.25,16.24,Very Poor,Weak Signal (Bullish),Advance/Decline Thrust (Bullish),81.19
2024-02-15,monthly,101,67,33,1,34,2.03,306,66.34,32.67,0.95,3.08,27,4,101,23,6.75,26.73,3.96,375,66,9,101,57,7.33,65.35,8.91,358,101,101,101,0,1.00,100.00,100.00,0,78,101,77.23,63,101,62.38,67,101,66.34,0,0,0,0,1,1,1,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.40,0.20,0.20,0.30,0.10,0.20,0.30,0.10,0.20,13.27,Very Poor,Weak Signal (Bullish),Advance/Decline Thrust (Bullish),66.34
2024-02-16,monthly,101,20,80,1,-60,0.25,246,19.80,79.21,-0.76,2.49,20,8,101,12,2.50,19.80,7.92,387,38,36,101,2,1.06,37.62,35.64,360,101,101,101,0,1.00,100.00,100.00,0,37,101,36.63,44,101,43.56,51,101,50.50,0,0,0,0,1,1,0,1,0,1,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.40,-0.20,0.30,0.20,0.10,0.25,0.15,0.10,3.96,Very Poor,Weak Signal (Bearish),Neutral,19.80
2024-02-20,monthly,101,37,64,0,-27,0.58,219,36.63,63.37,-0.59,1.68,8,17,101,-9,0.47,7.92,16.83,378,22,64,101,-42,0.34,21.78,63.37,318,101,101,101,0,1.00,100.00,100.00,0,30,101,29.70,43,101,42.57,48,101,47.52,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.40,-0.20,0.30,0.20,0.10,0.25,0.15,0.10,7.33,Very Poor,Neutral,Neutral,36.63
2024-02-21,monthly,101,56,45,0,11,1.24,230,55.45,44.55,-0.58,3.60,11,17,101,-6,0.65,10.89,16.83,372,28,45,101,-17,0.62,27.72,44.55,301,101,101,101,0,1.00,100.00,100.00,0,44,101,43.56,46,101,45.54,51,101,50.50,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.20,0.00,0.30,0.20,0.10,0.25,0.15,0.10,11.09,Very Poor,Neutral,Neutral,55.45
2024-02-22,monthly,101,84,17,0,67,4.94,297,83.17,16.83,2.15,2.66,33,2,101,31,16.50,32.67,1.98,403,71,8,101,63,8.88,70.30,7.92,364,101,101,101,0,1.00,100.00,100.00,0,88,101,87.13,79,101,78.22,69,101,68.32,0,0,0,0,1,1,1,0,1,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.20,0.00,0.30,0.20,0.10,0.30,0.15,0.15,16.63,Very Poor,Weak Signal (Bullish),Advance/Decline Thrust (Bullish),83.17
2024-02-23,monthly,101,53,47,1,6,1.13,303,52.48,46.53,-0.25,2.32,29,5,101,24,5.80,28.71,4.95,427,65,9,101,56,7.22,64.36,8.91,420,101,101,101,0,1.00,100.00,100.00,0,77,101,76.24,76,101,75.25,70,101,69.31,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.20,0.00,0.30,0.20,0.10,0.30,0.15,0.15,10.50,Very Poor,Neutral,Neutral,52.48
2024-02-26,monthly,101,53,47,1,6,1.13,309,52.48,46.53,0.52,2.48,23,5,101,18,4.60,22.77,4.95,445,39,21,101,18,1.86,38.61,20.79,438,101,101,101,0,1.00,100.00,100.00,0,52,101,51.49,71,101,70.30,69,101,68.32,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.00,0.20,0.20,0.20,0.00,0.30,0.15,0.15,10.50,Very Poor,Neutral,Neutral,52.48
2024-02-27,monthly,101,50,50,1,0,1.00,309,49.50,49.50,0.44,2.41,17,7,101,10,2.43,16.83,6.93,455,36,40,101,-4,0.90,35.64,39.60,434,101,101,101,0,1.00,100.00,100.00,0,52,101,51.49,72,101,71.29,66,101,65.35,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.00,0.20,0.20,0.20,0.00,0.25,0.15,0.10,9.90,Very Poor,Neutral,Neutral,49.50
2024-02-28,monthly,101,30,71,0,-41,0.42,268,29.70,70.30,-0.22,2.27,12,8,101,4,1.50,11.88,7.92,459,23,50,101,-27,0.46,22.77,49.50,407,101,101,101,0,1.00,100.00,100.00,0,28,101,27.72,47,101,46.53,61,101,60.40,0,0,0,0,1,1,0,1,0,1,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.20,0.00,0.20,0.20,0.00,0.25,0.20,0.05,5.94,Very Poor,Weak Signal (Bearish),Neutral,29.70
2024-02-29,monthly,101,67,34,0,33,1.97,301,66.34,33.66,0.80,2.05,18,5,101,13,3.60,17.82,4.95,472,43,27,101,16,1.59,42.57,26.73,423,101,101,101,0,1.00,100.00,100.00,0,66,101,65.35,64,101,63.37,72,101,71.29,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.00,0.20,-0.20,0.10,0.20,-0.10,0.25,0.15,0.10,13.27,Very Poor,Neutral,Neutral,66.34
2024-03-01,monthly,101,71,30,0,41,2.37,342,70.30,29.70,1.07,2.43,34,9,101,25,3.78,33.66,8.91,497,57,30,101,27,1.90,56.44,29.70,450,101,101,101,0,1.00,100.00,100.00,0,73,101,72.28,68,101,67.33,73,101,72.28,0,0,0,0,1,1,1,0,1,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.20,0.00,0.20,0.20,0.00,0.25,0.15,0.10,14.06,Very Poor,Weak Signal (Bullish),Advance/Decline Thrust (Bullish),70.30
2024-03-04,monthly,101,41,60,0,-19,0.68,323,40.59,59.41,-0.21,3.07,39,12,101,27,3.25,38.61,11.88,524,54,28,101,26,1.93,53.47,27.72,476,101,101,101,0,1.00,100.00,100.00,0,55,101,54.46,58,101,57.43,67,101,66.34,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.20,0.00,0.20,0.10,0.10,0.25,0.15,0.10,8.12,Very Poor,Neutral,Neutral,40.59
2024-03-05,monthly,101,18,83,0,-65,0.22,258,17.82,82.18,-1.75,2.60,7,27,101,-20,0.26,6.93,26.73,504,12,57,101,-45,0.21,11.88,56.44,431,101,101,101,0,1.00,100.00,100.00,0,19,101,18.81,33,101,32.67,48,101,47.52,0,0,0,0,1,1,0,1,0,1,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.40,-0.20,0.20,0.20,0.00,0.25,0.20,0.05,3.56,Very Poor,Weak Signal (Bearish),Neutral,17.82
2024-03-06,monthly,101,70,31,0,39,2.26,297,69.31,30.69,1.09,2.76,23,11,101,12,2.09,22.77,10.89,516,29,24,101,5,1.21,28.71,23.76,436,101,101,101,0,1.00,100.00,100.00,0,48,101,47.52,46,101,45.54,52,101,51.49,0,0,0,0,1,1,1,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.20,0.00,0.20,0.20,0.00,0.25,0.20,0.05,13.86,Very Poor,Weak Signal (Bullish),Advance/Decline Thrust (Bullish),69.31
2024-03-07,monthly,101,75,26,0,49,2.88,346,74.26,25.74,1.16,1.73,31,11,101,20,2.82,30.69,10.89,536,55,15,101,40,3.67,54.46,14.85,476,101,101,101,0,1.00,100.00,100.00,0,79,101,78.22,59,101,58.42,59,101,58.42,0,0,0,0,1,1,1,0,1,0,monthly,NASDAQ100,12;3;1,3;6;12,0.40,0.20,0.20,0.20,0.20,0.00,0.25,0.20,0.05,14.85,Very Poor,Weak Signal (Bullish),Advance/Decline Thrust (Bullish),74.26
2024-03-08,monthly,101,36,65,0,-29,0.55,317,35.64,64.36,-0.91,2.54,24,5,101,19,4.80,23.76,4.95,555,47,24,101,23,1.96,46.53,23.76,499,101,101,101,0,1.00,100.00,100.00,0,46,101,45.54,49,101,48.51,56,101,55.45,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.20,0.00,0.20,0.20,0.00,0.25,0.20,0.05,7.13,Very Poor,Neutral,Neutral,35.64
2024-03-11,monthly,101,58,43,0,15,1.35,332,57.43,42.57,0.11,1.94,11,15,101,-4,0.73,10.89,14.85,551,31,56,101,-25,0.55,30.69,55.45,474,101,101,101,0,1.00,100.00,100.00,0,47,101,46.53,55,101,54.46,50,101,49.50,0,0,0,0,1,1,0,0,0,0,monthly,NASDAQ100,12;3;1,3;6;12,0.20,0.20,0.00,0.20,0.20,0.00,0.20,0.20,0.00,11.49,Very Poor,Neutral,Neutral,57.43
