date,timeframe,monthly_mb_total_stocks,monthly_mb_advancing_stocks,monthly_mb_declining_stocks,monthly_mb_unchanged_stocks,monthly_mb_net_advances,monthly_mb_ad_ratio,monthly_mb_ad_line,monthly_mb_advance_pct,monthly_mb_decline_pct,monthly_mb_avg_pct_change,monthly_mb_pct_change_volatility,monthly_mb_long_new_highs,monthly_mb_long_new_lows,monthly_mb_total_stocks_hl_long,monthly_mb_net_long_new_highs,monthly_mb_hl_ratio_long,monthly_mb_long_new_highs_pct,monthly_mb_long_new_lows_pct,monthly_mb_net_hl_line_long,monthly_mb_medium_new_highs,monthly_mb_medium_new_lows,monthly_mb_total_stocks_hl_medium,monthly_mb_net_medium_new_highs,monthly_mb_hl_ratio_medium,monthly_mb_medium_new_highs_pct,monthly_mb_medium_new_lows_pct,monthly_mb_net_hl_line_medium,monthly_mb_short_new_highs,monthly_mb_short_new_lows,monthly_mb_total_stocks_hl_short,monthly_mb_net_short_new_highs,monthly_mb_hl_ratio_short,monthly_mb_short_new_highs_pct,monthly_mb_short_new_lows_pct,monthly_mb_net_hl_line_short,monthly_mb_stocks_above_ma_3,monthly_mb_total_stocks_ma_3,monthly_mb_pct_above_ma_3,monthly_mb_stocks_above_ma_6,monthly_mb_total_stocks_ma_6,monthly_mb_pct_above_ma_6,monthly_mb_stocks_above_ma_12,monthly_mb_total_stocks_ma_12,monthly_mb_pct_above_ma_12,monthly_mb_long_new_highs_gt_100,monthly_mb_long_success_condition,monthly_mb_medium_new_highs_gt_100,monthly_mb_medium_success_condition,monthly_mb_short_new_highs_gt_100,monthly_mb_short_success_condition,monthly_mb_ad_ratio_gt_2_0,monthly_mb_ad_ratio_lt_0_5,monthly_mb_strong_advance_breadth,monthly_mb_weak_advance_breadth,monthly_mb_timeframe,monthly_mb_universe,monthly_mb_hl_periods,monthly_mb_ma_periods,monthly_mb_bullish_momentum_5d,monthly_mb_bearish_momentum_5d,monthly_mb_net_momentum_5d,monthly_mb_bullish_momentum_10d,monthly_mb_bearish_momentum_10d,monthly_mb_net_momentum_10d,monthly_mb_bullish_momentum_20d,monthly_mb_bearish_momentum_20d,monthly_mb_net_momentum_20d,monthly_mb_overall_breadth_score,monthly_mb_breadth_rating,monthly_mb_signal_strength,monthly_mb_threshold_classification,monthly_mb_market_participation
2024-01-24,monthly,979,269,703,7,-434,0.38,-332,27.48,71.81,-0.69,1.86,248,119,979,129,2.08,25.33,12.16,-357,411,434,979,-23,0.95,41.98,44.33,202,979,979,979,0,1.00,100.00,100.00,0,302,979,30.85,536,979,54.75,500,979,51.07,1,0,1,1,1,1,0,1,0,1,monthly,Russell1000,12;3;1,3;6;12,0.80,0.20,0.60,0.40,0.30,0.10,0.31,0.38,-0.06,5.50,Very Poor,Weak Signal (Bearish),New Highs Expansion (Bullish),27.48
2024-01-25,monthly,979,740,232,7,508,3.19,176,75.59,23.70,0.73,2.06,189,81,979,108,2.33,19.31,8.27,-249,321,333,979,-12,0.96,32.79,34.01,190,979,979,979,0,1.00,100.00,100.00,0,628,979,64.15,625,979,63.84,626,979,63.94,1,0,1,1,1,1,1,0,1,0,monthly,Russell1000,12;3;1,3;6;12,1.20,0.20,1.00,0.60,0.30,0.30,0.41,0.35,0.06,15.12,Very Poor,Moderate Bullish,Advance/Decline Thrust (Bullish); New Highs Expansion (Bullish),75.59
2024-01-26,monthly,979,548,425,6,123,1.29,299,55.98,43.41,0.19,1.85,205,34,979,171,6.03,20.94,3.47,-78,414,176,979,238,2.35,42.29,17.98,428,979,979,979,0,1.00,100.00,100.00,0,686,979,70.07,584,979,59.65,646,979,65.99,1,0,1,1,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,1.20,0.20,1.00,0.70,0.30,0.40,0.44,0.33,0.11,11.20,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),55.98
2024-01-29,monthly,979,760,214,5,546,3.55,845,77.63,21.86,1.02,1.85,213,43,979,170,4.95,21.76,4.39,92,468,234,979,234,2.00,47.80,23.90,662,979,979,979,0,1.00,100.00,100.00,0,777,979,79.37,770,979,78.65,762,979,77.83,1,0,1,1,1,1,1,0,1,0,monthly,Russell1000,12;3;1,3;6;12,1.40,0.20,1.20,0.90,0.30,0.60,0.53,0.32,0.21,15.53,Very Poor,Moderate Bullish,Advance/Decline Thrust (Bullish); New Highs Expansion (Bullish),77.63
2024-01-30,monthly,979,451,523,5,-72,0.86,773,46.07,53.42,-0.22,1.75,288,46,979,242,6.26,29.42,4.70,334,547,212,979,335,2.58,55.87,21.65,997,979,979,979,0,1.00,100.00,100.00,0,597,979,60.98,706,979,72.11,721,979,73.65,1,0,1,1,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,1.40,0.20,1.20,1.00,0.20,0.80,0.55,0.30,0.25,9.21,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),46.07
2024-01-31,monthly,979,110,864,5,-754,0.13,19,11.24,88.25,-1.57,1.86,215,99,979,116,2.17,21.96,10.11,450,401,529,979,-128,0.76,40.96,54.03,869,979,979,979,0,1.00,100.00,100.00,0,117,979,11.95,274,979,27.99,447,979,45.66,1,0,1,1,1,1,0,1,0,1,monthly,Russell1000,12;3;1,3;6;12,1.40,0.20,1.20,1.10,0.20,0.90,0.60,0.30,0.30,2.25,Very Poor,Weak Signal (Bearish),New Highs Expansion (Bullish),11.24
2024-02-01,monthly,980,774,202,3,572,3.83,591,78.98,20.61,1.24,2.24,155,171,980,-16,0.91,15.82,17.45,434,262,578,980,-316,0.45,26.73,58.98,553,980,980,980,0,1.00,100.00,100.00,0,630,980,64.29,555,980,56.63,643,980,65.61,1,0,1,1,1,1,1,0,1,0,monthly,Russell1000,12;3;1,3;6;12,1.40,0.20,1.20,1.30,0.20,1.10,0.70,0.25,0.45,15.80,Very Poor,Moderate Bullish,Advance/Decline Thrust (Bullish); New Highs Expansion (Bullish),78.98
2024-02-02,monthly,980,459,516,5,-57,0.89,534,46.84,52.65,-0.04,2.36,210,134,980,76,1.57,21.43,13.67,510,347,284,980,63,1.22,35.41,28.98,616,980,980,980,0,1.00,100.00,100.00,0,592,980,60.41,498,980,50.82,558,980,56.94,1,0,1,1,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,1.40,0.20,1.20,1.30,0.20,1.10,0.75,0.25,0.50,9.37,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),46.84
2024-02-05,monthly,980,159,816,5,-657,0.19,-123,16.22,83.27,-1.09,1.95,82,218,980,-136,0.38,8.37,22.24,374,148,425,980,-277,0.35,15.10,43.37,339,980,980,980,0,1.00,100.00,100.00,0,219,980,22.35,297,980,30.31,390,980,39.80,0,0,1,1,1,1,0,1,0,1,monthly,Russell1000,12;3;1,3;6;12,1.20,0.40,0.80,1.30,0.30,1.00,0.80,0.30,0.50,3.24,Very Poor,Weak Signal (Bearish),Neutral,16.22
2024-02-06,monthly,980,686,283,11,403,2.42,280,70.00,28.88,0.73,2.15,129,130,980,-1,0.99,13.16,13.27,373,306,316,980,-10,0.97,31.22,32.24,329,980,980,980,0,1.00,100.00,100.00,0,508,980,51.84,462,980,47.14,480,980,48.98,1,0,1,1,1,1,1,0,0,0,monthly,Russell1000,12;3;1,3;6;12,1.20,0.40,0.80,1.30,0.30,1.00,0.80,0.30,0.50,14.00,Very Poor,Moderate Bullish,Advance/Decline Thrust (Bullish); New Highs Expansion (Bullish),70.00
2024-02-07,monthly,980,597,375,8,222,1.59,502,60.92,38.27,0.40,2.11,226,128,980,98,1.77,23.06,13.06,471,563,218,980,345,2.58,57.45,22.24,674,980,980,980,0,1.00,100.00,100.00,0,680,980,69.39,558,980,56.94,508,980,51.84,1,0,1,1,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,1.20,0.20,1.00,1.30,0.20,1.10,0.85,0.25,0.60,12.18,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),60.92
2024-02-08,monthly,980,624,355,1,269,1.76,771,63.67,36.22,0.67,2.73,227,117,980,110,1.94,23.16,11.94,581,462,240,980,222,1.92,47.14,24.49,896,980,980,980,0,1.00,100.00,100.00,0,643,980,65.61,608,980,62.04,564,980,57.55,1,0,1,1,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,1.00,0.20,0.80,1.20,0.20,1.00,0.90,0.25,0.65,12.73,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),63.67
2024-02-09,monthly,980,664,311,5,353,2.13,1124,67.76,31.73,0.54,2.19,247,83,980,164,2.98,25.20,8.47,745,480,172,980,308,2.79,48.98,17.55,1204,980,980,980,0,1.00,100.00,100.00,0,679,980,69.29,680,980,69.39,603,980,61.53,1,0,1,1,1,1,1,0,0,0,monthly,Russell1000,12;3;1,3;6;12,1.00,0.20,0.80,1.20,0.20,1.00,0.95,0.25,0.70,13.55,Very Poor,Moderate Bullish,Advance/Decline Thrust (Bullish); New Highs Expansion (Bullish),67.76
2024-02-12,monthly,980,676,300,4,376,2.25,1500,68.98,30.61,0.80,1.75,306,34,980,272,9.00,31.22,3.47,1017,642,127,980,515,5.06,65.51,12.96,1719,980,980,980,0,1.00,100.00,100.00,0,725,980,73.98,777,980,79.29,686,980,70.00,1,0,1,1,1,1,1,0,0,0,monthly,Russell1000,12;3;1,3;6;12,1.00,0.00,1.00,1.10,0.20,0.90,1.00,0.25,0.75,13.80,Very Poor,Moderate Bullish,Advance/Decline Thrust (Bullish); New Highs Expansion (Bullish),68.98
2024-02-13,monthly,980,90,888,2,-798,0.10,702,9.18,90.61,-2.18,2.51,48,263,980,-215,0.18,4.90,26.84,802,112,748,980,-636,0.15,11.43,76.33,1083,980,980,980,0,1.00,100.00,100.00,0,118,980,12.04,274,980,27.96,399,980,40.71,0,0,1,1,1,1,0,1,0,1,monthly,Russell1000,12;3;1,3;6;12,1.00,0.20,0.80,1.10,0.30,0.80,1.05,0.25,0.80,1.84,Very Poor,Weak Signal (Bearish),Neutral,9.18
2024-02-14,monthly,980,812,162,6,650,5.01,1352,82.86,16.53,1.52,2.34,127,63,980,64,2.02,12.96,6.43,866,192,138,980,54,1.39,19.59,14.08,1137,980,980,980,0,1.00,100.00,100.00,0,533,980,54.39,532,980,54.29,567,980,57.86,1,1,1,1,1,1,1,0,1,0,monthly,Russell1000,12;3;1,3;6;12,1.40,0.20,1.20,1.30,0.20,1.10,1.20,0.20,1.00,16.57,Very Poor,Moderate Bullish,Advance/Decline Thrust (Bullish); New Highs Expansion (Bullish),82.86
2024-02-15,monthly,980,796,176,8,620,4.52,1972,81.22,17.96,1.35,2.75,306,30,980,276,10.20,31.22,3.06,1142,774,52,980,722,14.88,78.98,5.31,1859,980,980,980,0,1.00,100.00,100.00,0,877,980,89.49,770,980,78.57,746,980,76.12,1,1,1,1,1,1,1,0,1,0,monthly,Russell1000,12;3;1,3;6;12,1.80,0.20,1.60,1.40,0.20,1.20,1.35,0.20,1.15,16.24,Very Poor,Moderate Bullish,Advance/Decline Thrust (Bullish); New Highs Expansion (Bullish),81.22
2024-02-16,monthly,980,313,660,7,-347,0.47,1625,31.94,67.35,-0.56,2.35,254,51,980,203,4.98,25.92,5.20,1345,456,184,980,272,2.48,46.53,18.78,2131,980,980,980,0,1.00,100.00,100.00,0,535,980,54.59,631,980,64.39,654,980,66.73,1,1,1,1,1,1,0,1,0,0,monthly,Russell1000,12;3;1,3;6;12,2.00,0.20,1.80,1.50,0.20,1.30,1.40,0.20,1.20,6.39,Very Poor,Weak Signal (Bearish),New Highs Expansion (Bullish),31.94
2024-02-20,monthly,980,339,637,4,-298,0.53,1327,34.59,65.00,-0.59,1.84,127,113,980,14,1.12,12.96,11.53,1359,225,538,980,-313,0.42,22.96,54.90,1818,980,980,980,0,1.00,100.00,100.00,0,300,980,30.61,542,980,55.31,602,980,61.43,1,1,1,1,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,2.20,0.20,2.00,1.60,0.10,1.50,1.45,0.20,1.25,6.92,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),34.59
2024-02-21,monthly,980,550,424,6,126,1.30,1453,56.12,43.27,0.03,2.08,156,109,980,47,1.43,15.92,11.12,1406,260,411,980,-151,0.63,26.53,41.94,1667,980,980,980,0,1.00,100.00,100.00,0,480,980,48.98,571,980,58.27,620,980,63.27,1,1,1,1,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,2.40,0.00,2.40,1.70,0.10,1.60,1.50,0.20,1.30,11.22,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),56.12
2024-02-22,monthly,980,720,257,3,463,2.80,1916,73.47,26.22,1.07,2.55,267,46,980,221,5.80,27.24,4.69,1627,617,141,980,476,4.38,62.96,14.39,2143,980,980,980,0,1.00,100.00,100.00,0,749,980,76.43,696,980,71.02,707,980,72.14,1,1,1,1,1,1,1,0,1,0,monthly,Russell1000,12;3;1,3;6;12,2.40,0.00,2.40,1.90,0.10,1.80,1.60,0.15,1.45,14.69,Very Poor,Moderate Bullish,Advance/Decline Thrust (Bullish); New Highs Expansion (Bullish),73.47
2024-02-23,monthly,980,646,326,8,320,1.98,2236,65.92,33.27,0.38,2.13,313,35,980,278,8.94,31.94,3.57,1905,617,114,980,503,5.41,62.96,11.63,2646,980,980,980,0,1.00,100.00,100.00,0,749,980,76.43,703,980,71.73,730,980,74.49,1,1,1,1,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,2.20,0.00,2.20,2.00,0.10,1.90,1.60,0.15,1.45,13.18,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),65.92
2024-02-26,monthly,980,366,604,10,-238,0.61,1998,37.35,61.63,-0.16,1.91,236,53,980,183,4.45,24.08,5.41,2088,397,274,980,123,1.45,40.51,27.96,2769,980,980,980,0,1.00,100.00,100.00,0,428,980,43.67,608,980,62.04,653,980,66.63,1,1,1,1,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,2.20,0.00,2.20,2.10,0.10,2.00,1.65,0.15,1.50,7.47,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),37.35
2024-02-27,monthly,980,615,360,5,255,1.71,2253,62.76,36.73,0.71,4.37,202,50,980,152,4.04,20.61,5.10,2240,367,339,980,28,1.08,37.45,34.59,2797,980,980,980,0,1.00,100.00,100.00,0,559,980,57.04,658,980,67.14,680,980,69.39,1,1,1,1,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,2.20,0.00,2.20,2.20,0.10,2.10,1.65,0.15,1.50,12.55,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),62.76
2024-02-28,monthly,980,478,497,5,-19,0.96,2234,48.78,50.71,-0.09,2.05,222,73,980,149,3.04,22.65,7.45,2389,392,358,980,34,1.09,40.00,36.53,2831,980,980,980,0,1.00,100.00,100.00,0,533,980,54.39,554,980,56.53,639,980,65.20,1,1,1,1,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,2.20,0.00,2.20,2.30,0.00,2.30,1.70,0.15,1.55,9.76,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),48.78
2024-02-29,monthly,980,644,330,6,314,1.95,2548,65.71,33.67,0.66,2.53,301,43,980,258,7.00,30.71,4.39,2647,558,226,980,332,2.47,56.94,23.06,3163,980,980,980,0,1.00,100.00,100.00,0,648,980,66.12,633,980,64.59,693,980,70.71,1,1,1,1,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,2.00,0.00,2.00,2.20,0.00,2.20,1.75,0.10,1.65,13.14,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),65.71
2024-03-01,monthly,980,623,355,2,268,1.75,2816,63.57,36.22,0.67,2.23,294,88,980,206,3.34,30.00,8.98,2853,481,331,980,150,1.45,49.08,33.78,3313,980,980,980,0,1.00,100.00,100.00,0,671,980,68.47,669,980,68.27,695,980,70.92,1,1,1,1,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,2.00,0.00,2.00,2.10,0.00,2.10,1.75,0.10,1.65,12.71,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),63.57
2024-03-04,monthly,980,559,416,5,143,1.34,2959,57.04,42.45,0.25,2.28,396,88,980,308,4.50,40.41,8.98,3161,544,218,980,326,2.50,55.51,22.24,3639,980,980,980,0,1.00,100.00,100.00,0,615,980,62.76,681,980,69.49,693,980,70.71,1,1,1,1,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,2.00,0.00,2.00,2.10,0.00,2.10,1.80,0.10,1.70,11.41,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),57.04
2024-03-05,monthly,980,327,642,11,-315,0.51,2644,33.37,65.51,-0.72,2.31,222,135,980,87,1.64,22.65,13.78,3248,350,384,980,-34,0.91,35.71,39.18,3605,980,980,980,0,1.00,100.00,100.00,0,372,980,37.96,511,980,52.14,614,980,62.65,1,1,1,1,1,1,0,0,0,0,monthly,Russell1000,12;3;1,3;6;12,2.00,0.00,2.00,2.10,0.00,2.10,1.85,0.05,1.80,6.67,Very Poor,Weak Signal (Bullish),New Highs Expansion (Bullish),33.37
2024-03-06,monthly,980,688,283,9,405,2.43,3049,70.20,28.88,0.65,1.87,230,64,980,166,3.59,23.47,6.53,3414,338,210,980,128,1.61,34.49,21.43,3733,980,980,980,0,1.00,100.00,100.00,0,601,980,61.33,604,980,61.63,678,980,69.18,1,1,1,1,1,1,1,0,1,0,monthly,Russell1000,12;3;1,3;6;12,2.20,0.00,2.20,2.20,0.00,2.20,1.95,0.05,1.90,14.04,Very Poor,Moderate Bullish,Advance/Decline Thrust (Bullish); New Highs Expansion (Bullish),70.20
