ticker,date,timeframe,current_price,data_points,weekly_ema10,weekly_ema10slope,weekly_sma20,weekly_sma20slope,weekly_price2_sma20pct,weekly_sma50,weekly_sma50slope,weekly_price2_sma50pct,weekly_sma10,weekly_sma10slope,weekly_price2_sma10pct,weekly_rsi_14,weekly_price_position_52w,weekly_macd,weekly_macd_signal,weekly_macd_histogram,atr,atr_pct,sma50,atrext_dollar,atrext_percent,weekly_weekly_weekly_1w_pct_change,weekly_5period_pct_change,weekly_10period_pct_change,weekly_weekly_weekly_3w_pct_change,weekly_weekly_weekly_5w_pct_change,weekly_weekly_weekly_10w_pct_change,weekly_weekly_weekly_15w_pct_change,weekly_momentum_20,weekly_quarter_pct_change,weekly_avg_volume_20,weekly_volume_trend,obv,obv_trend,weekly_ATH,weekly_ATL,weekly_is_new_ATH,weekly_is_new_ATL,weekly_distance_from_ATH_pct,weekly_distance_from_ATL_pct,weekly_ATH_ATL_position_pct,weekly_candle_strength,weekly_candle_strength_pct,weekly_body_ratio,weekly_upper_wick_ratio,weekly_lower_wick_ratio,weekly_oppression_factor,weekly_candle_type,weekly_is_bullish,total_range,body_size,weekly_wick_dominance,directional_strength,weekly_avg_candle_strength_5,weekly_avg_candle_strength_5_pct,trend_days_10_pct,weekly_priceabovesma10,weekly_priceaboveema20,weekly_priceabovesma50,weekly_sma10vssma20,weekly_sma20vssma50,weekly_at_20day_high,weekly_at_20day_low,weekly_5day_low_vs_30day_high,SP500,NASDAQ100,Russell1000,Russell3000,SP100,NASDAQComposite,DowJonesIndustrialAverage,SP500CommunicationServices,SP500ConsumerDiscretionary,SP500ConsumerStaples,SP500Energy,SP500Financials,SP500HealthCare,SP500Industrials,SP500InformationTechnology,SP500Utilities
AMGN,2025-09-01,weekly,283.6400,88,290.3883,-0.5879,287.0839,-0.2027,-1.1996,288.9761,-0.6604,-1.8465,293.9136,0.1443,-3.4955,47.7516,0.3707,0.5412,0.9076,-0.3664,14.3553,5.0611,288.9761,-0.3717,-0.3648,0.0000,-1.5925,-4.8954,-2.6484,-1.5925,-4.8954,-1.5754,6.2433,-11.6213,11577255.0000,-0.0014,-37212200,-55035.0000,329.1125,256.8566,False,False,-13.8167,10.4274,37.0674,0.3372,33.7200,0.3854,0.1251,0.4895,0.1251,Weak Body,False,9.9900,3.8500,0.6146,0.3854,0.2092,20.9200,22.2222,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,False
LULU,2025-09-01,weekly,167.8000,88,208.1616,-5.8842,241.6485,-4.2601,-30.5603,298.0002,-1.3830,-43.6913,209.2200,-6.3612,-19.7973,17.0072,0.0000,-32.9028,-28.8425,-4.0602,24.2008,14.4224,298.0002,-5.3800,-3.0294,0.0000,-11.4185,-32.2513,-19.1676,-11.4185,-32.2513,-47.0111,-33.7455,-40.1227,16680660.0000,0.5734,-280481700,-6273530.0000,491.1000,167.8000,False,True,-65.8318,0.0000,0.0000,0.6302,63.0200,0.7504,0.1601,0.0895,0.1601,Strong Body,False,42.6600,32.0100,0.2496,0.7504,0.3390,33.9000,22.2222,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False
QQQ,2025-09-01,weekly,576.0600,88,562.6184,3.9154,539.3757,6.0333,6.8013,514.8913,2.0834,11.8799,566.2250,4.4477,1.7369,76.9838,0.9930,20.9314,17.9116,3.0198,19.1442,3.3233,514.8913,3.1952,3.5747,0.0000,0.2628,3.5669,0.7151,0.2628,3.5669,11.0953,15.8636,21.8987,216249125.0000,0.0295,2022056900,33825555.0000,577.3400,393.3771,False,False,-0.2217,46.4396,99.3042,0.6274,62.7400,0.6835,0.2345,0.0820,0.0820,Moderate Body,True,21.5800,14.7500,0.3165,0.6835,0.4132,41.3200,55.5556,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPY,2025-09-01,weekly,647.2400,88,632.7096,4.0606,609.3960,5.4255,6.2101,590.2491,1.8248,9.6554,635.3580,4.6103,1.8701,78.6481,1.0000,19.5298,15.8575,3.6723,17.2270,2.6616,590.2491,3.3082,3.6277,0.0000,1.5788,3.5021,0.2991,1.5788,3.5021,10.1399,13.0535,19.3649,327953165.0000,-0.1288,4428952900,80692340.0000,647.2400,459.2506,True,False,0.0000,40.9340,100.0000,0.4793,47.9300,0.5633,0.2875,0.1492,0.1492,Moderate Body,True,17.2900,9.7400,0.4367,0.5633,0.4381,43.8100,66.6667,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
IWM,2025-09-01,weekly,237.7700,88,226.4224,2.1607,215.7459,2.0204,10.2083,216.6724,0.3230,9.7371,226.1630,2.1395,5.1321,77.2896,0.9632,6.3650,3.4027,2.9623,9.2279,3.8810,216.6724,2.2863,2.5089,0.0000,7.9203,6.5851,1.2520,7.9203,6.5851,16.2664,14.9426,10.9066,155062560.0000,-0.1520,1924507200,75865555.0000,239.9506,180.6904,False,False,-0.9088,31.5897,96.3204,0.6594,65.9400,0.7040,0.2326,0.0633,0.0633,Strong Body,True,8.2100,5.7800,0.2960,0.7040,0.5090,50.9000,77.7778,True,True,True,True,False,True,False,False,,,,,,,,,,,,,,,,
MAGS,2025-09-01,weekly,61.2100,88,58.3823,0.6722,54.8855,0.7918,11.5231,52.3516,0.3157,16.9210,58.5070,0.6916,4.6200,84.3944,1.0000,2.8091,2.1930,0.6161,2.5771,4.2103,52.3516,3.4373,4.0189,0.0000,2.1358,9.4404,2.3407,2.1358,9.4404,16.9245,22.4472,35.2003,10242820.0000,0.1468,28461600,4113010.0000,61.2100,32.1271,True,False,0.0000,90.5247,100.0000,0.6736,67.3600,0.7504,0.1471,0.1024,0.1024,Strong Body,True,3.3980,2.5500,0.2496,0.7504,0.4351,43.5100,66.6667,True,True,True,True,True,True,False,False,,,,,,,,,,,,,,,,
XLK,2025-09-01,weekly,262.8600,88,258.2271,1.8284,245.6214,3.2781,7.0184,233.3166,0.9424,12.6624,261.2110,2.4317,0.6313,81.4563,0.9635,11.1027,9.6297,1.4729,10.0410,3.8199,233.3166,2.9423,3.3148,0.0000,-1.1507,2.2961,0.1677,-1.1507,2.2961,14.0252,19.6632,19.8282,28973040.0000,0.1281,427506600,11214685.0000,265.9200,182.0682,False,False,-1.1507,44.3744,96.3507,0.4678,46.7800,0.5642,0.2648,0.1709,0.1709,Moderate Body,True,8.9500,5.0500,0.4358,0.5642,0.3645,36.4500,55.5556,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLC,2025-09-01,weekly,114.6900,88,109.2500,0.8991,104.8588,0.9614,9.3756,99.4998,0.5076,15.2666,109.0480,0.7909,5.1739,79.1839,1.0000,4.0515,3.3173,0.7342,3.4602,3.0170,99.4998,4.3900,5.0602,0.0000,6.5595,6.1551,3.0366,6.5595,6.1551,13.3810,13.6314,36.2463,24892785.0000,-0.0872,563596100,7934525.0000,114.6900,70.8718,True,False,0.0000,61.8275,100.0000,0.8394,83.9400,0.8802,0.0734,0.0464,0.0464,Strong Body,True,5.3850,4.7400,0.1198,0.8802,0.4215,42.1500,66.6667,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLY,2025-09-01,weekly,235.1100,88,226.1239,1.8643,217.5416,2.0347,8.0759,213.7409,0.8581,9.9977,225.8540,1.7611,4.0982,72.5434,1.0000,6.5630,4.5959,1.9671,8.6688,3.6871,213.7409,2.4651,2.7115,0.0000,5.0630,6.2836,0.8623,5.0630,6.2836,10.2011,12.1835,26.2950,23042205.0000,0.1151,216185000,8514960.0000,235.1100,167.9069,True,False,0.0000,40.0241,100.0000,0.6251,62.5100,0.6597,0.2880,0.0524,0.0524,Moderate Body,True,9.5500,6.3000,0.3403,0.6597,0.4301,43.0100,77.7778,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XLP,2025-09-01,weekly,80.8700,88,81.2829,0.0903,81.1322,0.1176,-0.3232,80.0355,0.0181,1.0426,81.4160,0.0869,-0.6706,44.6207,0.8788,0.4605,0.5343,-0.0738,2.0052,2.4796,80.0355,0.4162,0.4205,0.0000,-1.9520,-1.5941,-1.9401,-1.9520,-1.5941,-1.6965,1.0917,6.1794,67810010.0000,-0.1115,894007600,1748550.0000,82.4800,69.1979,False,False,-1.9520,16.8678,87.8785,0.0269,2.6900,0.0365,0.2628,0.7007,0.2628,Doji,False,1.3700,0.0500,0.9635,0.0365,0.3242,32.4200,55.5556,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
