Date,Internet software/Services,Packaged software,Semiconductors
2024-06-26 00:00:00-04:00,301.8347,397.1039,175.3716
2024-06-27 00:00:00-04:00,304.9506,397.9002,174.1621
2024-06-28 00:00:00-04:00,298.1416,392.7992,174.2384
2024-07-01 00:00:00-04:00,298.8110,401.3857,175.8070
2024-07-02 00:00:00-04:00,301.9214,403.5494,175.9724
2024-07-03 00:00:00-04:00,302.7004,404.9647,182.3872
2024-07-05 00:00:00-04:00,314.0171,410.9680,180.7029
2024-07-08 00:00:00-04:00,309.9593,409.8055,183.6617
2024-07-09 00:00:00-04:00,310.1017,403.9524,184.6858
2024-07-10 00:00:00-04:00,312.2106,409.8481,189.3581
2024-07-11 00:00:00-04:00,301.1964,399.6788,181.5494
2024-07-12 00:00:00-04:00,296.9810,398.8262,183.7394
2024-07-15 00:00:00-04:00,297.8772,399.3493,182.6011
2024-07-16 00:00:00-04:00,294.4701,395.4484,180.9132
2024-07-17 00:00:00-04:00,284.8482,389.9714,165.2077
2024-07-18 00:00:00-04:00,285.7970,387.3059,167.7518
2024-07-19 00:00:00-04:00,285.4030,384.5068,163.3709
2024-07-22 00:00:00-04:00,291.7669,389.6034,170.3698
2024-07-23 00:00:00-04:00,291.8866,391.3116,169.8079
2024-07-24 00:00:00-04:00,278.2715,377.0971,158.2023
2024-07-25 00:00:00-04:00,272.5949,367.9045,155.5819
2024-07-26 00:00:00-04:00,275.2698,373.9595,157.9362
2024-07-29 00:00:00-04:00,276.6363,375.1909,155.8829
2024-07-30 00:00:00-04:00,276.1900,371.7496,148.3576
2024-07-31 00:00:00-04:00,280.4033,367.9189,164.9393
2024-08-01 00:00:00-04:00,285.4784,366.6969,153.5155
2024-08-02 00:00:00-04:00,279.5172,358.8682,148.1121
2024-08-05 00:00:00-04:00,270.2122,347.1874,143.6932
2024-08-06 00:00:00-04:00,275.2905,351.3461,147.4785
2024-08-07 00:00:00-04:00,274.4005,350.2318,141.8392
2024-08-08 00:00:00-04:00,283.0579,354.5436,150.2520
2024-08-09 00:00:00-04:00,286.4481,357.5196,149.8244
2024-08-12 00:00:00-04:00,284.9825,358.0508,152.5019
2024-08-13 00:00:00-04:00,290.5156,364.5693,159.9800
2024-08-14 00:00:00-04:00,288.4376,367.2746,161.9839
2024-08-15 00:00:00-04:00,291.9249,371.6018,169.5771
2024-08-16 00:00:00-04:00,291.2539,369.4841,170.2452
2024-08-19 00:00:00-04:00,295.2155,372.1591,175.2934
2024-08-20 00:00:00-04:00,295.6289,375.0112,172.7492
2024-08-21 00:00:00-04:00,296.7764,374.6179,174.4416
2024-08-22 00:00:00-04:00,293.9768,367.0325,168.5280
2024-08-23 00:00:00-04:00,294.0857,368.1414,173.4036
2024-08-26 00:00:00-04:00,292.8079,365.1810,168.6492
2024-08-27 00:00:00-04:00,291.7872,365.4993,170.6896
2024-08-28 00:00:00-04:00,289.1192,362.5573,167.8970
2024-08-29 00:00:00-04:00,289.3614,364.9371,162.1086
2024-08-30 00:00:00-04:00,291.8796,368.5178,165.5429
2024-09-03 00:00:00-04:00,283.4244,361.5681,152.3777
2024-09-04 00:00:00-04:00,283.4043,361.0970,150.1616
2024-09-05 00:00:00-04:00,285.2574,360.6273,149.7788
2024-09-06 00:00:00-04:00,275.4971,354.6982,141.2384
2024-09-09 00:00:00-04:00,275.8411,358.6353,144.5903
2024-09-10 00:00:00-04:00,275.8562,366.0109,147.5336
2024-09-11 00:00:00-04:00,279.7548,374.1172,158.1749
2024-09-12 00:00:00-04:00,285.9527,377.8603,161.0105
2024-09-13 00:00:00-04:00,288.3067,381.2977,162.4957
2024-09-16 00:00:00-04:00,291.0060,382.1497,159.5276
2024-09-17 00:00:00-04:00,293.3660,385.7455,158.5174
2024-09-18 00:00:00-04:00,292.9713,381.9525,155.9449
2024-09-19 00:00:00-04:00,300.9188,388.8670,162.5898
2024-09-20 00:00:00-04:00,302.2189,386.0078,160.4873
2024-09-23 00:00:00-04:00,302.1873,384.5475,161.3734
2024-09-24 00:00:00-04:00,303.4362,380.7947,165.4412
2024-09-25 00:00:00-04:00,304.1652,383.4281,167.7376
2024-09-26 00:00:00-04:00,304.0355,382.6357,170.4964
2024-09-27 00:00:00-04:00,304.5291,379.7412,166.8953
2024-09-30 00:00:00-04:00,307.2331,381.8574,166.5012
2024-10-01 00:00:00-04:00,308.8346,373.4495,161.6704
2024-10-02 00:00:00-04:00,307.4984,370.4763,164.0963
2024-10-03 00:00:00-04:00,309.6957,370.2648,167.2065
2024-10-04 00:00:00-04:00,314.8050,370.0806,169.9647
2024-10-07 00:00:00-04:00,307.9472,364.3292,170.7775
2024-10-08 00:00:00-04:00,312.3105,369.1799,175.8315
2024-10-09 00:00:00-04:00,310.3672,371.7141,177.7602
2024-10-10 00:00:00-04:00,308.9841,370.3956,178.3082
2024-10-11 00:00:00-04:00,310.8550,370.8918,177.8990
2024-10-14 00:00:00-04:00,311.4826,373.2678,181.7809
2024-10-15 00:00:00-04:00,310.2890,372.7784,169.3287
2024-10-16 00:00:00-04:00,307.4458,370.4971,170.1170
2024-10-17 00:00:00-04:00,304.9755,370.9557,172.6825
2024-10-18 00:00:00-04:00,310.5479,372.3753,174.0464
2024-10-21 00:00:00-04:00,311.2591,373.3961,177.5437
2024-10-22 00:00:00-04:00,313.1545,381.0026,177.5862
2024-10-23 00:00:00-04:00,305.8694,378.4610,172.8628
2024-10-24 00:00:00-04:00,307.2742,378.6456,173.1368
2024-10-25 00:00:00-04:00,310.3589,381.8295,174.4582
2024-10-28 00:00:00-04:00,312.1591,380.6539,173.6294
2024-10-29 00:00:00-04:00,318.6630,385.5301,176.3684
2024-10-30 00:00:00-04:00,321.1772,385.9010,172.1963
2024-10-31 00:00:00-04:00,312.8943,362.8914,165.4913
2024-11-01 00:00:00-04:00,312.8395,366.1969,167.1628
2024-11-04 00:00:00-05:00,309.7988,364.3284,167.3147
2024-11-05 00:00:00-05:00,313.7878,368.0275,171.3440
2024-11-06 00:00:00-05:00,319.4386,376.1185,176.0399
2024-11-07 00:00:00-05:00,328.3325,383.6067,180.0409
2024-11-08 00:00:00-05:00,326.0062,382.9369,178.6892
2024-11-11 00:00:00-05:00,326.5493,379.0351,176.0795
2024-11-12 00:00:00-05:00,328.8353,383.4564,177.1814
2024-11-13 00:00:00-05:00,326.5053,385.2284,175.1932
2024-11-14 00:00:00-05:00,324.0930,386.5800,175.7883
2024-11-15 00:00:00-05:00,315.0913,377.0884,169.6140
2024-11-18 00:00:00-05:00,318.7149,377.6023,169.1170
2024-11-19 00:00:00-05:00,323.9999,380.3805,173.5652
2024-11-20 00:00:00-05:00,324.5273,378.4561,171.8575
2024-11-21 00:00:00-05:00,319.3346,376.5712,173.1662
2024-11-22 00:00:00-05:00,316.4888,380.9921,170.1449
2024-11-25 00:00:00-05:00,317.6839,382.0666,166.9509
2024-11-26 00:00:00-05:00,321.2126,390.5478,166.7966
2024-11-27 00:00:00-05:00,320.5459,386.1797,164.5173
2024-11-29 00:00:00-05:00,322.3058,386.9850,167.8009
2024-12-02 00:00:00-05:00,329.4685,393.6097,170.4161
2024-12-03 00:00:00-05:00,335.0338,395.1741,172.1409
2024-12-04 00:00:00-05:00,337.7417,400.7530,176.1279
2024-12-05 00:00:00-05:00,335.8055,405.6578,175.5248
2024-12-06 00:00:00-05:00,342.1894,407.7173,175.4250
2024-12-09 00:00:00-05:00,338.6840,407.3116,172.4559
2024-12-10 00:00:00-05:00,346.5977,404.0325,168.1293
2024-12-11 00:00:00-05:00,358.4934,409.7396,173.9930
2024-12-12 00:00:00-05:00,355.0458,409.8513,172.0448
2024-12-13 00:00:00-05:00,350.4457,408.0504,179.3972
2024-12-16 00:00:00-05:00,356.3040,412.5051,183.3535
2024-12-17 00:00:00-05:00,354.1785,414.6555,180.7021
2024-12-18 00:00:00-05:00,341.7343,398.6222,175.2174
2024-12-19 00:00:00-05:00,342.0830,398.7608,174.7074
2024-12-20 00:00:00-05:00,342.0236,399.7798,177.8164
2024-12-23 00:00:00-05:00,348.0105,398.7600,184.7897
2024-12-24 00:00:00-05:00,352.4991,402.3500,186.7549
2024-12-26 00:00:00-05:00,350.4906,401.4491,187.5209
2024-12-27 00:00:00-05:00,346.4405,394.1504,184.6561
2024-12-30 00:00:00-05:00,342.7950,389.0285,182.7140
2024-12-31 00:00:00-05:00,339.2880,385.5632,179.5325
2025-01-02 00:00:00-05:00,342.5667,383.6500,182.5947
2025-01-03 00:00:00-05:00,345.1764,388.5502,187.7947
2025-01-06 00:00:00-05:00,355.0701,392.2703,194.5915
2025-01-07 00:00:00-05:00,350.8708,386.0459,186.1156
2025-01-08 00:00:00-05:00,347.7901,387.7644,185.3698
2025-01-10 00:00:00-05:00,345.0921,382.3978,180.9617
2025-01-13 00:00:00-05:00,342.7156,380.5586,178.9022
2025-01-14 00:00:00-05:00,337.4285,379.5200,178.1915
2025-01-15 00:00:00-05:00,348.6185,389.4958,181.7552
