ticker,date,timeframe,current_price,data_points,weekly_ema10,weekly_ema10slope,weekly_sma20,weekly_sma20slope,weekly_price2_sma20pct,weekly_sma50,weekly_sma50slope,weekly_price2_sma50pct,weekly_sma10,weekly_sma10slope,weekly_price2_sma10pct,weekly_rsi_14,weekly_price_position_52w,weekly_macd,weekly_macd_signal,weekly_macd_histogram,atr,atr_pct,sma50,atrext_dollar,atrext_percent,weekly_weekly_weekly_1w_pct_change,weekly_5period_pct_change,weekly_10period_pct_change,weekly_weekly_weekly_3w_pct_change,weekly_weekly_weekly_5w_pct_change,weekly_weekly_weekly_10w_pct_change,weekly_weekly_weekly_15w_pct_change,weekly_momentum_20,weekly_quarter_pct_change,weekly_avg_volume_20,weekly_volume_trend,obv,obv_trend,weekly_ATH,weekly_ATL,weekly_is_new_ATH,weekly_is_new_ATL,weekly_distance_from_ATH_pct,weekly_distance_from_ATL_pct,weekly_ATH_ATL_position_pct,weekly_candle_strength,weekly_candle_strength_pct,weekly_body_ratio,weekly_upper_wick_ratio,weekly_lower_wick_ratio,weekly_oppression_factor,weekly_candle_type,weekly_is_bullish,total_range,body_size,weekly_wick_dominance,directional_strength,weekly_avg_candle_strength_5,weekly_avg_candle_strength_5_pct,trend_days_10_pct,weekly_priceabovesma10,weekly_priceaboveema20,weekly_priceabovesma50,weekly_sma10vssma20,weekly_sma20vssma50,weekly_at_20day_high,weekly_at_20day_low,weekly_5day_low_vs_30day_high,SP500,NASDAQ100,Russell1000,Russell2000,Russell3000,SP100,NASDAQComposite,DowJonesIndustrialAverage,SP500CommunicationServices,SP500ConsumerDiscretionary,SP500ConsumerStaples,SP500Energy,SP500Financials,SP500HealthCare,SP500Industrials,SP500InformationTechnology,SP500Materials,SP500RealEstate,SP500Utilities
TMUS,2025-09-01,weekly,252.7600,88,246.0262,1.8941,240.5191,-0.2942,5.0894,237.9319,1.0985,6.2321,243.1895,1.6697,3.9354,55.3527,0.8556,3.4283,2.1328,1.2956,11.8756,4.6984,237.9319,1.2486,1.3264,0.0000,3.1758,4.9886,0.3215,3.1758,4.9886,4.7452,4.0511,40.7807,20739380.0000,-0.1460,119024900,-1002155.0000,268.9253,156.9720,False,False,-6.0111,61.0223,85.5607,0.1179,11.7900,0.1340,0.7459,0.1201,0.1201,Weak Body,True,7.9100,1.0600,0.8660,0.1340,0.3204,32.0400,44.4444,True,True,True,True,True,False,False,False,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
BIIB,2025-09-01,weekly,140.6700,88,134.2580,0.8824,129.7820,0.4544,8.3895,143.6908,-1.2964,-2.1023,133.7010,0.6956,5.2124,59.0426,0.1787,-1.6263,-4.2086,2.5823,9.0744,6.4509,143.6908,-0.3329,-0.3259,0.0000,7.6529,5.8704,0.9762,7.6529,5.8704,8.3828,11.3622,-37.8666,7055630.0000,-0.0154,-92598700,2152305.0000,257.8800,115.1700,False,False,-45.4514,22.1412,17.8684,0.6054,60.5400,0.6065,0.3918,0.0017,0.0017,Moderate Body,True,11.7400,7.1200,0.3935,0.6065,0.4006,40.0600,66.6667,True,True,False,True,False,True,False,False,True,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
QCOM,2025-09-01,weekly,158.9355,88,155.8803,0.5014,152.3780,0.7352,4.3034,155.9352,-0.1801,1.9241,156.3236,0.4983,1.6708,62.2356,0.3838,0.8849,-0.3214,1.2064,9.6322,6.0604,155.9352,0.3115,0.3175,0.0000,7.7091,-2.0187,0.5857,7.7091,-2.0187,10.1172,7.5803,-12.7714,38765285.0000,-0.1889,264931500,-833715.0000,210.6996,126.6989,False,False,-24.5677,25.4435,38.3766,0.1408,14.0800,0.2239,0.4047,0.3714,0.3714,Weak Body,True,8.9690,2.0086,0.7761,0.2239,0.3607,36.0700,44.4444,True,True,True,True,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False
ADP,2025-09-01,weekly,295.9700,88,303.5668,-0.4200,306.9109,0.4780,-3.5648,298.9141,0.6920,-0.9849,303.8280,-0.9706,-2.5863,32.6793,0.7000,1.2485,3.0053,-1.7568,10.7826,3.6432,298.9141,-0.2730,-0.2704,0.0000,-3.2177,-4.2788,-3.8902,-3.2177,-4.2788,-8.6263,-1.3196,22.3235,7486510.0000,-0.0825,99800600,825955.0000,325.1852,227.7988,False,False,-8.9842,29.9260,70.0007,0.5721,57.2100,0.6495,0.1191,0.2314,0.1191,Moderate Body,False,8.7300,5.6700,0.3505,0.6495,0.4307,43.0700,33.3333,False,False,False,False,True,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
CEG,2025-09-01,weekly,301.5800,88,312.2607,-0.0238,302.4934,5.6539,-0.3020,273.1810,2.2675,10.3957,319.7555,1.0292,-5.6842,48.0667,0.8108,16.0210,18.2523,-2.2313,27.2511,9.0361,273.1810,1.0421,1.1505,0.0000,-10.0730,-3.1860,-2.6491,-10.0730,-3.1860,-1.3740,18.7857,60.5717,12928495.0000,-0.1305,116753900,1235190.0000,345.9008,111.6347,False,False,-12.8132,170.1490,81.0810,0.0346,3.4600,0.0550,0.5752,0.3698,0.3698,Doji,True,19.8350,1.0900,0.9450,0.0550,0.2564,25.6400,33.3333,False,True,True,True,True,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
GOOGL,2025-09-01,weekly,235.0000,88,202.3330,4.3921,183.1729,2.8803,28.2941,177.8653,1.0480,32.1224,198.6410,3.8938,18.3039,86.3898,1.0000,12.0381,6.4498,5.5883,12.6040,5.3634,177.8653,4.5331,5.9892,0.0000,16.6716,30.8973,14.0279,16.6716,30.8973,37.0004,30.3912,32.9159,187291480.0000,-0.1825,3271420200,116496775.0000,235.0000,134.6028,True,False,0.0000,74.5878,100.0000,0.8304,83.0400,0.8985,0.0257,0.0758,0.0758,Strong Body,True,29.5600,26.5600,0.1015,0.8985,0.5016,50.1600,88.8889,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
GOOG,2025-09-01,weekly,235.1700,88,203.0479,4.3388,184.1673,2.8055,27.6937,179.2722,1.0335,31.1804,199.4250,3.8680,17.9240,86.0742,1.0000,11.7552,6.2206,5.5346,12.5016,5.3160,179.2722,4.4713,5.8654,0.0000,16.3689,30.2520,13.7626,16.3689,30.2520,36.2179,29.5517,31.7236,123334775.0000,-0.2000,2298447400,75766625.0000,235.1700,135.4846,True,False,0.0000,73.5769,100.0000,0.8350,83.5000,0.8975,0.0329,0.0696,0.0696,Strong Body,True,29.1700,26.1800,0.1025,0.8975,0.5007,50.0700,88.8889,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
PDD,2025-09-01,weekly,124.6800,88,116.9160,1.7074,110.8350,0.6973,12.4915,112.5610,0.3242,10.7666,115.1230,2.0236,8.3016,72.7655,0.5096,2.8288,0.4730,2.3557,10.0864,8.0898,112.5610,1.2015,1.3309,0.0000,9.1196,20.3591,-1.9117,9.1196,20.3591,29.1887,7.7997,-6.2838,36413485.0000,0.1706,-164425000,9089055.0000,157.5700,90.5000,False,False,-20.8733,37.7680,50.9617,0.6228,62.2800,0.6765,0.2442,0.0793,0.0793,Moderate Body,True,7.8200,5.2900,0.3235,0.6765,0.5347,53.4700,77.7778,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
MAR,2025-09-01,weekly,264.7000,88,266.7506,-0.0780,264.4464,1.9901,0.0959,265.4288,0.7012,-0.2746,269.9524,0.2539,-1.9457,50.4157,0.5842,2.4827,2.4619,0.0208,14.0304,5.3005,265.4288,-0.0519,-0.0518,0.0000,1.8390,-5.4744,-3.0843,1.8390,-5.4744,0.3298,4.6810,9.6037,7056405.0000,-0.1232,69191700,2722000.0000,302.5118,211.5645,False,False,-12.4993,25.1155,58.4245,0.0076,0.7600,0.0228,0.6673,0.3099,0.6673,Doji,False,10.1000,0.2300,0.9772,0.0228,0.2030,20.3000,55.5556,False,False,False,True,False,False,False,False,True,True,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
HON,2025-09-01,weekly,214.2500,88,220.0594,-0.8937,221.1090,0.9112,-3.1021,215.7275,0.3682,-0.6849,223.6257,-0.7424,-4.1926,41.8442,0.5179,1.6783,3.0967,-1.4183,8.7716,4.0941,215.7275,-0.1684,-0.1673,0.0000,-0.4367,-10.4138,-3.8505,-0.4367,-10.4138,-4.9873,2.4524,2.4613,16921870.0000,-0.2120,205256500,920690.0000,239.1550,187.4936,False,False,-10.4138,14.2706,51.7919,0.3782,37.8200,0.4618,0.1811,0.3571,0.1811,Moderate Body,False,6.0200,2.7800,0.5382,0.4618,0.2619,26.1900,33.3333,False,False,False,True,True,False,False,False,True,True,True,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False
