ticker,date,timeframe,daily_daily_daily_1d_rs_vs_QQQ_per_NASDAQ100,daily_daily_daily_3d_rs_vs_QQQ_per_NASDAQ100,daily_daily_daily_5d_rs_vs_QQQ_per_NASDAQ100,daily_daily_monthly_22d_rs_vs_QQQ_per_NASDAQ100,daily_daily_monthly_44d_rs_vs_QQQ_per_NASDAQ100,daily_daily_quarterly_132d_rs_vs_QQQ_per_NASDAQ100,daily_daily_quarterly_66d_rs_vs_QQQ_per_NASDAQ100,daily_daily_weekly_14d_rs_vs_QQQ_per_NASDAQ100,daily_daily_weekly_7d_rs_vs_QQQ_per_NASDAQ100,daily_daily_yearly_252d_rs_vs_QQQ_per_NASDAQ100
SPY,2025-09-05,daily,,,,,,,,,,
TEAM,2025-09-05,daily,89,40,28,18,6,3,6,81,91,41
TMUS,2025-09-05,daily,50,26,72,74,74,34,51,45,66,69
TRI,2025-09-05,daily,10,17,35,10,17,40,14,74,50,41
TSLA,2025-09-05,daily,96,92,81,90,85,77,47,89,50,90
TTD,2025-09-05,daily,50,7,9,2,4,5,4,55,49,3
TTWO,2025-09-05,daily,34,33,85,77,60,72,55,80,87,86
TXN,2025-09-05,daily,51,5,5,52,18,33,49,20,5,31
VRSK,2025-09-05,daily,48,72,82,56,21,28,8,64,68,35
VRTX,2025-09-05,daily,39,26,76,73,14,13,15,63,79,15
WBD,2025-09-05,daily,92,84,65,24,79,73,84,72,83,89
WDAY,2025-09-05,daily,45,56,77,63,40,15,24,73,85,19
XEL,2025-09-05,daily,61,55,66,40,76,56,54,66,55,61
XLB,2025-09-05,daily,,,,,,,,,,
XLC,2025-09-05,daily,,,,,,,,,,
XLE,2025-09-05,daily,,,,,,,,,,
XLF,2025-09-05,daily,,,,,,,,,,
XLI,2025-09-05,daily,,,,,,,,,,
XLK,2025-09-05,daily,,,,,,,,,,
XLP,2025-09-05,daily,,,,,,,,,,
XLRE,2025-09-05,daily,,,,,,,,,,
XLU,2025-09-05,daily,,,,,,,,,,
XLV,2025-09-05,daily,,,,,,,,,,
XLY,2025-09-05,daily,,,,,,,,,,
ZS,2025-09-05,daily,85,41,32,31,17,94,25,51,82,79
