Date,Finance/Rental/Leasing,Internet software/Services,Major banks,Packaged software,Pharmaceuticals: major,Semiconductors
2001-02-01 00:00:00-05:00,442.2517,436.2742,213.8538,404.3638,78.9387,229.4433
2001-03-01 00:00:00-05:00,442.2517,436.2392,211.4015,403.8955,77.8198,229.4433
2001-04-01 00:00:00-05:00,442.2517,436.2844,214.3533,404.0595,80.0871,229.4433
2001-05-01 00:00:00-04:00,442.2517,436.2993,216.0350,403.9673,80.0560,229.4433
2001-06-01 00:00:00-04:00,442.2517,436.3093,217.3260,404.3638,78.1435,229.4433
2001-07-01 00:00:00-04:00,442.2517,436.2939,215.7878,404.2652,79.7481,229.4433
2001-08-01 00:00:00-04:00,442.2517,436.2552,212.5967,403.6362,79.2344,229.4433
2001-09-01 00:00:00-04:00,442.2517,436.2576,208.8084,403.6759,80.2859,229.4433
2001-10-01 00:00:00-04:00,442.2517,436.2485,212.3552,403.7809,79.7481,229.4433
2001-11-01 00:00:00-05:00,442.2517,436.2447,214.1778,403.8312,81.0538,229.4433
2001-12-01 00:00:00-05:00,442.2517,436.2466,216.1990,403.8077,80.3981,229.4433
2002-01-01 00:00:00-05:00,442.2517,436.2261,214.1199,404.1773,79.4876,229.4433
2002-02-01 00:00:00-05:00,442.2517,436.2058,212.8083,404.1088,80.0524,229.4433
2002-03-01 00:00:00-05:00,442.2517,436.2151,216.1347,403.6994,80.7592,229.4433
2002-04-01 00:00:00-05:00,442.2517,436.1644,212.1602,403.4037,78.5264,229.4433
2002-05-01 00:00:00-04:00,442.2517,436.1657,212.3343,403.1765,77.9247,229.4433
2002-06-01 00:00:00-04:00,442.2517,436.1585,208.9474,403.3426,75.1215,229.4433
2002-07-01 00:00:00-04:00,442.2517,436.1563,205.0579,403.4005,75.5839,229.4433
2002-08-01 00:00:00-04:00,442.2517,436.1585,204.7861,403.3554,75.7283,229.4433
2002-09-01 00:00:00-04:00,442.2517,436.1524,203.7507,403.1701,75.2245,229.4433
2002-10-01 00:00:00-04:00,442.2517,436.1610,209.7553,403.4197,75.8637,229.4433
2002-11-01 00:00:00-05:00,442.2517,436.1680,211.3707,403.6298,78.3049,229.4433
2002-12-01 00:00:00-05:00,442.2517,436.1609,208.5431,403.4851,76.9667,229.4433
2003-01-01 00:00:00-05:00,442.2517,436.1616,207.9977,403.6169,76.2713,229.4433
2003-02-01 00:00:00-05:00,442.2517,436.1600,207.3129,403.6094,75.3500,229.4433
2003-03-01 00:00:00-05:00,442.2517,436.1630,207.9657,403.4905,76.2773,229.4433
2003-04-01 00:00:00-05:00,442.2517,436.1734,212.2403,403.6008,77.4838,229.4433
2003-05-01 00:00:00-04:00,442.2517,436.1808,213.5970,403.7219,76.3686,229.4433
2003-06-01 00:00:00-04:00,442.2517,436.1774,215.5028,403.6148,78.0639,229.4433
2003-07-01 00:00:00-04:00,442.2517,436.1762,217.3701,403.6126,77.4135,229.4433
2003-08-01 00:00:00-04:00,442.2517,436.1808,216.2527,403.7026,77.2694,229.4433
2003-09-01 00:00:00-04:00,442.2517,436.1764,217.8171,403.5333,75.8509,229.4433
2003-10-01 00:00:00-04:00,442.2517,436.1834,219.1472,403.6105,77.4936,229.4433
2003-11-01 00:00:00-05:00,442.2517,436.1843,219.1061,403.6158,77.8215,229.4433
2003-12-01 00:00:00-05:00,442.2517,436.1846,220.6849,403.7455,78.5683,229.4433
2004-01-01 00:00:00-05:00,442.2517,436.1879,221.5679,403.8130,78.3120,229.4433
2004-02-01 00:00:00-05:00,442.2517,436.1877,222.5297,403.7069,79.6384,229.4433
2004-03-01 00:00:00-05:00,442.2517,436.1854,223.5776,403.6137,77.8085,229.4433
2004-04-01 00:00:00-05:00,442.2517,436.1843,220.7806,403.5333,79.7336,229.4433
2004-05-01 00:00:00-04:00,442.2517,436.1898,220.0054,403.5494,79.9272,229.4433
2004-06-01 00:00:00-04:00,442.2517,436.1948,220.1846,403.6062,79.2293,229.4433
2004-07-01 00:00:00-04:00,442.2517,436.1880,218.3867,403.4540,77.8355,229.4433
2004-08-01 00:00:00-04:00,442.2517,436.1876,221.1013,403.3962,78.1559,229.4433
2004-09-01 00:00:00-04:00,442.2517,436.1948,218.8673,403.5365,77.2992,229.4433
2004-10-01 00:00:00-04:00,442.2517,436.2146,219.3879,403.6844,76.4588,229.4433
2004-11-01 00:00:00-05:00,442.2517,436.2319,220.2685,403.6930,76.3767,229.4433
2004-12-01 00:00:00-05:00,442.2517,436.2339,223.1438,403.7980,77.6544,229.4433
2005-01-01 00:00:00-05:00,442.2517,436.2118,223.8141,403.8034,77.2789,229.4433
2005-02-01 00:00:00-05:00,442.2517,436.2163,222.7947,403.7155,77.7851,229.4433
2005-03-01 00:00:00-05:00,442.2517,436.2200,220.4482,403.6651,77.2625,229.4433
2005-04-01 00:00:00-05:00,442.2517,436.2135,222.3198,403.5665,78.8637,229.4433
2005-05-01 00:00:00-04:00,442.2517,436.2300,223.0232,403.6994,78.6186,229.4433
2005-06-01 00:00:00-04:00,442.2517,436.2201,222.1808,403.7423,77.8862,229.4433
2005-07-01 00:00:00-04:00,442.2517,436.2131,219.6751,403.7819,77.8795,229.4433
2005-08-01 00:00:00-04:00,442.2517,436.2003,220.1543,403.7198,77.5139,229.4433
2005-09-01 00:00:00-04:00,442.2517,436.1990,221.5229,403.6566,77.2954,229.4433
2005-10-01 00:00:00-04:00,442.2517,436.2055,222.0278,403.6866,76.3730,229.4433
2005-11-01 00:00:00-05:00,442.2517,436.2015,224.6954,403.6780,76.4121,229.4433
2005-12-01 00:00:00-05:00,442.2517,436.2005,225.2039,403.6362,77.6801,229.4433
2006-01-01 00:00:00-05:00,442.2517,436.2058,223.2347,403.6748,77.3341,229.4433
2006-02-01 00:00:00-05:00,442.2517,436.2056,223.3495,403.6587,77.1246,229.4433
2006-03-01 00:00:00-05:00,442.2517,436.2065,224.4319,403.7948,77.4044,229.4433
2006-04-01 00:00:00-05:00,442.2517,436.2052,227.6059,403.8912,76.7813,229.4433
2006-05-01 00:00:00-04:00,191.3389,436.2021,227.2139,403.8516,76.7147,229.4433
2006-06-01 00:00:00-04:00,191.4593,436.2042,226.3560,403.8805,77.6430,229.4433
2006-07-01 00:00:00-04:00,191.3755,436.1892,227.0340,403.9320,78.3518,229.4433
2006-08-01 00:00:00-04:00,191.7702,436.1958,227.9084,404.0059,78.4545,229.4433
2006-09-01 00:00:00-04:00,192.3389,436.1957,229.1002,404.2288,78.8848,229.4433
2006-10-01 00:00:00-04:00,192.4865,436.1971,229.5770,404.3070,79.0024,229.4433
2006-11-01 00:00:00-05:00,193.5798,436.2125,229.0831,404.3692,78.2376,229.4433
2006-12-01 00:00:00-05:00,193.4514,436.2067,234.8287,404.1645,78.0521,229.4433
2007-01-01 00:00:00-05:00,193.9660,436.2062,234.1824,404.1666,78.6296,229.4433
2007-02-01 00:00:00-05:00,193.7974,436.2102,229.7218,404.0884,77.7297,229.4433
2007-03-01 00:00:00-05:00,193.7603,436.2097,231.1469,404.2706,77.7596,229.4433
2007-04-01 00:00:00-04:00,193.9749,436.2161,233.1240,404.3424,79.5855,229.4433
2007-05-01 00:00:00-04:00,195.4766,436.2232,233.8512,404.4045,79.3318,229.4433
2007-06-01 00:00:00-04:00,196.1212,436.2286,231.2550,404.4399,78.6109,229.4433
2007-07-01 00:00:00-04:00,195.9267,436.2228,226.7931,404.3767,78.0304,229.4433
2007-08-01 00:00:00-04:00,194.9855,436.2299,227.6899,404.5010,78.9805,229.4433
2007-09-01 00:00:00-04:00,195.4196,436.2343,227.9077,404.6478,79.6035,229.4433
2007-10-01 00:00:00-04:00,197.0775,436.2353,223.3699,404.7035,78.8693,229.4433
2007-11-01 00:00:00-04:00,197.5097,436.2548,215.2471,404.4903,78.9547,229.4433
2007-12-01 00:00:00-05:00,198.0854,436.2454,211.1911,404.7474,79.0721,229.4433
2008-01-01 00:00:00-05:00,197.7610,436.2349,210.7205,404.5299,78.0799,229.4433
2008-02-01 00:00:00-05:00,197.0940,436.2374,206.0565,404.3424,77.5823,229.4433
2008-03-01 00:00:00-05:00,18.1506,436.2329,203.5945,404.4238,78.5546,229.4433
2008-04-01 00:00:00-04:00,22.8866,436.2409,207.1815,404.5620,78.0469,229.4433
2008-05-01 00:00:00-04:00,24.4541,436.2523,203.3734,404.7753,77.9960,229.4433
2008-06-01 00:00:00-04:00,22.1342,436.2459,196.8378,404.5781,77.3439,229.4433
2008-07-01 00:00:00-04:00,20.2893,436.2309,200.5617,404.6349,78.1805,229.4433
2008-08-01 00:00:00-04:00,20.5750,436.2293,200.7888,404.6778,78.3561,229.4433
2008-09-01 00:00:00-04:00,16.2445,436.2125,203.0118,404.5042,77.7194,229.4433
2008-10-01 00:00:00-04:00,14.3428,436.1985,194.4170,404.2877,74.0407,229.4433
2008-11-01 00:00:00-04:00,13.9103,436.1997,187.8011,404.0520,73.7143,229.4433
2008-12-01 00:00:00-05:00,13.8153,436.1925,185.8373,404.2277,75.6136,229.4433
2009-01-01 00:00:00-05:00,13.1553,436.1931,181.2855,404.1313,74.4362,229.4433
2009-02-01 00:00:00-05:00,14.9375,436.1932,178.7669,403.9930,71.4394,229.4433
2009-03-01 00:00:00-05:00,15.1913,436.1919,180.3648,404.2641,73.0064,229.4433
2009-04-01 00:00:00-04:00,16.9641,436.1968,181.3169,404.4002,72.8467,229.4433
2009-05-01 00:00:00-04:00,17.0221,436.2048,182.4580,404.4325,73.6832,229.4433
2009-06-01 00:00:00-04:00,16.0128,436.1909,182.1480,404.6291,74.1433,229.4433
2009-07-01 00:00:00-04:00,17.4650,436.1964,182.6809,404.7054,74.8264,229.4433
2009-08-01 00:00:00-04:00,18.5015,436.1985,185.0345,404.6843,74.3925,229.4433
2009-09-01 00:00:00-04:00,18.2529,436.2056,184.7382,404.5723,74.5501,229.4433
2009-10-01 00:00:00-04:00,19.7355,436.2031,183.5217,404.6003,74.5237,229.4433
2009-11-01 00:00:00-04:00,21.2512,436.2021,183.8114,404.7115,75.8082,229.4433
2009-12-01 00:00:00-05:00,22.6580,436.2072,182.8748,404.9760,75.9912,229.4433
2010-01-01 00:00:00-05:00,21.7523,436.2034,182.9120,404.8173,75.6185,229.4433
2010-02-01 00:00:00-05:00,21.1380,436.2092,183.3042,404.9944,75.4137,229.4433
2010-03-01 00:00:00-05:00,23.0380,436.2123,184.1821,405.1090,76.4583,229.4433
2010-04-01 00:00:00-04:00,22.7026,436.2159,184.4875,405.1263,75.9851,229.4433
2010-05-01 00:00:00-04:00,18.6888,436.2177,183.6481,404.7740,74.4732,229.4433
2010-06-01 00:00:00-04:00,18.4031,436.2138,183.1639,404.6537,74.9901,229.4433
2010-07-01 00:00:00-04:00,19.1408,436.2184,183.4220,404.8900,75.4069,229.4433
2010-08-01 00:00:00-04:00,18.1455,436.2211,182.7103,404.7000,74.6954,229.4433
2010-09-01 00:00:00-04:00,19.8308,436.2286,183.0390,405.2442,76.4853,229.4433
2010-10-01 00:00:00-04:00,20.9504,436.2372,182.9386,405.5190,76.4016,229.4433
2010-11-01 00:00:00-04:00,20.3068,436.2360,182.8607,405.2713,75.6334,229.4433
2010-12-01 00:00:00-05:00,19.3822,436.2313,183.8800,405.7338,76.2768,229.4433
2011-01-01 00:00:00-05:00,19.8121,436.2426,184.0524,405.8132,75.8705,229.4433
2011-02-01 00:00:00-05:00,20.3737,436.2477,184.0377,405.9136,76.0780,229.4433
2011-03-01 00:00:00-05:00,20.9080,436.2505,183.5828,405.9714,76.1207,229.4433
2011-04-01 00:00:00-04:00,22.4284,436.2529,183.5235,406.2471,77.6791,229.4433
2011-05-01 00:00:00-04:00,23.2432,436.2468,182.9540,406.0642,78.3458,229.4433
2011-06-01 00:00:00-04:00,24.2282,436.2505,182.8330,405.9211,78.1826,229.4433
2011-07-01 00:00:00-04:00,24.4627,436.2429,182.2504,405.6667,78.1221,229.4433
2011-08-01 00:00:00-04:00,25.8157,436.2427,181.2212,405.3981,78.0602,229.4433
2011-09-01 00:00:00-04:00,25.0655,436.2342,180.2622,405.4714,77.8081,229.4433
2011-10-01 00:00:00-04:00,27.2013,436.2459,180.9881,405.9122,77.9776,229.4433
2011-11-01 00:00:00-04:00,28.7599,436.2509,180.2952,405.7637,78.2315,229.4433
2011-12-01 00:00:00-05:00,29.2837,436.2581,180.2117,405.1390,79.7043,229.4433
2012-01-01 00:00:00-05:00,28.4831,436.2625,180.9728,405.4196,79.2246,229.4433
2012-02-01 00:00:00-05:00,33.0187,436.2622,181.4031,405.5407,78.9409,229.4433
2012-03-01 00:00:00-05:00,33.2705,436.2669,182.0608,405.5308,79.6337,229.4433
2012-04-01 00:00:00-04:00,35.1593,436.2762,181.4094,405.5572,79.8234,229.4433
2012-05-01 00:00:00-04:00,32.3721,436.2665,180.6181,405.2413,79.2481,229.4433
2012-06-01 00:00:00-04:00,34.3938,436.2845,180.8862,405.5968,80.9457,229.4433
2012-07-01 00:00:00-04:00,35.3297,436.2874,180.6785,405.6518,81.5616,229.4433
2012-08-01 00:00:00-04:00,34.6915,436.2983,181.0666,405.8186,81.5253,229.4433
2012-09-01 00:00:00-04:00,36.6161,436.3017,181.5381,405.7977,82.7933,229.4433
2012-10-01 00:00:00-04:00,37.5534,436.2626,182.0955,405.7558,83.4884,229.4433
2012-11-01 00:00:00-04:00,40.0434,436.2528,181.9405,405.8840,83.4281,229.4433
2012-12-01 00:00:00-05:00,40.4247,436.2685,182.7990,406.0100,83.8350,229.4433
2013-01-01 00:00:00-05:00,42.3036,436.2840,182.9892,406.2740,45.4669,229.4433
2013-02-01 00:00:00-05:00,42.3838,436.2920,182.9524,406.1329,46.2248,229.4433
2013-03-01 00:00:00-05:00,44.7637,436.2969,183.3783,405.9206,48.5747,229.4433
2013-04-01 00:00:00-04:00,45.0645,436.2929,183.6394,405.9706,49.4527,229.4433
2013-05-01 00:00:00-04:00,46.9976,436.2962,184.4441,406.0818,48.2023,229.4433
2013-06-01 00:00:00-04:00,47.7876,436.2882,183.8853,405.7406,47.3095,229.4433
2013-07-01 00:00:00-04:00,48.5184,436.2989,184.6650,405.9228,50.4222,229.4433
2013-08-01 00:00:00-04:00,48.0364,436.2994,184.1944,405.8819,48.3337,229.4433
2013-09-01 00:00:00-04:00,52.8560,436.3091,184.1434,406.0280,48.5826,229.4433
2013-10-01 00:00:00-04:00,55.3387,436.3205,184.2083,406.0649,49.9450,229.4433
2013-11-01 00:00:00-04:00,57.9776,436.3292,185.0082,406.2788,50.4874,229.4433
2013-12-01 00:00:00-05:00,63.4551,436.3390,184.8761,406.6113,51.0427,229.4433
2014-01-01 00:00:00-05:00,59.3754,436.3355,184.6828,406.4591,50.9795,229.4433
2014-02-01 00:00:00-05:00,61.5620,436.3233,184.7517,406.7204,53.6834,229.4433
2014-03-01 00:00:00-05:00,59.1241,436.3193,184.7975,406.9226,54.8818,229.4433
2014-04-01 00:00:00-04:00,56.9887,436.2966,184.3835,406.9192,55.5930,229.4433
2014-05-01 00:00:00-04:00,59.7466,436.3064,184.3507,407.0613,56.2318,229.4433
2014-06-01 00:00:00-04:00,58.0739,436.3021,184.3562,406.8935,58.1152,229.4433
2014-07-01 00:00:00-04:00,58.3864,436.3197,184.5068,406.8777,56.3945,229.4433
2014-08-01 00:00:00-04:00,59.2914,436.3299,184.9539,407.0197,58.3074,229.4433
2014-09-01 00:00:00-04:00,58.6861,436.3233,185.1783,406.6526,59.8711,229.4433
2014-10-01 00:00:00-04:00,66.2142,436.3389,185.3784,406.7396,61.3403,229.4433
2014-11-01 00:00:00-04:00,69.8203,436.3401,185.3957,407.1340,62.8565,229.4433
2014-12-01 00:00:00-05:00,69.9346,436.3296,185.5940,407.4241,62.2527,229.4433
2015-01-01 00:00:00-05:00,67.3373,436.3212,184.3177,407.0751,61.7475,229.4433
2015-02-01 00:00:00-05:00,72.7684,436.3532,184.9901,407.3073,61.6567,229.4433
2015-03-01 00:00:00-05:00,70.0845,436.3632,184.8117,407.2311,62.1567,229.4433
2015-04-01 00:00:00-04:00,71.9596,436.3515,185.1139,407.2845,62.4828,229.4433
2015-05-01 00:00:00-04:00,74.1973,436.3505,185.3118,407.2871,65.3271,229.4433
2015-06-01 00:00:00-04:00,73.9749,436.3455,185.5424,406.9233,66.7648,229.4433
2015-07-01 00:00:00-04:00,79.7400,436.3765,186.0530,406.8823,68.0014,229.4433
2015-08-01 00:00:00-04:00,75.7014,436.3698,185.2389,406.5731,65.1467,229.4433
2015-09-01 00:00:00-04:00,74.0081,436.3752,184.6984,406.4620,64.6622,229.4433
2015-10-01 00:00:00-04:00,81.6602,436.4090,185.3173,406.7734,66.0894,229.4433
2015-11-01 00:00:00-04:00,82.0223,436.4387,185.5540,406.8060,66.1658,229.4433
2015-12-01 00:00:00-05:00,81.1201,436.4317,185.1957,406.5256,67.6591,229.4433
2016-01-01 00:00:00-05:00,76.1589,436.3922,183.7259,406.5003,65.6243,229.4433
2016-02-01 00:00:00-05:00,74.2961,436.4221,183.0124,406.5717,63.4071,229.4433
2016-03-01 00:00:00-05:00,79.5612,436.4357,183.5138,407.0483,64.6414,229.4433
2016-04-01 00:00:00-04:00,80.9679,436.4285,184.1941,406.9271,67.1211,229.4433
2016-05-01 00:00:00-04:00,81.4722,436.4253,184.2779,406.9836,67.4260,229.4433
2016-06-01 00:00:00-04:00,75.8864,436.4287,183.5361,407.0682,70.5063,229.4433
2016-07-01 00:00:00-04:00,80.8170,436.4292,183.9549,407.0809,73.2896,229.4433
2016-08-01 00:00:00-04:00,82.9337,436.3883,184.7192,407.1193,70.1878,229.4433
2016-09-01 00:00:00-04:00,86.0400,436.4011,184.5769,406.8938,70.9943,229.4433
2016-10-01 00:00:00-04:00,88.0966,436.4205,184.9534,406.7939,67.3159,229.4433
2016-11-01 00:00:00-04:00,83.5303,436.4031,186.6892,407.0177,64.9125,229.4433
