Date,Finance/Rental/Leasing,Internet software/Services,Major banks,Packaged software,Pharmaceuticals: major,Semiconductors
2007-11-01 00:00:00-04:00,18.3566,34.5362,96.7816,16.2054,34.5045,
2007-12-01 00:00:00-05:00,19.6878,31.7581,86.6535,18.1327,34.6864,
2008-01-01 00:00:00-05:00,18.9376,28.6422,85.4784,16.5026,33.1492,
2008-02-01 00:00:00-05:00,17.3955,29.3853,73.8323,15.0972,32.3783,
2008-03-01 00:00:00-05:00,16.7141,28.0680,67.6845,15.7075,33.8846,
2008-04-01 00:00:00-04:00,21.5485,30.4408,76.6413,16.7435,33.0981,
2008-05-01 00:00:00-04:00,23.1485,33.8100,67.1324,18.3415,33.0192,
2008-06-01 00:00:00-04:00,20.7804,31.9185,50.8127,16.8639,32.0089,
2008-07-01 00:00:00-04:00,18.8973,27.4770,60.1116,17.2895,33.3051,
2008-08-01 00:00:00-04:00,19.1888,26.9956,60.6786,17.6108,33.5770,
2008-09-01 00:00:00-04:00,14.7685,22.0221,66.2295,16.3098,32.5907,
2008-10-01 00:00:00-04:00,12.8273,17.9014,44.7679,14.6877,26.8913,
2008-11-01 00:00:00-04:00,12.3858,18.2307,28.2478,12.9210,26.3857,
2008-12-01 00:00:00-05:00,12.2889,16.1113,23.3440,14.2380,29.3282,
2009-01-01 00:00:00-05:00,11.6151,16.3055,11.9780,13.5152,27.5040,
2009-02-01 00:00:00-05:00,13.4344,16.3224,5.6890,12.4793,22.8611,
2009-03-01 00:00:00-05:00,13.6934,15.9339,9.6790,14.5110,25.2889,
2009-04-01 00:00:00-04:00,15.5030,17.3779,12.0564,15.5309,25.0415,
2009-05-01 00:00:00-04:00,15.5622,19.7675,14.9057,15.7725,26.3375,
2009-06-01 00:00:00-04:00,14.5320,15.6384,14.1316,17.2459,27.0503,
2009-07-01 00:00:00-04:00,16.0143,17.2597,15.4624,17.8175,28.1086,
2009-08-01 00:00:00-04:00,17.0723,17.8930,21.3393,17.6594,27.4364,
2009-09-01 00:00:00-04:00,16.8185,20.0040,20.5996,16.8200,27.6805,
2009-10-01 00:00:00-04:00,18.3320,19.2609,17.5620,17.0298,27.6396,
2009-11-01 00:00:00-04:00,19.8791,18.9485,18.2853,17.8637,29.6297,
2009-12-01 00:00:00-05:00,21.3151,20.4684,15.9465,19.8459,29.9132,
2010-01-01 00:00:00-05:00,20.3906,19.3453,16.0394,18.6566,29.3358,
2010-02-01 00:00:00-05:00,19.7636,21.0426,17.0187,19.9833,29.0184,
2010-03-01 00:00:00-05:00,21.7030,21.9714,19.2108,20.8426,30.6368,
2010-04-01 00:00:00-04:00,21.3607,23.0354,19.9734,20.9723,29.9037,
2010-05-01 00:00:00-04:00,17.2636,23.5674,17.8774,18.3321,27.5613,
2010-06-01 00:00:00-04:00,16.9719,22.4190,16.6683,17.4305,28.3622,
2010-07-01 00:00:00-04:00,17.7249,23.7700,17.3129,19.2012,29.0079,
2010-08-01 00:00:00-04:00,16.7089,24.5638,15.5358,17.7772,27.9056,
2010-09-01 00:00:00-04:00,18.4293,26.8014,16.3565,21.8552,30.6787,
2010-10-01 00:00:00-04:00,19.5721,29.3431,16.1059,23.9146,30.5489,
2010-11-01 00:00:00-04:00,18.9151,28.9716,15.9113,22.0585,29.3589,
2010-12-01 00:00:00-05:00,17.9713,27.5867,18.4567,25.5243,30.3556,
2011-01-01 00:00:00-05:00,18.4102,30.9207,18.8872,26.1196,29.7262,
2011-02-01 00:00:00-05:00,18.9834,32.4276,18.8502,26.8721,30.0477,
2011-03-01 00:00:00-05:00,19.5288,33.2730,17.7144,27.3050,30.1138,
2011-04-01 00:00:00-04:00,21.0807,33.9806,17.5665,29.3715,32.5282,
2011-05-01 00:00:00-04:00,21.9124,32.1795,16.1442,28.0004,33.5612,
2011-06-01 00:00:00-04:00,22.9179,33.2730,15.8423,26.9285,33.3083,
2011-07-01 00:00:00-04:00,23.1572,31.0356,14.3875,25.0220,33.2146,
2011-08-01 00:00:00-04:00,24.5383,30.9759,11.8175,23.0088,33.1186,
2011-09-01 00:00:00-04:00,23.7726,28.4501,9.4228,23.5580,32.7281,
2011-10-01 00:00:00-04:00,25.9527,31.9107,11.2354,26.8614,32.9907,
2011-11-01 00:00:00-04:00,27.5436,33.3923,9.5053,25.7488,33.3840,
2011-12-01 00:00:00-05:00,28.0784,35.5204,9.2967,21.0672,35.6658,
2012-01-01 00:00:00-05:00,27.2611,36.8330,11.1971,23.1698,34.9227,
2012-02-01 00:00:00-05:00,31.8909,36.7435,12.2716,24.0777,34.4831,
2012-03-01 00:00:00-05:00,32.1479,38.1357,13.9140,24.0036,35.5565,
2012-04-01 00:00:00-04:00,34.0759,40.8803,12.2874,24.2011,35.8504,
2012-05-01 00:00:00-04:00,31.2309,38.0163,10.3114,21.8336,34.9591,
2012-06-01 00:00:00-04:00,33.2945,43.3265,10.9810,24.4978,37.5891,
2012-07-01 00:00:00-04:00,34.2498,44.1718,10.4622,24.9102,38.5433,
2012-08-01 00:00:00-04:00,33.5984,47.4135,11.4313,26.1603,38.4871,
2012-09-01 00:00:00-04:00,35.5629,48.4179,12.6088,26.0032,40.4515,
2012-10-01 00:00:00-04:00,36.5197,36.8628,14.0006,25.6891,41.5284,
2012-11-01 00:00:00-04:00,39.0614,33.9592,13.6137,26.6505,41.4351,
2012-12-01 00:00:00-05:00,39.4506,38.6031,15.7572,27.5946,42.0654,
2013-01-01 00:00:00-05:00,41.3685,43.1674,16.2321,29.5729,39.4342,
2013-02-01 00:00:00-05:00,41.4503,45.5540,16.1404,28.5153,40.3183,
2013-03-01 00:00:00-05:00,43.8797,47.0058,17.2038,26.9246,43.0594,
2013-04-01 00:00:00-04:00,44.1867,45.8125,17.8557,27.2994,44.0837,
2013-05-01 00:00:00-04:00,46.1599,46.7771,19.8651,28.1322,42.6251,
2013-06-01 00:00:00-04:00,46.9663,44.4104,18.4698,25.5755,41.5836,
2013-07-01 00:00:00-04:00,47.7123,47.5726,20.4167,26.9413,45.2146,
2013-08-01 00:00:00-04:00,47.2203,47.7218,19.2415,26.6346,42.7784,
2013-09-01 00:00:00-04:00,52.1400,50.6056,19.1143,27.7297,43.0687,
2013-10-01 00:00:00-04:00,54.6742,53.9767,19.2763,28.0056,44.6580,
2013-11-01 00:00:00-04:00,57.3678,56.5422,21.2737,29.6089,45.2906,
2013-12-01 00:00:00-05:00,62.9591,59.4459,20.9438,32.1008,45.9384,
2014-01-01 00:00:00-05:00,58.7947,58.4217,20.4612,30.9597,45.8647,
2014-02-01 00:00:00-05:00,61.0267,54.8020,20.6334,32.9184,49.0188,
2014-03-01 00:00:00-05:00,58.5381,53.6087,20.7476,34.4334,50.4167,
2014-04-01 00:00:00-04:00,56.3585,46.9163,19.7138,34.4082,51.2463,
2014-05-01 00:00:00-04:00,59.1736,49.8001,19.6320,35.4731,51.9914,
2014-06-01 00:00:00-04:00,57.4662,48.5372,19.6457,34.2153,54.1884,
2014-07-01 00:00:00-04:00,57.7851,53.7479,20.0217,34.0971,52.1813,
2014-08-01 00:00:00-04:00,58.7089,56.7610,21.1381,35.1615,54.4127,
2014-09-01 00:00:00-04:00,58.0911,54.8120,21.6984,32.4099,56.2367,
2014-10-01 00:00:00-04:00,65.7755,59.4260,22.1982,33.0618,57.9505,
2014-11-01 00:00:00-04:00,69.4564,59.7641,22.2414,36.0177,59.7192,
2014-12-01 00:00:00-05:00,69.5731,56.6814,22.7364,38.1919,59.0148,
2015-01-01 00:00:00-05:00,66.9218,54.1755,19.5496,35.5761,58.4255,
2015-02-01 00:00:00-05:00,72.4658,63.6622,21.2284,37.3162,58.3195,
2015-03-01 00:00:00-05:00,69.7261,66.5957,20.7831,36.7456,58.9028,
2015-04-01 00:00:00-04:00,71.6401,63.1551,21.5376,37.1459,59.2832,
2015-05-01 00:00:00-04:00,73.9243,62.8369,22.0318,37.1650,62.6011,
2015-06-01 00:00:00-04:00,73.6973,61.3751,22.6077,34.4389,64.2781,
2015-07-01 00:00:00-04:00,79.5821,70.5435,23.8827,34.1313,65.7206,
2015-08-01 00:00:00-04:00,75.4596,68.5547,21.8499,31.8140,62.3906,
2015-09-01 00:00:00-04:00,73.7312,70.1657,20.5001,30.9820,61.8255,
2015-10-01 00:00:00-04:00,81.5421,80.1496,22.0457,33.3151,63.4903,
2015-11-01 00:00:00-04:00,81.9117,88.9402,22.6367,33.5595,63.5794,
2015-12-01 00:00:00-05:00,80.9908,86.8718,21.7420,31.4582,65.3213,
2016-01-01 00:00:00-05:00,75.9266,75.1775,18.0718,31.2688,62.9478,
2016-02-01 00:00:00-05:00,74.0251,84.0178,16.2902,31.8041,60.3614,
2016-03-01 00:00:00-05:00,79.3995,88.0452,17.5423,35.3754,61.8012,
2016-04-01 00:00:00-04:00,80.8354,85.9171,19.2409,34.4674,64.6937,
2016-05-01 00:00:00-04:00,81.3502,84.9824,19.4501,34.8910,65.0494,
2016-06-01 00:00:00-04:00,75.6484,85.9768,17.5979,35.5246,68.6426,
2016-07-01 00:00:00-04:00,80.6813,86.1260,18.6435,35.6201,71.8894,
2016-08-01 00:00:00-04:00,82.8420,74.0339,20.5521,35.9079,68.2711,
2016-09-01 00:00:00-04:00,86.0128,77.8027,20.1967,34.2179,69.2119,
2016-10-01 00:00:00-04:00,88.1121,83.5504,21.1370,33.4687,64.9210,
2016-11-01 00:00:00-04:00,83.4510,78.4093,25.4713,35.1463,62.1175,
2016-12-01 00:00:00-05:00,84.3450,75.6449,26.8495,33.6246,66.2551,
2017-01-01 00:00:00-05:00,88.1031,79.7617,26.2744,35.0763,66.9684,
2017-02-01 00:00:00-05:00,92.6818,82.0091,28.3859,37.3909,71.5457,
2017-03-01 00:00:00-05:00,94.1049,86.6232,27.8201,39.1644,73.5816,
2017-04-01 00:00:00-04:00,96.9617,88.4231,27.5489,39.4716,72.6368,
2017-05-01 00:00:00-04:00,101.9340,89.6561,27.4134,40.0208,72.8254,
2017-06-01 00:00:00-04:00,100.6554,92.4405,30.0501,44.2090,76.3922,
2017-07-01 00:00:00-04:00,106.3807,100.6046,30.3559,44.0238,76.1851,
2017-08-01 00:00:00-04:00,110.8901,103.1702,30.1235,44.5439,76.5990,
2017-09-01 00:00:00-04:00,115.2218,105.7954,32.2497,42.7915,80.5997,
2017-10-01 00:00:00-04:00,120.9223,106.9191,33.5972,45.0483,81.5024,
2017-11-01 00:00:00-04:00,123.1178,114.4567,34.5311,43.5911,83.8887,
2017-12-01 00:00:00-05:00,124.3566,113.8004,35.1769,42.0096,84.2819,
2018-01-01 00:00:00-05:00,137.2197,114.2778,37.5929,45.8391,85.4212,
2018-02-01 00:00:00-05:00,139.5116,115.3716,36.9105,45.1970,82.4567,
2018-03-01 00:00:00-05:00,137.6101,117.8974,33.8034,40.8084,78.8619,
2018-04-01 00:00:00-04:00,142.7774,116.7638,34.0186,40.7371,80.3658,
2018-05-01 00:00:00-04:00,149.9463,129.7110,33.1243,41.8462,81.0482,
2018-06-01 00:00:00-04:00,153.6905,136.6520,32.8407,39.4637,80.8901,
2018-07-01 00:00:00-04:00,156.5970,144.4184,35.6214,42.7060,89.1004,
2018-08-01 00:00:00-04:00,169.5499,157.7236,35.4879,43.6828,93.3402,
