# ================================================================,,
# SECTION 0 — QUICK REFERENCE (settings changed most often),,
# ================================================================,,
# ticker_choice:      0=TW universe  1=SP500  2=NASDAQ100  3=all NASDAQ,,
#                     4=Russell1000  5=indexes  6=portfolio  7=ETFs  8=test,,
# MARKET_BREADTH_universe scope must match what downloadData_v1 downloaded,,
# ----------------------------------------------------------------,,
ticker_choice,0s,Ticker combination choice (0-8)
YF_weekly_data_files_local,../downloadData_v1/data/market_data/weekly/,Local: weekly (1wk) OHLCV files
YF_monthly_data_files_local,../downloadData_v1/data/market_data/monthly/,Local: monthly (1mo) OHLCV files
TW_intraday_folder_local,data/intraday/,Local: TradingView intraday data folder
,,
# Colab paths,,
YF_daily_data_files_colab,/content/drive/MyDrive/_invest2024/run_python/downloadData_v1/data/market_data/daily/,Colab: daily OHLCV files
YF_weekly_data_files_colab,/content/drive/MyDrive/_invest2024/run_python/downloadData_v1/data/market_data/weekly/,Colab: weekly OHLCV files
YF_monthly_data_files_colab,/content/drive/MyDrive/_invest2024/run_python/downloadData_v1/data/market_data/monthly/,Colab: monthly OHLCV files
TW_intraday_folder_colab,/content/drive/MyDrive/_invest2024/run_python/metaData_v1/data/intraday/,Colab: TradingView intraday folder
,,
,,
# ================================================================,,
# SECTION 2 — DATA INPUT SOURCES,,
# ================================================================,,
# Ticker sources,,
WEB_tickers_down,FALSE,Download ticker names from web (NASDAQ SP500 etc)
TW_tickers_down,TRUE,Use ticker names from TradingView universe file
TW_universe_file,tradingview_universe.csv,TradingView universe filename
,,
# Historical OHLCV timeframes to load,,
YF_hist_data,TRUE,Load historical OHLCV data via YFinance
YF_daily_data,TRUE,Load daily (1d) historical data
YF_weekly_data,FALSE,Load weekly (1wk) historical data
YF_monthly_data,FALSE,Load monthly (1mo) historical data
TW_intraday_data,FALSE,Process intraday data from TradingView
TW_intraday_file,intraday_data.csv,Intraday data filename
,,
# Financial data enrichment (downloading),,
fin_data_enrich,FALSE,Enable financial data enrichment
YF_fin_data,FALSE,Download financial data from YFinance
TW_fin_data,FALSE,Download financial data from TradingView
Zacks_fin_data,FALSE,Download financial data from Zacks (future)
,,
# Ticker info sources,,
write_info_file,TRUE,Write detailed info files during processing
ticker_info_TW,TRUE,Get ticker info from TradingView universe file
ticker_info_TW_file,tradingview_universe_info.csv,TradingView ticker info filename
ticker_info_YF,FALSE,Download ticker info from YFinance
,,
,,
# ================================================================,,
# SECTION 3 — PIPELINE SETTINGS,,
# Phase flags (PRE_PROCESS MARKET_HEALTH BASIC SCREENERS etc.) are in Section 0,,
# ================================================================,,
# Execution order: PRE_PROCESS → MARKET_HEALTH → BASIC → SCREENERS → POST_PROCESS,,
batch_size,100,Global batch size for data processing
PRE_PROCESS_file,user_data_pre_process.csv,Pre-process config file
,,
,,
# ================================================================,,
# SECTION 4 — TICKER UNIVERSE,,
# ================================================================,,
# ticker_choice values:,,
# 0: TradingView Universe only,tradingview_universe.csv,
# 1: S&P 500 only,sp500_tickers.csv,
# 2: NASDAQ 100 only,nasdaq100_tickers.csv,
# 3: All NASDAQ stocks,nasdaq_all_tickers.csv,
# 4: Russell 1000 (IWM) only,iwm1000_tickers.csv,
# 5: Index tickers only,indexes_tickers.csv,
# 6: Portfolio tickers only,portofolio_tickers.csv,
# 7: ETF tickers only,etf_tickers.csv,
# 8: TEST tickers only,test_tickers.csv,
"# Use dash-separated combinations e.g. ""1-2"" (SP500+NASDAQ100)",,
# ticker_choice is in Section 0 (single source of truth),,
indexes_overview_file,indexes_overview.csv,Auto-generated indexes overview filename
,,
,,
# ================================================================,,
# SECTION 5 — LAYER 1: MARKET HEALTH,,
# Run order: 5a SR → 5b Market Breadth → 5c Market Pulse,,
# (Market Pulse GMI reads breadth file — breadth must run first),,
# ================================================================,,
,,
# ---------------------------------------------------------------,,
# 5a. SUSTAINABILITY RATIOS (SR)—NOT FINISHED,,
# ---------------------------------------------------------------,,
SR_enable,FALSE,Enable Sustainability Ratios analysis module
SR_output_dir,results/layer1_market_health/sustainability_ratios,SR output directory
# Submodule flags,,
SR_panels_enable,TRUE,Enable multi-panel charts submodule
SR_overview_enable,TRUE,Enable overview values and charts submodule
SR_mmm_enable,TRUE,Enable MMM submodule
SR_intermarket_enable,FALSE,Enable intermarket ratios submodule
SR_breadth_enable,FALSE,Enable market breadth indicators submodule
# Timeframe flags,,
SR_timeframes,daily,SR timeframes (semicolon separated: daily weekly monthly)
SR_timeframe_daily,TRUE,Enable daily timeframe for SR
SR_timeframe_weekly,FALSE,Enable weekly timeframe for SR
SR_timeframe_monthly,FALSE,Enable monthly timeframe for SR
# Panel submodule,,
SR_panel_config_file,user_data_sr_panel.csv,Panel configuration CSV file
SR_chart_display,66,Number of historical data points to show on charts
# Overview submodule,,
SR_overview_values_enable,FALSE,Calculate overview values
SR_overview_charts_enable,TRUE,Generate overview charts
SR_overview_values_history,10,Historical periods for values calculation
SR_overview_values_indexes,SPY;IWM,Index tickers (semicolon separated) or CSV path
SR_overview_values_sectors,XLY;XLC,Sector tickers (semicolon separated) or CSV path
SR_overview_values_industries,NVDA,Industry tickers (semicolon separated) or CSV path
SR_overview_values_timeframe,latest;5;latest_Wednesday,Time units for overview display
SR_overview_output_dir,results/layer1_market_health/sustainability_ratios/overview,Overview output directory
SR_overview_filename_prefix,sr_overview,Overview output filename prefix
SR_overview_charts_tickers,SPY;IWM,Tickers for overview charts (semicolon separated)
SR_overview_charts_display_panel,user_data_sr_overview.csv,Chart panel configuration file
SR_overview_charts_display_history,30,Chart display history (time units)
# MMM submodule,,
SR_mmm_daily_enable,TRUE,Enable MMM daily calculations
SR_mmm_weekly_enable,FALSE,Enable MMM weekly calculations
SR_mmm_monthly_enable,FALSE,Enable MMM monthly calculations
SR_mmm_gaps_values,TRUE,Enable MMM gap calculations
SR_mmm_gaps_tickers,XLY;XLC,Tickers for MMM gap analysis
SR_mmm_gaps_values_input_folder_daily,../downloadData_v1/data/market_data/daily/,MMM daily input folder
SR_mmm_gaps_values_input_folder_weekly,../downloadData_v1/data/market_data/weekly/,MMM weekly input folder
SR_mmm_gaps_values_input_folder_monthly,../downloadData_v1/data/market_data/monthly/,MMM monthly input folder
SR_mmm_gaps_values_output_folder_daily,../downloadData_v1/data/market_data/daily/,MMM daily output folder
SR_mmm_gaps_values_output_folder_weekly,../downloadData_v1/data/market_data/weekly/,MMM weekly output folder
SR_mmm_gaps_values_output_folder_monthly,../downloadData_v1/data/market_data/monthly/,MMM monthly output folder
SR_mmm_gaps_values_filename_suffix,_gap,MMM gap output filename suffix
SR_mmm_gaps_chart_enable,TRUE,Enable MMM gap charts
SR_mmm_gaps_charts_display_panel,user_data_sr_mmm.csv,MMM chart panel configuration file
SR_mmm_gaps_charts_display_history,30,MMM chart display history
SR_mmm_output_dir,results/layer1_market_health/sustainability_ratios/mmm,MMM output directory
,,
,,
# ---------------------------------------------------------------,,
# 5b. MARKET BREADTH,,
# NOTE: MARKET_BREADTH_universe scope must match downloadData_v1 download scope.,,
#       Missing ticker files are silently skipped — partial breadth gives no error.,,
# ---------------------------------------------------------------,,
MARKET_BREADTH_enable,TRUE,Enable market breadth analysis (A/D line new H/L MA breadth)
# Timeframe flags,,
MARKET_BREADTH_daily_enable,TRUE,Enable daily market breadth calculations
MARKET_BREADTH_weekly_enable,FALSE,Enable weekly market breadth calculations
MARKET_BREADTH_monthly_enable,FALSE,Enable monthly market breadth calculations
# Universe (must match downloaded data),,
# MARKET_BREADTH_universe is in Section 0 (single source of truth),,
# Timeframe-specific periods,,
MARKET_BREADTH_daily_ma_periods,20;50;200,Daily MA periods for breadth (semicolon separated)
MARKET_BREADTH_daily_new_high_lows_periods,252;63;20,Daily new H/L periods (long medium short)
MARKET_BREADTH_weekly_ma_periods,10;20;50,Weekly MA periods for breadth
MARKET_BREADTH_weekly_new_high_lows_periods,52;13;4,Weekly new H/L periods
MARKET_BREADTH_monthly_ma_periods,3;6;12,Monthly MA periods for breadth
MARKET_BREADTH_monthly_new_high_lows_periods,12;3;1,Monthly new H/L periods
# Thresholds,,
MARKET_BREADTH_new_highs_threshold_long,100,Long-term new highs threshold
MARKET_BREADTH_new_highs_threshold_medium,100,Medium-term new highs threshold
MARKET_BREADTH_new_highs_threshold_short,100,Short-term new highs threshold
MARKET_BREADTH_success_window_pct_long,25,Success window % for long period
MARKET_BREADTH_success_window_pct_medium,50,Success window % for medium period
MARKET_BREADTH_success_window_pct_short,50,Success window % for short period
MARKET_BREADTH_success_threshold_pct_long,30,Success threshold % for long period
MARKET_BREADTH_success_threshold_pct_medium,30,Success threshold % for medium period
MARKET_BREADTH_success_threshold_pct_short,50,Success threshold % for short period
MARKET_BREADTH_strong_ad_ratio_threshold,2,Strong A/D ratio threshold (>2.0)
MARKET_BREADTH_weak_ad_ratio_threshold,0.5,Weak A/D ratio threshold (<0.5)
MARKET_BREADTH_strong_advance_threshold,70,Strong advance % threshold (>70%)
MARKET_BREADTH_weak_advance_threshold,30,Weak advance % threshold (<30%)
MARKET_BREADTH_strong_ma_breadth_threshold,80,Strong MA breadth threshold (>80% above MA)
MARKET_BREADTH_weak_ma_breadth_threshold,20,Weak MA breadth threshold (<20% above MA)
# Chart display,,
MARKET_BREADTH_chart_history_days,63,Daily charts: trading days to display
MARKET_BREADTH_chart_history_weeks,12,Weekly charts: weeks to display
MARKET_BREADTH_chart_history_months,3,Monthly charts: months to display
MARKET_BREADTH_tornado_chart,TRUE,Enable tornado chart
MARKET_BREADTH_tornado_chart_display_units_time,10,Tornado chart display units (days)
# Output,,
MARKET_BREADTH_save_detailed_results,TRUE,Save detailed breadth CSV files
MARKET_BREADTH_output_dir,results/layer1_market_health/market_breadth,Market breadth output directory
MARKET_BREADTH_REPORT_enable,TRUE,Enable market breadth PDF report
MARKET_BREADTH_REPORT_template_type,standard,Breadth report template type
MARKET_BREADTH_force_file,TRUE,Use latest breadth file even if dates don't match
,,
,,
# ---------------------------------------------------------------,,
# 5c. MARKET PULSE  (GMI+GMI2 daily only),,
# Run AFTER Market Breadth — GMI reads breadth file output,,
# ---------------------------------------------------------------,,
MARKET_PULSE_enable,TRUE,Enable Market Pulse analysis (SPY QQQ IWM)
# GMI,,
MARKET_PULSE_gmi_enable,TRUE,Enable GMI analysis (daily only)
MARKET_PULSE_gmi_threshold,3,GMI bullish/bearish threshold (0-4 scale)
MARKET_PULSE_gmi_confirmation_days,2,Days required for GMI signal confirmation
MARKET_PULSE_gmi_index1,SPY,GMI Index1 for R3 component
MARKET_PULSE_gmi_index2,QQQ,GMI Index2 for R4/R5 components
MARKET_PULSE_gmi_short_term_sma,50,GMI short-term SMA period (P1/P2)
MARKET_PULSE_gmi_long_term_sma,150,GMI long-term SMA period (P3)
MARKET_PULSE_gmi_MF_index,SPY,GMI Mutual Fund ticker (P7)
MARKET_PULSE_gmi_MF_ma_period,50,GMI MF moving average period (P7)
MARKET_PULSE_gmi_breath_file_suffix,latest,Breadth file date selector (latest or YYYY-MM-DD)
# GMI2,,
MARKET_PULSE_gmi2_enable,TRUE,Enable GMI2 multi-SMA analysis (daily only)
MARKET_PULSE_gmi2_index,SPY;QQQ,GMI2 target indexes (semicolon separated)
MARKET_PULSE_gmi2_sma,10;20;50;150,GMI2 SMA periods (exactly 4 values)
MARKET_PULSE_gmi2_index_stochastic_1_thresholds,20,GMI2 stochastic 1 threshold
MARKET_PULSE_gmi2_index_stochastic_1_lookback,10,GMI2 stochastic 1 lookback
MARKET_PULSE_gmi2_index_stochastic_1_smoothness,4,GMI2 stochastic 1 smoothness
MARKET_PULSE_gmi2_index_stochastic_2_thresholds,20,GMI2 stochastic 2 threshold
MARKET_PULSE_gmi2_index_stochastic_2_lookback,10,GMI2 stochastic 2 lookback
MARKET_PULSE_gmi2_index_stochastic_2_smoothness,4,GMI2 stochastic 2 smoothness
MARKET_PULSE_gmi2_index_stochastic_3_thresholds,20,GMI2 stochastic 3 threshold
MARKET_PULSE_gmi2_index_stochastic_3_lookback,10,GMI2 stochastic 3 lookback
MARKET_PULSE_gmi2_index_stochastic_3_smoothness,1,GMI2 stochastic 3 smoothness
MARKET_PULSE_gmi2_index_stochastic_threshold,20,GMI2 stochastic threshold
MARKET_PULSE_gmi2_threshold,5,GMI2 bullish/bearish threshold (0-9 scale)
MARKET_PULSE_gmi2_confirmation_days,2,Days required for GMI2 signal confirmation
MARKET_PULSE_GMIGMI2_REPORT_enable,TRUE,Enable GMI/GMI2 PDF report
# FTD / DD (Follow-Through Day / Distribution Day),,
MARKET_PULSE_ftd_dd_enable,TRUE,Enable FTD/DD analysis
ftd_dd_indexes,SPY;QQQ;IWM,FTD/DD target indexes
ftd_dd_ftd_price_threshold,1.5,FTD minimum price gain % for Follow-Through Day
ftd_dd_ftd_volume_threshold,1.25,FTD minimum volume ratio (1.25 = 25% above 50-day avg)
ftd_dd_dd_price_threshold,-0.2,DD maximum price decline % for Distribution Day
ftd_dd_dd_volume_threshold,1.2,DD minimum volume ratio (1.20 = 20% above 50-day avg)
ftd_dd_analysis_period,50,Days to analyze for FTD/DD identification
ftd_dd_recent_activity_period,25,Days for recent FTD/DD activity assessment
ftd_dd_optimal_days_min,4,Minimum days from bottom for optimal FTD (O'Neil)
ftd_dd_optimal_days_max,7,Maximum days from bottom for optimal FTD (O'Neil)
ftd_dd_charts,SPY;QQQ,Indexes to create FTD/DD charts for
ftd_dd_charts_timeframe,350,FTD/DD chart timeframe in trading days
MARKET_PULSE_ftd_dd_report_enable,TRUE,Enable FTD/DD PDF report
# Chillax Moving Averages,,
MARKET_PULSE_chillax_ma_enable,TRUE,Enable Chillax MAs with Risk Zone coloring
MARKET_PULSE_chillax_mas_indexes,SPY;QQQ;IWM,Chillax MA analysis indexes
MARKET_PULSE_chillax_mas_sma,10;20,Chillax MA SMA periods
MARKET_PULSE_chillax_mas_charts,SPY;QQQ,Indexes to create Chillax charts for
MARKET_PULSE_chillax_mas_charts_timeframe,150,Chillax chart timeframe in trading days
MARKET_PULSE_chillax_display_sma,50;150;200,Additional MAs displayed on Chillax chart
MARKET_PULSE_chillax_trend_days,5,Trend confirmation days
# MA Cycles,,
MARKET_PULSE_ma_cycles_enable,TRUE,Enable MA Cycles analysis for trend cycle identification
MARKET_PULSE_ma_cycles_indexes,SPY;QQQ;IWM,MA Cycles analysis indexes
MARKET_PULSE_ma_cycles_ma_period,20,MA period for cycle analysis
MARKET_PULSE_ma_cycles_charts,SPY;QQQ,Indexes to create MA Cycles charts for
MARKET_PULSE_ma_cycles_charts_timeframe,200,MA Cycles chart timeframe in trading days
MARKET_PULSE_ma_cycles_cycle_mode,Sharp,Cycle detection mode (Sharp or Smoothed)
MARKET_PULSE_ma_cycles_smoothed_candles,3,Candles for smoothed cycle confirmation
# Output,,
MARKET_PULSE_output_dir,results/layer1_market_health/market_pulse,Market Pulse output directory
,,
,,
# ================================================================,,
# SECTION 6 — LAYER 2: BASIC CALCULATIONS,,
# ================================================================,,
,,
# ---------------------------------------------------------------,,
# 6a. TECHNICAL INDICATORS (EMA / SMA / ATR),,
INDICATORS_enable,FALSE,Enable advanced indicators (Kurutoga TSI MFI COG etc) — disabled to match baseline output
# ---------------------------------------------------------------,,
# EMA / SMA periods,,
daily_ema_periods,10;20;50,Daily EMA periods (semicolon separated)
daily_sma_periods,10;20;50;100;150;200;250;350,Daily SMA periods (semicolon separated)
weekly_ema_periods,10,Weekly EMA periods
weekly_sma_periods,20;50,Weekly SMA periods
monthly_ema_periods,10,Monthly EMA periods
monthly_sma_periods,12;24,Monthly SMA periods
# ATR,,
enable_atr_calculation,TRUE,Enable ATR and ATRext calculations
atr_period,14,ATR calculation period (Wilder method)
atr_sma_period,50,SMA baseline period for ATRext
enable_atr_percentile,TRUE,Calculate ATR volatility percentile ranking
atr_percentile_period,100,ATR percentile lookback period
,,
,,
# ---------------------------------------------------------------,,
# 6b. PCT CHANGE PERIODS,,
# ---------------------------------------------------------------,,
Basic_calc_daily_enable,TRUE,Enable basic calculations for daily timeframe
Basic_calc_weekly_enable,FALSE,Enable basic calculations for weekly timeframe
Basic_calc_monthly_enable,FALSE,Enable basic calculations for monthly timeframe
# Output directory,,
BASIC_CALCULATION_output_dir,results/layer2_basic_calculations/basic_calculation,Basic calculations output directory
# Period definitions — single source of truth for RS and basic calcs,,
# Daily timeframe parameters,,
daily_daily_periods,1;3;5,Daily percent change periods (semicolon separated)
daily_weekly_periods,7;14,Weekly percent change periods in trading days
daily_monthly_periods,22;44,Monthly percent change periods in trading days
daily_quarterly_periods,66;132,Quarterly percent change periods in trading days
daily_yearly_periods,252,Yearly percent change period in trading days
# Weekly timeframe parameters,,
weekly_weekly_periods,1;3;5;10;15,Weekly percent change periods (weeks back)
weekly_monthly_periods,4;8,Monthly percent change periods from weekly data
# Monthly timeframe parameters,,
monthly_monthly_periods,2;3;6,Monthly percent change periods (months back)
RS_monthly_periods,1;3;6,Monthly RS periods in months (used by RS calculator)
,,
,,
# ---------------------------------------------------------------,,
# 6c. STAGE ANALYSIS (Steve Stage 1-4),,
# ---------------------------------------------------------------,,
enable_stage_analysis,TRUE,Enable stage analysis globally
stage_analysis_min_price,1,Minimum price filter for stage analysis
stage_analysis_min_vol,10000,Minimum volume filter for stage analysis
stage_analysis_report_enable,TRUE,Generate PDF report after stage analysis
STAGE_ANALYSIS_output_dir,results/layer2_basic_calculations/stage_analysis,Stage analysis output directory
# Daily,,
stage_analysis_daily_enabled,TRUE,Enable daily stage analysis
stage_daily_ema_fast_period,10,Daily fast EMA period
stage_daily_sma_medium_period,20,Daily medium SMA period
stage_daily_sma_slow_period,50,Daily slow SMA period
stage_daily_atr_period,14,Daily ATR period
stage_daily_atr_threshold_low,4,Daily ATR low volatility threshold (%)
stage_daily_atr_threshold_high,7,Daily ATR high volatility threshold (%)
stage_daily_ma_convergence_threshold,1,Daily MA convergence threshold for Launch Pad (%)
# Weekly,,
stage_analysis_weekly_enabled,FALSE,Enable weekly stage analysis
stage_weekly_ema_fast_period,10,Weekly fast EMA period
stage_weekly_sma_medium_period,20,Weekly medium SMA period
stage_weekly_sma_slow_period,50,Weekly slow SMA period
stage_weekly_atr_period,14,Weekly ATR period
stage_weekly_atr_threshold_low,4,Weekly ATR low volatility threshold (%)
stage_weekly_atr_threshold_high,7,Weekly ATR high volatility threshold (%)
stage_weekly_ma_convergence_threshold,1,Weekly MA convergence threshold (%)
# Monthly,,
stage_analysis_monthly_enabled,FALSE,Enable monthly stage analysis
stage_monthly_ema_fast_period,10,Monthly fast EMA period
stage_monthly_sma_medium_period,20,Monthly medium SMA period
stage_monthly_sma_slow_period,50,Monthly slow SMA period
stage_monthly_atr_period,14,Monthly ATR period
stage_monthly_atr_threshold_low,4,Monthly ATR low volatility threshold (%)
stage_monthly_atr_threshold_high,7,Monthly ATR high volatility threshold (%)
stage_monthly_ma_convergence_threshold,1,Monthly MA convergence threshold (%)
,,
,,
# ---------------------------------------------------------------,,
# 6d. RELATIVE STRENGTH (RS),,
# ---------------------------------------------------------------,,
RS_enable_stocks,TRUE,Enable RS calculation for individual stocks
RS_enable_sectors,FALSE,Enable RS calculation for sectors
RS_enable_industries,FALSE,Enable RS calculation for industries
RS_benchmark_tickers,QQQ;SPY,Benchmark tickers (semicolon separated)
RS_composite_method,market_cap_weighted,Sector/industry composite method (equal_weighted | market_cap_weighted)
RS_min_group_size,3,Minimum stocks required for sector/industry composite
RS_percentile_universe_stocks,QQQ:NASDAQ100;SPY:SP500,Universe for stock percentiles
RS_percentile_universe_sectors,QQQ:NASDAQ100,Universe for sector percentiles
RS_percentile_universe_industries,QQQ:NASDAQ100,Universe for industry percentiles
# Timeframe flags,,
RS_daily_enable,TRUE,Enable RS for daily timeframe
RS_weekly_enable,FALSE,Enable RS for weekly timeframe
RS_monthly_enable,FALSE,Enable RS for monthly timeframe
# MA RS,,
RS_ma_enable,TRUE,Enable Moving Average RS calculations (parallel to IBD)
RS_ma_method,20;50,MA periods for RS calculation
RS_method_for_PER,IBD,RS method for percentile calculations (IBD | MA | both)
# Periods defined in Section 6b (PCT CHANGE PERIODS) — single source of truth,,
# Output,1,
RS_output_dir,results/layer2_basic_calculations/rs,RS output directory
,,
,,
# ---------------------------------------------------------------,,
# 6e. PERCENTILE (PER),,
# ---------------------------------------------------------------,,
PER_output_dir,results/layer2_basic_calculations/per,Percentile analysis output directory
,,
,,
# ---------------------------------------------------------------,,
# 6f. SCOOTER CALCULATIONS (stSCOOTER + fastSCOOTER),,
# ---------------------------------------------------------------,,
# PPO constants are fixed: fast=12 slow=26 signal=9 slope_window=3,,
# Weights must sum to 100,,
,,
# stSCOOTER (Stock Chart Scooter — slow / trend leaders),,
STSCOOTER_enable,TRUE,Enable stSCOOTER score calculation in basic_calc
STSCOOTER_weight_long,60,Long-term weight % (must sum to 100 with medium+short)
STSCOOTER_weight_medium,30,Medium-term weight %
STSCOOTER_weight_short,10,Short-term weight %
STSCOOTER_ema_long_period,200,Long-term EMA period (var1 — % vs EMA)
STSCOOTER_roc_long_period,125,Long-term ROC lookback in trading days (var2)
STSCOOTER_ema_short_period,50,Short-term EMA period (var3 — % vs EMA)
STSCOOTER_roc_short_period,20,Short-term ROC lookback in trading days (var4)
STSCOOTER_rsi_period,14,RSI period (var6)
,,
# fastSCOOTER (early momentum — inverted weights + shorter periods),,
FASTSCOOTER_enable,TRUE,Enable fastSCOOTER score calculation in basic_calc
FASTSCOOTER_weight_long,10,Long-term weight % (must sum to 100 with medium+short)
FASTSCOOTER_weight_medium,30,Medium-term weight %
FASTSCOOTER_weight_short,60,Short-term weight %
FASTSCOOTER_ema_long_period,50,Long-term EMA period (var1)
FASTSCOOTER_roc_long_period,20,Long-term ROC lookback in trading days (var2)
FASTSCOOTER_ema_short_period,21,Short-term EMA period (var3)
FASTSCOOTER_roc_short_period,5,Short-term ROC lookback in trading days (var4)
FASTSCOOTER_rsi_period,7,RSI period (var6)
,,
,,
# ================================================================,,
# SECTION 7 — LAYER 3: SCREENERS,,
# ================================================================,,
# Output directories,,
PVB_TWmodel_output_dir,results/layer3_screeners/pvbTW,PVB TWmodel output directory
ATR1_output_dir,results/layer3_screeners/atr1,ATR1 screener output directory
DRWISH_output_dir,results/layer3_screeners/drwish,Dr. Wish output directory
GIUSTI_output_dir,results/layer3_screeners/giusti,Giusti output directory
MINERVINI_output_dir,results/layer3_screeners/minervini,Minervini output directory
STOCKBEE_output_dir,results/layer3_screeners/stockbee,Stockbee output directory
QULLAMAGGIE_output_dir,results/layer3_screeners/qullamaggie,Qullamaggie output directory
ADL_SCREENER_output_dir,results/layer3_screeners/adl,ADL screener output directory
GUPPY_SCREENER_output_dir,results/layer3_screeners/guppy,Guppy GMMA output directory
GOLD_LAUNCH_PAD_output_dir,results/layer3_screeners/gold_launch_pad,Gold Launch Pad output directory
RTI_output_dir,results/layer3_screeners/rti,RTI output directory
VOLUME_SUITE_output_dir,results/layer3_screeners/volume_suite,Volume Suite output directory
STSCOOTER_output_dir,results/layer3_screeners/scooter/stscooter,stSCOOTER output directory
FASTSCOOTER_output_dir,results/layer3_screeners/scooter/fastscooter,fastSCOOTER output directory
SCOOTER_combined_output_dir,results/layer3_screeners/scooter/combined,Combined SCOOTER intersection output directory
,,
,,
# ---------------------------------------------------------------,,
# 7a. SCOOTER SCREENERS (stSCOOTER + fastSCOOTER — run first),,
# ---------------------------------------------------------------,,
# STSCOOTER_SCREENER_enable is in Section 0 (single source of truth),,
STSCOOTER_SCREENER_threshold_top,90,Leader tier (top 10%)
STSCOOTER_SCREENER_threshold_strong,70,Strong tier (top 30%) — default screener cutoff
STSCOOTER_SCREENER_threshold_weak,40,Weak/avoid tier
STSCOOTER_SCREENER_min_score,70,Minimum stSCOOTER score to pass screener
STSCOOTER_SCREENER_min_price,5,Minimum stock price
STSCOOTER_SCREENER_min_volume,100000,Minimum average volume
STSCOOTER_SCREENER_save_individual_files,TRUE,Save individual ticker result files
,,
# FASTSCOOTER_SCREENER_enable is in Section 0 (single source of truth),,
FASTSCOOTER_SCREENER_threshold_top,85,Leader tier (top 15% — slightly lower; faster signals are noisier)
FASTSCOOTER_SCREENER_threshold_strong,65,Strong tier — default screener cutoff
FASTSCOOTER_SCREENER_threshold_weak,30,Weak/avoid tier
FASTSCOOTER_SCREENER_min_score,65,Minimum fastSCOOTER score to pass screener
FASTSCOOTER_SCREENER_min_price,5,Minimum stock price
FASTSCOOTER_SCREENER_min_volume,100000,Minimum average volume
FASTSCOOTER_SCREENER_save_individual_files,TRUE,Save individual ticker result files
,,
# Combined output (tickers passing both stSCOOTER AND fastSCOOTER — high-conviction),,
SCOOTER_combined_enable,TRUE,Save intersection of stSCOOTER + fastSCOOTER results
,,
,,
# ---------------------------------------------------------------,,
# 7b. PVB TWMODEL (Price Volume Breakout — main active screener),,
# ---------------------------------------------------------------,,
# PVB_TWmodel_enable is in Section 0 (single source of truth),,
PVB_TWmodel_daily_enable,TRUE,Enable PVB daily timeframe
PVB_TWmodel_weekly_enable,FALSE,Enable PVB weekly timeframe
PVB_TWmodel_monthly_enable,FALSE,Enable PVB monthly timeframe
# Daily parameters,,
PVB_TWmodel_daily_price_breakout_period,30,Daily price breakout window (days)
PVB_TWmodel_daily_volume_breakout_period,30,Daily volume breakout window (days)
PVB_TWmodel_daily_trendline_length,50,Daily MA trend period (days)
PVB_TWmodel_daily_close_threshold,5,Daily days below/above MA to trigger close signal
PVB_TWmodel_daily_signal_max_age,100,Daily maximum signal age to include (days)
# Weekly parameters,,
