Date,Consumer non-durables,Consumer services,Electronic technology,Health technology,Producer manufacturing,Retail trade,Technology services,Transportation,Utilities
2024-06-24 00:00:00-04:00,112.8273,1117.5495,183.3148,294.9520,154.0587,311.3182,327.2774,97.5305,121.6333
2024-06-25 00:00:00-04:00,112.2523,1126.5809,187.5217,297.5292,156.9925,314.8395,332.1743,97.9198,123.7049
2024-06-26 00:00:00-04:00,111.5269,1117.7105,188.6452,296.2636,155.8939,321.5574,332.8519,97.6686,118.9798
2024-06-27 00:00:00-04:00,111.4353,1125.1898,188.1629,295.6882,155.9941,322.8751,335.4812,97.1372,117.0406
2024-06-28 00:00:00-04:00,110.0793,1112.7534,187.2687,294.6780,157.6274,318.8217,330.1615,96.6635,115.0281
2024-07-01 00:00:00-04:00,109.3547,1092.2373,189.8469,292.9857,157.8631,319.4183,333.3332,96.9016,116.6454
2024-07-02 00:00:00-04:00,109.6348,1101.3158,191.3505,292.6088,159.6389,323.2186,335.9914,96.9491,117.2878
2024-07-03 00:00:00-04:00,109.2673,1101.1131,195.7014,289.7497,161.2320,321.8141,336.9017,96.9285,118.7908
2024-07-05 00:00:00-04:00,110.0691,1104.8111,196.3039,293.1869,160.8586,328.8886,345.5069,98.7819,119.2628
2024-07-08 00:00:00-04:00,108.7949,1117.6707,198.7174,295.1193,163.1226,328.6145,342.5594,97.5071,120.7429
2024-07-09 00:00:00-04:00,108.1509,1115.6491,199.5246,295.5754,165.7186,330.9413,340.3378,96.7577,121.0630
2024-07-10 00:00:00-04:00,108.9036,1119.3997,203.9810,299.2599,167.7948,330.3308,343.2120,95.9163,122.6855
2024-07-11 00:00:00-04:00,109.2090,1105.4585,197.0777,300.7677,159.6447,322.4754,333.6750,96.6038,122.5721
2024-07-12 00:00:00-04:00,110.3914,1129.8127,199.5611,303.0921,160.9147,323.7296,331.5068,96.9553,122.7390
2024-07-15 00:00:00-04:00,108.6266,1146.4502,200.0662,300.0776,162.0025,322.2408,332.7858,98.3594,120.8839
2024-07-16 00:00:00-04:00,109.8413,1156.7041,199.5826,302.5734,163.0998,321.7444,329.8282,101.6185,118.0638
2024-07-17 00:00:00-04:00,112.2989,1122.4815,187.4409,300.7074,148.0650,315.3803,321.8260,97.8405,111.6073
2024-07-18 00:00:00-04:00,112.0842,1107.3307,187.4767,295.2581,146.5694,309.6719,320.7293,95.6534,111.8871
2024-07-19 00:00:00-04:00,111.2700,1117.4378,184.4594,301.8746,141.7136,310.1037,319.3919,98.6621,112.6161
2024-07-22 00:00:00-04:00,110.7570,1102.2586,189.2350,304.8758,149.8292,312.3218,324.7728,97.7285,113.3306
2024-07-23 00:00:00-04:00,109.8215,1104.2713,188.9430,301.5767,145.6251,315.8134,325.1337,97.9043,112.7797
2024-07-24 00:00:00-04:00,110.1104,1073.1672,179.4059,302.6107,138.4518,307.1646,311.7471,96.1367,107.5325
2024-07-25 00:00:00-04:00,110.0425,1035.1250,177.2732,299.8700,135.4475,303.9007,305.6459,97.1553,105.9631
2024-07-26 00:00:00-04:00,111.3691,1049.4976,179.2382,300.2265,137.8543,307.2516,309.5678,99.0347,108.0667
2024-07-29 00:00:00-04:00,111.9870,1064.5801,177.9427,300.9884,137.2413,306.2640,310.6931,99.4939,107.3531
2024-07-30 00:00:00-04:00,111.8217,1056.2066,173.3240,299.8090,131.8538,304.4913,308.8594,100.9023,106.2320
2024-07-31 00:00:00-04:00,112.0981,1053.6634,184.9263,301.2356,141.2195,311.6881,310.6831,103.6338,114.5548
2024-08-01 00:00:00-04:00,112.5713,1038.4913,175.7178,305.2116,130.5423,306.5757,312.3859,101.0593,110.7450
2024-08-02 00:00:00-04:00,113.6980,950.6470,171.8149,302.6758,121.4846,301.5518,305.4219,104.3623,106.9001
2024-08-05 00:00:00-04:00,111.2578,962.8241,165.8237,295.2657,121.4331,293.8005,295.5028,106.0720,106.6665
2024-08-06 00:00:00-04:00,110.7822,972.3502,167.7325,297.6113,122.0655,297.9367,300.2546,107.6275,111.1100
2024-08-07 00:00:00-04:00,110.4191,941.3818,165.0906,294.6312,119.0731,299.5428,299.1384,106.1788,110.9874
2024-08-08 00:00:00-04:00,110.5683,965.6120,172.2752,303.2645,126.4034,306.0701,306.4771,108.5739,113.4724
2024-08-09 00:00:00-04:00,110.4947,978.2974,172.7104,303.8340,126.9571,309.3813,309.6541,107.5433,114.6458
2024-08-12 00:00:00-04:00,109.9712,976.3076,174.8047,302.8789,127.7574,311.2484,308.7214,107.0937,113.6583
2024-08-13 00:00:00-04:00,110.9327,1012.8155,180.9302,307.4469,132.2481,314.5328,314.5304,109.8042,115.0353
2024-08-14 00:00:00-04:00,111.5589,1013.5491,182.2017,307.3012,132.9401,313.4458,314.3512,108.9797,113.3927
2024-08-15 00:00:00-04:00,111.9452,1030.7135,188.4142,311.3738,139.2496,324.5683,318.4857,111.5243,114.9932
2024-08-16 00:00:00-04:00,112.0123,1026.3801,189.0461,311.8930,136.8740,322.8765,317.4970,111.2802,115.1201
2024-08-19 00:00:00-04:00,112.7850,1048.6156,192.0256,316.1472,138.6735,325.8760,321.0292,111.6272,116.4047
2024-08-20 00:00:00-04:00,113.7256,1048.0156,190.5983,315.8240,135.8991,325.6843,322.2856,110.3028,115.5689
2024-08-21 00:00:00-04:00,113.8381,1057.3746,191.9077,316.3218,137.6037,327.5056,323.1718,112.0573,118.1056
2024-08-22 00:00:00-04:00,113.8745,1064.4414,187.3531,315.5973,132.4164,323.4543,318.6306,111.2190,117.4538
2024-08-23 00:00:00-04:00,114.3469,1081.6460,191.3574,316.6345,134.1059,324.3944,318.7195,111.8269,117.4782
2024-08-26 00:00:00-04:00,114.7137,1073.8983,188.2746,315.0416,130.1788,323.0165,316.8542,110.9660,117.8763
2024-08-27 00:00:00-04:00,114.5218,1096.6299,190.0240,315.5061,129.8093,324.2594,316.6648,109.8499,118.1145
2024-08-28 00:00:00-04:00,113.2232,1100.1584,187.5862,316.7835,128.0155,318.0938,313.7146,109.4045,117.1723
2024-08-29 00:00:00-04:00,112.3796,1098.2109,185.4148,317.3451,127.7512,319.8719,315.0462,108.7970,117.8676
2024-08-30 00:00:00-04:00,113.0278,1103.2837,187.6280,319.0156,130.7405,327.0489,317.9143,110.2054,118.8758
2024-09-03 00:00:00-04:00,115.1101,1077.6781,176.5878,313.1291,122.6259,321.1870,310.1753,108.6662,111.9328
2024-09-04 00:00:00-04:00,115.9755,1072.9017,174.8403,313.8535,122.0743,320.2670,309.8108,109.1294,112.2092
2024-09-05 00:00:00-04:00,116.1367,1068.3858,174.7951,308.4119,120.4493,324.7704,310.3784,107.8191,111.7576
2024-09-06 00:00:00-04:00,115.9067,1056.4916,168.7836,305.8611,117.3807,316.9105,302.5616,105.9342,110.2010
2024-09-09 00:00:00-04:00,116.4170,1075.9195,171.1585,309.0050,118.8334,323.8852,304.5400,107.4163,111.4908
2024-09-10 00:00:00-04:00,115.8455,1084.0100,172.6098,310.8953,118.8625,326.2435,307.1915,108.2056,113.6267
2024-09-11 00:00:00-04:00,115.1811,1083.2825,180.2691,312.3903,123.5239,331.7645,312.3507,110.0144,116.4170
2024-09-12 00:00:00-04:00,116.1729,1095.9642,181.6764,314.9763,121.7425,338.9906,317.2483,110.5411,117.5748
2024-09-13 00:00:00-04:00,116.9710,1112.2842,182.8986,314.6444,124.8270,338.0265,319.3463,111.4002,120.4106
2024-09-16 00:00:00-04:00,116.8770,1123.7861,179.0775,316.5723,124.0892,335.3126,321.0002,111.1191,122.0532
2024-09-17 00:00:00-04:00,116.7755,1140.5545,178.7205,313.5120,125.2817,334.3335,323.2342,111.1134,122.6170
2024-09-18 00:00:00-04:00,116.3341,1137.0474,178.2232,312.2810,123.5814,334.4620,321.3859,112.8340,121.8794
2024-09-19 00:00:00-04:00,116.0571,1135.5364,185.3008,315.7168,129.8331,338.3747,329.0449,116.8865,124.6966
2024-09-20 00:00:00-04:00,114.0317,1147.6074,183.5933,312.9655,127.1996,340.1885,328.7161,116.5102,143.4835
2024-09-23 00:00:00-04:00,114.4366,1155.6757,183.6909,309.1357,128.4068,343.1578,328.2891,116.4822,144.4190
2024-09-24 00:00:00-04:00,113.5942,1176.8295,186.4729,304.9476,129.8880,342.2403,327.6781,118.0413,142.6739
2024-09-25 00:00:00-04:00,112.9816,1175.8771,187.5985,300.5824,130.4626,342.8305,328.6926,119.2248,146.3470
2024-09-26 00:00:00-04:00,113.6887,1200.6708,190.2517,303.4551,137.3013,340.6461,328.5462,118.1830,143.7795
2024-09-27 00:00:00-04:00,114.4990,1195.4962,187.9883,303.0126,134.5733,335.3086,327.7040,118.1743,144.3087
2024-09-30 00:00:00-04:00,113.9691,1185.9671,189.0709,305.5186,133.0200,333.7244,329.8553,118.7543,145.8436
2024-10-01 00:00:00-04:00,113.9389,1156.9919,183.7152,303.8716,130.1428,332.7705,327.3327,117.6931,148.0218
2024-10-02 00:00:00-04:00,112.6526,1163.5656,185.6304,302.7617,132.4440,329.5016,325.8684,118.2658,147.8365
2024-10-03 00:00:00-04:00,111.9493,1157.4631,187.0762,298.0796,132.2105,326.6405,326.9470,117.0546,152.3501
2024-10-04 00:00:00-04:00,112.3817,1180.4524,189.2637,298.6521,133.7181,331.0134,330.1614,118.7787,155.1254
2024-10-07 00:00:00-04:00,111.7647,1175.6237,188.1176,294.3277,132.5048,325.6200,323.9973,116.5110,151.5924
2024-10-08 00:00:00-04:00,113.3289,1192.8567,192.4079,297.8336,132.9510,330.6388,328.7961,117.8090,151.9545
2024-10-09 00:00:00-04:00,114.2069,1209.5186,195.1245,301.7759,135.5977,335.8634,328.9787,117.9490,144.9677
2024-10-10 00:00:00-04:00,114.5062,1207.1317,195.1757,300.0754,134.7887,334.7174,328.0514,119.0362,144.7331
2024-10-11 00:00:00-04:00,115.5225,1206.9445,194.7685,303.2161,136.0964,337.8159,329.5672,122.6164,146.6400
2024-10-14 00:00:00-04:00,116.5851,1210.9738,198.7008,303.7118,141.1330,336.1263,330.8260,123.4906,149.1186
2024-10-15 00:00:00-04:00,116.8146,1213.2686,190.5355,302.0843,127.5364,334.7560,329.5813,122.7792,147.2774
2024-10-16 00:00:00-04:00,116.6936,1221.5295,190.3144,300.7591,124.0626,333.7315,326.9309,123.6280,153.2731
