time,open,high,low,close
2007-09-13,0.61,0.61,0.61,0.61
2007-09-14,0.63,0.63,0.63,0.63
2007-09-17,0.65,0.65,0.65,0.65
2007-09-18,0.69,0.69,0.69,0.69
2007-09-19,0.58,0.58,0.58,0.58
2007-09-20,0.56,0.56,0.56,0.56
2007-09-21,0.53,0.53,0.53,0.53
2007-09-24,0.61,0.61,0.61,0.61
2007-09-25,0.75,0.75,0.75,0.75
2007-09-26,0.6,0.6,0.6,0.6
2007-09-27,0.58,0.58,0.58,0.58
2007-09-28,0.78,0.78,0.78,0.78
2007-10-01,0.57,0.57,0.57,0.57
2007-10-02,0.66,0.66,0.66,0.66
2007-10-03,0.58,0.58,0.58,0.58
2007-10-04,0.5,0.5,0.5,0.5
2007-10-05,0.56,0.56,0.56,0.56
2007-10-08,0.52,0.52,0.52,0.52
2007-10-09,0.61,0.61,0.61,0.61
2007-10-10,0.56,0.56,0.56,0.56
2007-10-11,0.6,0.6,0.6,0.6
2007-10-12,0.56,0.56,0.56,0.56
2007-10-15,0.53,0.53,0.53,0.53
2007-10-16,0.75,0.75,0.75,0.75
2007-10-17,0.67,0.67,0.67,0.67
2007-10-18,0.52,0.52,0.52,0.52
2007-10-19,0.73,0.73,0.73,0.73
2007-10-22,0.66,0.66,0.66,0.66
2007-10-23,0.64,0.64,0.64,0.64
2007-10-24,0.73,0.73,0.73,0.73
2007-10-25,0.76,0.76,0.76,0.76
2007-10-26,0.53,0.53,0.53,0.53
2007-10-29,0.57,0.57,0.57,0.57
2007-10-30,0.84,0.84,0.84,0.84
2007-10-31,0.45,0.45,0.45,0.45
2007-11-01,0.68,0.68,0.68,0.68
2007-11-02,0.7,0.7,0.7,0.7
2007-11-05,0.67,0.67,0.67,0.67
2007-11-06,0.71,0.71,0.71,0.71
2007-11-07,0.67,0.67,0.67,0.67
2007-11-08,0.83,0.83,0.83,0.83
2007-11-09,0.72,0.72,0.72,0.72
2007-11-12,0.59,0.59,0.59,0.59
2007-11-13,0.85,0.85,0.85,0.85
2007-11-14,0.62,0.62,0.62,0.62
2007-11-15,0.8,0.8,0.8,0.8
2007-11-16,0.99,0.99,0.99,0.99
2007-11-19,0.66,0.66,0.66,0.66
2007-11-20,0.79,0.79,0.79,0.79
2007-11-21,0.82,0.82,0.82,0.82
2007-11-23,0.54,0.54,0.54,0.54
2007-11-26,0.7,0.7,0.7,0.7
2007-11-27,0.55,0.55,0.55,0.55
2007-11-28,0.57,0.57,0.57,0.57
2007-11-29,0.59,0.59,0.59,0.59
2007-11-30,0.68,0.68,0.68,0.68
2007-12-03,0.62,0.62,0.62,0.62
2007-12-04,0.87,0.87,0.87,0.87
2007-12-05,0.63,0.63,0.63,0.63
2007-12-06,0.55,0.55,0.55,0.55
2007-12-07,0.6,0.6,0.6,0.6
2007-12-10,0.68,0.68,0.68,0.68
2007-12-11,0.79,0.79,0.79,0.79
2007-12-12,0.68,0.68,0.68,0.68
2007-12-13,0.74,0.74,0.74,0.74
2007-12-14,0.62,0.62,0.62,0.62
2007-12-17,0.64,0.64,0.64,0.64
2007-12-18,0.77,0.77,0.77,0.77
2007-12-19,0.71,0.71,0.71,0.71
2007-12-20,0.42,0.42,0.42,0.42
2007-12-21,0.64,0.64,0.64,0.64
2007-12-24,0.72,0.72,0.72,0.72
2007-12-26,0.66,0.66,0.66,0.66
2007-12-27,0.6,0.6,0.6,0.6
2007-12-28,0.56,0.56,0.56,0.56
2007-12-31,0.67,0.67,0.67,0.67
2008-01-02,0.78,0.78,0.78,0.78
2008-01-03,0.71,0.71,0.71,0.71
2008-01-04,0.61,0.61,0.61,0.61
2008-01-07,0.78,0.78,0.78,0.78
2008-01-08,0.97,0.97,0.97,0.97
2008-01-09,0.75,0.75,0.75,0.75
2008-01-10,0.69,0.69,0.69,0.69
2008-01-11,0.71,0.71,0.71,0.71
2008-01-14,0.7,0.7,0.7,0.7
2008-01-15,1.05,1.05,1.05,1.05
2008-01-16,0.87,0.87,0.87,0.87
2008-01-17,0.99,0.99,0.99,0.99
2008-01-18,0.99,0.99,0.99,0.99
2008-01-22,0.73,0.73,0.73,0.73
2008-01-23,0.75,0.75,0.75,0.75
2008-01-24,0.59,0.59,0.59,0.59
2008-01-25,0.67,0.67,0.67,0.67
2008-01-28,0.64,0.64,0.64,0.64
2008-01-29,0.65,0.65,0.65,0.65
2008-01-30,0.62,0.62,0.62,0.62
2008-01-31,0.7,0.7,0.7,0.7
2008-02-01,0.56,0.56,0.56,0.56
2008-02-04,0.68,0.68,0.68,0.68
2008-02-05,0.94,0.94,0.94,0.94
2008-02-06,0.8,0.8,0.8,0.8
2008-02-07,0.88,0.88,0.88,0.88
2008-02-08,0.79,0.79,0.79,0.79
2008-02-11,0.68,0.68,0.68,0.68
2008-02-12,0.78,0.78,0.78,0.78
2008-02-13,0.75,0.75,0.75,0.75
2008-02-14,0.74,0.74,0.74,0.74
2008-02-15,0.78,0.78,0.78,0.78
2008-02-19,0.67,0.67,0.67,0.67
2008-02-20,0.7,0.7,0.7,0.7
2008-02-21,0.69,0.69,0.69,0.69
2008-02-22,0.84,0.84,0.84,0.84
2008-02-25,0.65,0.65,0.65,0.65
2008-02-26,0.8,0.8,0.8,0.8
2008-02-27,0.74,0.74,0.74,0.74
2008-02-28,0.96,0.96,0.96,0.96
2008-02-29,0.84,0.84,0.84,0.84
2008-03-03,0.79,0.79,0.79,0.79
2008-03-04,0.96,0.96,0.96,0.96
2008-03-05,0.68,0.68,0.68,0.68
2008-03-06,1.12,1.12,1.12,1.12
2008-03-07,0.92,0.92,0.92,0.92
2008-03-10,1,1,1,1
2008-03-11,0.89,0.89,0.89,0.89
2008-03-12,0.84,0.84,0.84,0.84
2008-03-13,0.82,0.82,0.82,0.82
2008-03-14,1.16,1.16,1.16,1.16
2008-03-17,1.34,1.34,1.34,1.34
2008-03-18,0.78,0.78,0.78,0.78
2008-03-19,0.9,0.9,0.9,0.9
2008-03-20,0.81,0.81,0.81,0.81
2008-03-24,0.63,0.63,0.63,0.63
2008-03-25,0.77,0.77,0.77,0.77
2008-03-26,0.77,0.77,0.77,0.77
2008-03-27,0.85,0.85,0.85,0.85
2008-03-28,0.86,0.86,0.86,0.86
2008-03-31,0.85,0.85,0.85,0.85
2008-04-01,0.81,0.81,0.81,0.81
2008-04-02,0.78,0.78,0.78,0.78
2008-04-03,0.82,0.82,0.82,0.82
2008-04-04,0.82,0.82,0.82,0.82
2008-04-07,0.74,0.74,0.74,0.74
2008-04-08,0.9,0.9,0.9,0.9
2008-04-09,0.9,0.9,0.9,0.9
2008-04-10,0.79,0.79,0.79,0.79
2008-04-11,0.9,0.9,0.9,0.9
2008-04-14,0.85,0.85,0.85,0.85
2008-04-15,0.94,0.94,0.94,0.94
2008-04-16,0.72,0.72,0.72,0.72
2008-04-17,0.75,0.75,0.75,0.75
2008-04-18,0.59,0.59,0.59,0.59
2008-04-21,0.6,0.6,0.6,0.6
2008-04-22,0.66,0.66,0.66,0.66
2008-04-23,0.7,0.7,0.7,0.7
2008-04-24,0.67,0.67,0.67,0.67
2008-04-25,0.73,0.73,0.73,0.73
2008-04-28,0.66,0.66,0.66,0.66
2008-04-29,0.83,0.83,0.83,0.83
2008-04-30,0.66,0.66,0.66,0.66
2008-05-01,0.58,0.58,0.58,0.58
2008-05-02,0.62,0.62,0.62,0.62
2008-05-05,0.66,0.66,0.66,0.66
2008-05-06,0.57,0.57,0.57,0.57
2008-05-07,0.66,0.66,0.66,0.66
2008-05-08,0.6,0.6,0.6,0.6
2008-05-09,0.7,0.7,0.7,0.7
2008-05-12,0.66,0.66,0.66,0.66
2008-05-13,0.6,0.6,0.6,0.6
2008-05-14,0.62,0.62,0.62,0.62
2008-05-15,0.59,0.59,0.59,0.59
2008-05-16,0.59,0.59,0.59,0.59
2008-05-19,0.56,0.56,0.56,0.56
2008-05-20,0.7,0.7,0.7,0.7
2008-05-21,0.79,0.79,0.79,0.79
2008-05-22,0.63,0.63,0.63,0.63
2008-05-23,0.72,0.72,0.72,0.72
2008-05-27,0.66,0.66,0.66,0.66
2008-05-28,0.62,0.62,0.62,0.62
2008-05-29,0.67,0.67,0.67,0.67
2008-05-30,0.59,0.59,0.59,0.59
2008-06-02,0.76,0.76,0.76,0.76
2008-06-03,0.8,0.8,0.8,0.8
2008-06-04,0.76,0.76,0.76,0.76
2008-06-05,0.64,0.64,0.64,0.64
2008-06-06,0.76,0.76,0.76,0.76
2008-06-09,0.78,0.78,0.78,0.78
2008-06-10,0.81,0.81,0.81,0.81
2008-06-11,0.85,0.85,0.85,0.85
2008-06-12,0.77,0.77,0.77,0.77
2008-06-13,0.76,0.76,0.76,0.76
2008-06-16,0.81,0.81,0.81,0.81
2008-06-17,0.75,0.75,0.75,0.75
2008-06-18,0.86,0.86,0.86,0.86
2008-06-19,0.76,0.76,0.76,0.76
2008-06-20,0.92,0.92,0.92,0.92
2008-06-23,0.65,0.65,0.65,0.65
2008-06-24,0.7,0.7,0.7,0.7
2008-06-25,0.71,0.71,0.71,0.71
2008-06-26,0.79,0.79,0.79,0.79
2008-06-27,0.81,0.81,0.81,0.81
2008-06-30,0.77,0.77,0.77,0.77
2008-07-01,0.8,0.8,0.8,0.8
2008-07-02,0.71,0.71,0.71,0.71
2008-07-03,0.85,0.85,0.85,0.85
2008-07-07,0.9,0.9,0.9,0.9
2008-07-08,0.74,0.74,0.74,0.74
2008-07-09,0.84,0.84,0.84,0.84
2008-07-10,0.93,0.93,0.93,0.93
2008-07-11,0.91,0.91,0.91,0.91
2008-07-14,0.93,0.93,0.93,0.93
2008-07-15,0.94,0.94,0.94,0.94
2008-07-16,0.78,0.78,0.78,0.78
2008-07-17,0.74,0.74,0.74,0.74
2008-07-18,0.72,0.72,0.72,0.72
2008-07-21,0.7,0.7,0.7,0.7
2008-07-22,0.77,0.77,0.77,0.77
2008-07-23,0.65,0.65,0.65,0.65
2008-07-24,0.82,0.82,0.82,0.82
2008-07-25,0.73,0.73,0.73,0.73
2008-07-28,0.8,0.8,0.8,0.8
2008-07-29,0.68,0.68,0.68,0.68
2008-07-30,0.72,0.72,0.72,0.72
2008-07-31,0.73,0.73,0.73,0.73
2008-08-01,0.86,0.86,0.86,0.86
2008-08-04,0.72,0.72,0.72,0.72
2008-08-05,0.63,0.63,0.63,0.63
2008-08-06,0.73,0.73,0.73,0.73
2008-08-07,0.83,0.83,0.83,0.83
2008-08-08,0.59,0.59,0.59,0.59
2008-08-11,0.68,0.68,0.68,0.68
2008-08-12,0.73,0.73,0.73,0.73
2008-08-13,0.72,0.72,0.72,0.72
2008-08-14,0.7,0.7,0.7,0.7
2008-08-15,0.65,0.65,0.65,0.65
2008-08-18,0.76,0.76,0.76,0.76
2008-08-19,0.88,0.88,0.88,0.88
2008-08-20,0.7,0.7,0.7,0.7
2008-08-21,0.65,0.65,0.65,0.65
2008-08-22,0.59,0.59,0.59,0.59
2008-08-25,0.71,0.71,0.71,0.71
2008-08-26,0.8,0.8,0.8,0.8
2008-08-27,0.69,0.69,0.69,0.69
2008-08-28,0.72,0.72,0.72,0.72
2008-08-29,0.71,0.71,0.71,0.71
2008-09-02,0.69,0.69,0.69,0.69
2008-09-03,0.68,0.68,0.68,0.68
2008-09-04,0.79,0.79,0.79,0.79
2008-09-05,0.78,0.78,0.78,0.78
2008-09-08,0.77,0.77,0.77,0.77
2008-09-09,1,1,1,1
2008-09-10,0.85,0.85,0.85,0.85
2008-09-11,0.83,0.83,0.83,0.83
2008-09-12,0.9,0.9,0.9,0.9
2008-09-15,1.18,1.18,1.18,1.18
2008-09-16,0.94,0.94,0.94,0.94
2008-09-17,0.98,0.98,0.98,0.98
2008-09-18,0.81,0.81,0.81,0.81
2008-09-19,0.51,0.51,0.51,0.51
2008-09-22,0.73,0.73,0.73,0.73
2008-09-23,0.76,0.76,0.76,0.76
2008-09-24,0.71,0.71,0.71,0.71
2008-09-25,0.63,0.63,0.63,0.63
2008-09-26,0.82,0.82,0.82,0.82
2008-09-29,0.79,0.79,0.79,0.79
2008-09-30,0.73,0.73,0.73,0.73
2008-10-01,0.79,0.79,0.79,0.79
2008-10-02,0.92,0.92,0.92,0.92
2008-10-03,0.73,0.73,0.73,0.73
2008-10-06,0.96,0.96,0.96,0.96
2008-10-07,0.95,0.95,0.95,0.95
2008-10-08,0.9,0.9,0.9,0.9
2008-10-09,1.06,1.06,1.06,1.06
2008-10-10,1.02,1.02,1.02,1.02
2008-10-13,0.69,0.69,0.69,0.69
2008-10-14,0.81,0.81,0.81,0.81
2008-10-15,0.91,0.91,0.91,0.91
2008-10-16,0.94,0.94,0.94,0.94
2008-10-17,0.82,0.82,0.82,0.82
2008-10-20,0.63,0.63,0.63,0.63
2008-10-21,0.77,0.77,0.77,0.77
2008-10-22,0.9,0.9,0.9,0.9
2008-10-23,0.92,0.92,0.92,0.92
2008-10-24,0.98,0.98,0.98,0.98
2008-10-27,0.82,0.82,0.82,0.82
2008-10-28,0.68,0.68,0.68,0.68
2008-10-29,0.59,0.59,0.59,0.59
2008-10-30,0.69,0.69,0.69,0.69
2008-10-31,0.75,0.75,0.75,0.75
2008-11-03,0.75,0.75,0.75,0.75
2008-11-04,0.71,0.71,0.71,0.71
2008-11-05,0.81,0.81,0.81,0.81
2008-11-06,1.02,1.02,1.02,1.02
2008-11-07,0.76,0.76,0.76,0.76
2008-11-10,0.93,0.93,0.93,0.93
2008-11-11,0.96,0.96,0.96,0.96
2008-11-12,0.98,0.98,0.98,0.98
2008-11-13,0.93,0.93,0.93,0.93
2008-11-14,0.83,0.83,0.83,0.83
2008-11-17,0.86,0.86,0.86,0.86
2008-11-18,0.94,0.94,0.94,0.94
2008-11-19,1.16,1.16,1.16,1.16
2008-11-20,1.05,1.05,1.05,1.05
2008-11-21,1.13,1.13,1.13,1.13
2008-11-24,0.57,0.57,0.57,0.57
2008-11-25,0.7,0.7,0.7,0.7
2008-11-26,0.64,0.64,0.64,0.64
2008-11-28,0.72,0.72,0.72,0.72
2008-12-01,0.89,0.89,0.89,0.89
2008-12-02,0.75,0.75,0.75,0.75
2008-12-03,0.74,0.74,0.74,0.74
2008-12-04,0.81,0.81,0.81,0.81
2008-12-05,0.62,0.62,0.62,0.62
2008-12-08,0.73,0.73,0.73,0.73
2008-12-09,0.74,0.74,0.74,0.74
2008-12-10,0.77,0.77,0.77,0.77
2008-12-11,0.84,0.84,0.84,0.84
2008-12-12,0.92,0.92,0.92,0.92
2008-12-15,0.88,0.88,0.88,0.88
2008-12-16,0.72,0.72,0.72,0.72
2008-12-17,0.64,0.64,0.64,0.64
2008-12-18,0.81,0.81,0.81,0.81
2008-12-19,0.69,0.69,0.69,0.69
2008-12-22,0.68,0.68,0.68,0.68
2008-12-23,0.48,0.48,0.48,0.48
2008-12-24,0.65,0.65,0.65,0.65
2008-12-26,0.65,0.65,0.65,0.65
2008-12-29,0.62,0.62,0.62,0.62
2008-12-30,0.62,0.62,0.62,0.62
2008-12-31,0.61,0.61,0.61,0.61
2009-01-02,0.66,0.66,0.66,0.66
2009-01-05,0.67,0.67,0.67,0.67
2009-01-06,0.73,0.73,0.73,0.73
2009-01-07,1,1,1,1
2009-01-08,0.89,0.89,0.89,0.89
2009-01-09,0.87,0.87,0.87,0.87
2009-01-12,0.99,0.99,0.99,0.99
2009-01-13,0.92,0.92,0.92,0.92
2009-01-14,0.98,0.98,0.98,0.98
2009-01-15,1,1,1,1
2009-01-16,0.82,0.82,0.82,0.82
2009-01-20,0.9,0.9,0.9,0.9
2009-01-21,0.8,0.8,0.8,0.8
2009-01-22,0.76,0.76,0.76,0.76
2009-01-23,0.68,0.68,0.68,0.68
2009-01-26,0.66,0.66,0.66,0.66
2009-01-27,0.68,0.68,0.68,0.68
2009-01-28,0.62,0.62,0.62,0.62
2009-01-29,0.89,0.89,0.89,0.89
2009-01-30,0.87,0.87,0.87,0.87
2009-02-02,0.75,0.75,0.75,0.75
2009-02-03,0.77,0.77,0.77,0.77
2009-02-04,0.78,0.78,0.78,0.78
2009-02-05,0.73,0.73,0.73,0.73
2009-02-06,0.59,0.59,0.59,0.59
2009-02-09,0.63,0.63,0.63,0.63
2009-02-10,0.76,0.76,0.76,0.76
2009-02-11,0.81,0.81,0.81,0.81
2009-02-12,0.89,0.89,0.89,0.89
2009-02-13,0.74,0.74,0.74,0.74
2009-02-17,0.95,0.95,0.95,0.95
2009-02-18,0.89,0.89,0.89,0.89
2009-02-19,0.95,0.95,0.95,0.95
2009-02-20,0.83,0.83,0.83,0.83
2009-02-23,0.8,0.8,0.8,0.8
2009-02-24,0.64,0.64,0.64,0.64
2009-02-25,0.65,0.65,0.65,0.65
2009-02-26,0.66,0.66,0.66,0.66
2009-02-27,0.69,0.69,0.69,0.69
2009-03-02,0.86,0.86,0.86,0.86
2009-03-03,0.79,0.79,0.79,0.79
2009-03-04,0.84,0.84,0.84,0.84
2009-03-05,0.9,0.9,0.9,0.9
2009-03-06,0.83,0.83,0.83,0.83
2009-03-09,0.61,0.61,0.61,0.61
2009-03-10,0.57,0.57,0.57,0.57
2009-03-11,0.66,0.66,0.66,0.66
2009-03-12,0.61,0.61,0.61,0.61
2009-03-13,0.61,0.61,0.61,0.61
2009-03-16,0.69,0.69,0.69,0.69
2009-03-17,0.66,0.66,0.66,0.66
2009-03-18,0.54,0.54,0.54,0.54
2009-03-19,0.57,0.57,0.57,0.57
2009-03-20,0.73,0.73,0.73,0.73
2009-03-23,0.52,0.52,0.52,0.52
2009-03-24,0.62,0.62,0.62,0.62
2009-03-25,0.64,0.64,0.64,0.64
2009-03-26,0.67,0.67,0.67,0.67
2009-03-27,0.74,0.74,0.74,0.74
2009-03-30,0.77,0.77,0.77,0.77
2009-03-31,0.66,0.66,0.66,0.66
2009-04-01,0.71,0.71,0.71,0.71
2009-04-02,0.59,0.59,0.59,0.59
2009-04-03,0.67,0.67,0.67,0.67
