ticker,adl_5d_pct_change,adl_10d_pct_change,adl_20d_pct_change,momentum_signal,acceleration_pattern,momentum_score,inflection_point,meets_criteria
EA,5.42,4.87,46.38,momentum,,96.99,True,True
ADI,4.33,3.24,14.62,momentum,,75.92,False,True
TRI,1.62,-2.23,18.1,momentum,,70.45,False,True
CDNS,42.35,36.09,245.09,momentum,,100.0,True,True
CCEP,2.21,-8.44,-12.5,neutral,,38.06,False,False
XEL,6.6,6.21,13.11,momentum,,79.97,True,True
NVDA,0.73,3.52,5.26,deceleration,slowing_momentum,46.8,False,False
BKR,1.29,6.13,7.22,deceleration,slowing_momentum,50.72,False,True
ORLY,5.41,10.99,1.81,momentum,moderate_acceleration,76.08,True,True
MDLZ,42.5,70.71,454.27,deceleration,slowing_momentum,90.0,True,True
AZN,6.79,5.89,30.93,momentum,,90.31,True,True
AVGO,-7.65,-2.99,2.91,deceleration,,30.92,True,False
EXC,-1.07,-5.97,-11.05,neutral,,37.42,False,False
CSCO,-3.83,-1.15,-4.29,neutral,,42.39,False,False
FTNT,5.2,5.88,9.31,deceleration,slowing_momentum,55.96,True,True
SBUX,0.1,-4.61,-6.81,neutral,,42.29,False,False
WDAY,-173.58,-122.51,-109.82,deceleration,negative_acceleration,0.0,True,False
SHOP,5.17,6.81,0.84,momentum,moderate_acceleration,71.76,True,True
DASH,1.09,2.96,4.67,deceleration,slowing_momentum,46.37,False,False
AMD,-9.39,1.82,-11.13,neutral,,34.86,True,False
TSLA,-1.2,9.78,1.92,momentum,,67.97,False,True
CSX,86.36,-20.14,3.59,momentum,moderate_acceleration,100.0,True,True
PANW,5.76,11.53,-9.78,momentum,moderate_acceleration,70.14,True,True
MNST,-842.91,1.48,-54.71,neutral,,0.0,True,False
CPRT,-49.77,-49.52,-56.43,neutral,,0.0,True,False
DXCM,-13.58,-7.95,-9.18,neutral,,23.31,True,False
KDP,6.3,-38.72,-35.29,neutral,,6.54,True,False
ON,-3.8,-10.58,-8.35,neutral,,32.2,False,False
FAST,0.51,5.06,13.42,deceleration,slowing_momentum,52.6,False,True
TTD,1.03,0.34,43.5,momentum,,86.77,False,True
ARM,0.11,3.91,8.0,deceleration,slowing_momentum,48.05,False,False
DDOG,5.15,17.6,7.97,momentum,,84.89,True,True
WBD,-192.86,-152.32,-162.35,neutral,,0.0,True,False
PLTR,1.14,4.36,5.07,deceleration,slowing_momentum,47.82,False,False
CSGP,-11.02,13.52,-32.41,neutral,,30.42,True,False
GFS,-5.35,-5.79,2.66,neutral,,40.92,True,False
ZS,8.89,9.35,8.86,momentum,moderate_acceleration,82.59,True,True
MCHP,-44.43,-11.93,6.16,deceleration,,0.0,False,False
MRVL,70.64,25.52,10.47,acceleration,strong_acceleration,100.0,True,True
CRWD,1.53,4.48,2.63,neutral,,56.93,False,True
TEAM,10.85,5.41,40.98,momentum,,100.0,True,True
KHC,-4.04,-67.15,-68.83,neutral,,0.0,False,False
INTC,-5.33,-6.3,3.43,neutral,,40.98,True,False
TTWO,4.24,8.18,2.39,momentum,moderate_acceleration,72.8,False,True
