ticker,date,price,volume,composite_score,score_category,longterm_score,shortterm_score,ma_alignment_score,longterm_contribution,shortterm_contribution,ma_contribution,meets_threshold,key_strengths,key_weaknesses,mom_current_streak,mom_avg_monthly_change,momentum_signal,acceleration_pattern,ma_alignment,recent_crossover,rank
MSTR,2025-09-05,335.87,13968300,53.67,weak,21.67,100.0,50.0,8.67,30.0,15.0,False,shortterm,longterm;ma_alignment,1,123.39,momentum,moderate_acceleration,bearish,,37
ZS,2025-09-05,274.2,1620200,53.43,weak,13.33,82.59,77.75,5.33,24.78,23.32,False,shortterm,longterm,0,29.99,momentum,moderate_acceleration,neutral,,38
NVDA,2025-09-05,167.02,223991400,53.35,weak,24.31,46.8,98.63,9.72,14.04,29.59,False,ma_alignment,longterm;shortterm,0,5.33,deceleration,slowing_momentum,bullish,,39
HON,2025-09-05,214.25,4104600,53.33,weak,13.33,90.0,70.0,5.33,27.0,21.0,False,shortterm,longterm,0,486.88,deceleration,slowing_momentum,neutral,,40
MDLZ,2025-09-05,61.74,6149600,53.33,weak,13.33,90.0,70.0,5.33,27.0,21.0,False,shortterm,longterm,0,103.21,deceleration,slowing_momentum,neutral,,41
BKR,2025-09-05,45.58,4978400,53.26,weak,27.61,50.72,90.0,11.04,15.22,27.0,False,ma_alignment,longterm;shortterm,0,11.68,deceleration,slowing_momentum,bullish,,42
ADP,2025-09-05,295.97,1892500,52.83,weak,28.59,47.98,90.0,11.44,14.39,27.0,False,ma_alignment,longterm;shortterm,0,11.14,deceleration,slowing_momentum,bullish,,43
DASH,2025-09-05,246.85,2195400,52.34,weak,28.56,46.37,90.0,11.42,13.91,27.0,False,ma_alignment,longterm;shortterm,0,9.99,deceleration,slowing_momentum,bullish,,44
QCOM,2025-09-05,159.84,7951600,52.0,weak,10.0,90.0,70.0,4.0,27.0,21.0,False,shortterm,longterm,0,11.99,deceleration,slowing_momentum,neutral,golden,45
DDOG,2025-09-05,136.08,4850500,51.8,weak,13.33,84.89,70.0,5.33,25.47,21.0,False,shortterm,longterm,0,38.73,momentum,,neutral,death,46
AXON,2025-09-05,728.41,398100,51.78,weak,23.42,47.02,94.35,9.37,14.11,28.3,False,ma_alignment,longterm;shortterm,0,8.44,neutral,,bullish,,47
PAYX,2025-09-05,135.44,1898300,51.35,weak,18.33,76.74,70.0,7.33,23.02,21.0,False,none,longterm,0,18.59,acceleration,moderate_acceleration,neutral,death,48
AAPL,2025-09-05,239.69,54837300,51.1,weak,30.0,90.0,40.32,12.0,27.0,12.1,False,shortterm,longterm;ma_alignment,0,11.12,deceleration,slowing_momentum,bearish,,49
CSCO,2025-09-05,66.9,21048200,50.99,weak,28.19,42.39,90.0,11.28,12.72,27.0,False,ma_alignment,longterm;shortterm,0,11.7,neutral,,bullish,,50
