ticker,screen_type,signal_type,signal_date,current_price,signal_price,sma,volume,volume_highest,days_since_signal,price_change_pct,volume_change_pct,volume_surge,score,signal_day_change_abs,signal_day_change_pct,performance_since_signal
XLY,pvb,Buy,2025-09-04,235.1100006103516,235.16000366210935,224.30879974365234,12331200.0,11330200.0,1,4.815326406740716,36.789288803375044,8.83479550228592,13.783372952567275,2.4400024414062216,1.0484713082706685,-0.021263416813686885
HPQ,pvb,Buy,2025-08-28,29.34000015258789,28.350000381469727,25.631000022888184,20139900.0,19507300.0,8,14.470758559508457,-55.518703254679025,3.2428885596674117,13.127564575552688,0.029998779296875,-0.10570394708942152,3.4920626377319306
AMD,pvb,Buy,2025-06-16,151.13999938964844,126.38999938964844,104.54699981689453,100968500.0,97827400.0,81,44.56655825069846,-20.304229694339217,3.2108591253575236,11.407155826700777,7.75,6.5323668576116,19.58224552537427
MSFT,pvb,Close Buy,2025-09-05,495.0,495.0,509.71340026855466,31971700.0,51617300.0,0,-2.8866026007561385,-38.06010775457066,-38.06010775457066,0.0,14.070007324218807,-2.7638649148029333,0.0
BRK-B,pvb,Close Sell,2025-08-25,499.7699890136719,486.1799926757813,478.9361999511719,3929900.0,10874300.0,11,4.350013439081035,-61.20393956392596,-63.86066229550408,0.0,2.830017089843693,-0.5787237547959554,2.795260303307735
ORCL,pvb,Close Buy,2025-09-05,232.8000030517578,232.8000030517578,238.44469146728517,15367400.0,54610000.0,0,-2.367294646314999,-71.85973264969785,-71.85973264969785,0.0,0.25,0.10750376122091833,0.0
UNH,pvb,Close Sell,2025-08-21,315.3900146484375,303.3500061035156,288.71711791992186,13359000.0,68198500.0,15,9.238418878895004,-79.3278444540569,-80.41159263033644,0.0,1.05999755859375,0.35065583665701233,3.9690154286047137
PM,pvb,Close Buy,2025-07-28,161.5500030517578,157.77000427246094,177.24065673828125,8676900.0,19831800.0,39,-8.85273953238207,-79.54446898415675,-56.24754182676308,0.0,1.8300018310546875,-1.1466176447811405,2.3958919166719457
VRSN,pvb,Close Buy,2025-08-04,280.0899963378906,267.5181579589844,280.67041442871096,1194700.0,3755700.0,32,-0.20679703345354294,-81.82495939505286,-68.18968501211492,0.0,1.6253154788697088,0.6112671043378166,4.6994336664181695
XLE,pvb,Close Sell,2025-06-12,87.36000061035156,85.89128112792969,81.6749853515625,17014100.0,59481200.0,85,6.96053416394069,-59.49913586141504,-71.39583599523883,0.0,0.694348506905456,0.8149923777116245,1.7099750558316962
XLV,pvb,Close Sell,2025-06-16,137.89999389648438,135.0652313232422,134.14601013183594,14171000.0,39444700.0,81,2.7984311728385336,-62.82491690898904,-64.07375388835509,0.0,0.7066181959583844,-0.5204452899925002,2.0988099938598914
VHT,pvb,Close Sell,2025-06-16,257.0,248.66053771972656,245.52755340576172,262000.0,1384600.0,81,4.67256991531162,-85.95984399826665,-81.07756752852809,0.0,1.2451454795891266,-0.4982461637721315,3.353753819061197
