Ticker,Date,UnusualVolume,Z_Score,Volume_Percentile,Volume_vs_Mean_Ratio,Volume_vs_Threshold_Ratio,Dataset_Volume_Mean,Dataset_Volume_Std,Statistical_Threshold,Total_Anomalies_Found,Anomaly_Rate_Pct,Close,Anomaly_Strength
REGN,2025-05-30,6313100,11.13,100.0,8.06,2.78,783479.0,496786.0,2273838.0,5,1.19,489.5366516113281,Moderate
REGN,2025-06-02,2944300,4.35,99.8,3.76,1.29,783479.0,496786.0,2273838.0,5,1.19,490.06585693359375,Weak
CHTR,2024-02-02,4973200,4.2,99.8,3.51,1.26,1414993.0,846680.0,3955033.0,11,2.61,319.2099914550781,Weak
CHTR,2024-02-06,4085600,3.15,97.9,2.89,1.03,1414993.0,846680.0,3955033.0,11,2.61,290.2799987792969,Weak
CHTR,2024-02-07,4253500,3.35,98.3,3.01,1.08,1414993.0,846680.0,3955033.0,11,2.61,283.6700134277344,Weak
CHTR,2024-02-26,4509000,3.65,99.0,3.19,1.14,1414993.0,846680.0,3955033.0,11,2.61,292.6400146484375,Weak
CHTR,2024-06-28,4560600,3.72,99.3,3.22,1.15,1414993.0,846680.0,3955033.0,11,2.61,298.9599914550781,Weak
CHTR,2024-07-26,4962600,4.19,99.5,3.51,1.25,1414993.0,846680.0,3955033.0,11,2.61,367.6199951171875,Weak
CHTR,2024-09-24,4190400,3.28,98.1,2.96,1.06,1414993.0,846680.0,3955033.0,11,2.61,323.3599853515625,Weak
CHTR,2024-11-01,4442300,3.58,98.8,3.14,1.12,1414993.0,846680.0,3955033.0,11,2.61,366.489990234375,Weak
CHTR,2025-07-25,9638100,9.71,100.0,6.81,2.44,1414993.0,846680.0,3955033.0,11,2.61,309.75,Moderate
CHTR,2025-07-28,4020600,3.08,97.6,2.84,1.02,1414993.0,846680.0,3955033.0,11,2.61,298.2699890136719,Weak
CHTR,2025-07-29,4374500,3.5,98.6,3.09,1.11,1414993.0,846680.0,3955033.0,11,2.61,280.67999267578125,Weak
KLAC,2024-07-24,2430100,3.11,98.3,2.33,1.02,1044329.0,445830.0,2381817.0,8,1.9,747.17822265625,Weak
KLAC,2024-10-15,2870900,4.1,99.5,2.75,1.21,1044329.0,445830.0,2381817.0,8,1.9,700.9547729492188,Weak
KLAC,2024-12-20,2652200,3.61,98.8,2.54,1.11,1044329.0,445830.0,2381817.0,8,1.9,625.0831298828125,Weak
KLAC,2025-03-21,2454800,3.16,98.6,2.35,1.03,1044329.0,445830.0,2381817.0,8,1.9,703.2628173828125,Weak
KLAC,2025-04-07,2996100,4.38,99.8,2.87,1.26,1044329.0,445830.0,2381817.0,8,1.9,601.858154296875,Weak
KLAC,2025-04-08,2719800,3.76,99.3,2.6,1.14,1044329.0,445830.0,2381817.0,8,1.9,596.771484375,Weak
KLAC,2025-04-09,3447900,5.39,100.0,3.3,1.45,1044329.0,445830.0,2381817.0,8,1.9,700.0973510742188,Weak
KLAC,2025-04-10,2676100,3.66,99.0,2.56,1.12,1044329.0,445830.0,2381817.0,8,1.9,653.760009765625,Weak
META,2024-02-02,84707600,8.91,100.0,5.74,2.21,14759184.0,7846464.0,38298576.0,8,1.9,472.3984069824219,Moderate
META,2024-02-05,40832400,3.32,99.0,2.77,1.07,14759184.0,7846464.0,38298576.0,8,1.9,456.90338134765625,Weak
META,2024-04-25,82890700,8.68,99.8,5.62,2.16,14759184.0,7846464.0,38298576.0,8,1.9,439.4375305175781,Moderate
META,2024-08-01,43083100,3.61,99.3,2.92,1.12,14759184.0,7846464.0,38298576.0,8,1.9,496.0414733886719,Weak
META,2024-12-20,48989400,4.36,99.5,3.32,1.28,14759184.0,7846464.0,38298576.0,8,1.9,584.2802124023438,Weak
META,2025-04-04,38589800,3.04,98.3,2.61,1.01,14759184.0,7846464.0,38298576.0,8,1.9,504.3419494628906,Weak
META,2025-04-09,39216600,3.12,98.8,2.66,1.02,14759184.0,7846464.0,38298576.0,8,1.9,585.3196411132812,Weak
META,2025-07-31,38831100,3.07,98.6,2.63,1.01,14759184.0,7846464.0,38298576.0,8,1.9,773.4400024414062,Weak
ASML,2024-01-24,7754300,5.53,99.3,4.99,1.58,1552870.0,1120945.0,4915705.0,8,1.9,836.4120483398438,Weak
ASML,2024-07-17,5188400,3.24,98.8,3.34,1.06,1552870.0,1120945.0,4915705.0,8,1.9,923.5989990234376,Weak
ASML,2024-10-15,9350700,6.96,99.5,6.02,1.9,1552870.0,1120945.0,4915705.0,8,1.9,725.1404418945312,Weak
ASML,2024-10-16,10296200,7.8,99.8,6.63,2.09,1552870.0,1120945.0,4915705.0,8,1.9,678.5701293945312,Weak
ASML,2024-10-17,7209100,5.05,99.0,4.64,1.47,1552870.0,1120945.0,4915705.0,8,1.9,695.5264282226562,Weak
ASML,2025-01-27,4947800,3.03,98.3,3.19,1.01,1552870.0,1120945.0,4915705.0,8,1.9,686.742431640625,Weak
ASML,2025-01-29,4971500,3.05,98.6,3.2,1.01,1552870.0,1120945.0,4915705.0,8,1.9,709.13134765625,Weak
ASML,2025-07-16,10789600,8.24,100.0,6.95,2.19,1552870.0,1120945.0,4915705.0,8,1.9,754.4500122070312,Moderate
NFLX,2024-01-23,15506000,5.15,99.3,4.12,1.46,3768146.0,2278887.0,10604807.0,7,1.66,492.1900024414063,Weak
NFLX,2024-01-24,26432800,9.95,100.0,7.01,2.49,3768146.0,2278887.0,10604807.0,7,1.66,544.8699951171875,Moderate
NFLX,2024-01-26,12770600,3.95,98.8,3.39,1.2,3768146.0,2278887.0,10604807.0,7,1.66,570.4199829101562,Weak
NFLX,2024-04-19,16449700,5.56,99.8,4.37,1.55,3768146.0,2278887.0,10604807.0,7,1.66,555.0399780273438,Weak
NFLX,2024-10-18,15974100,5.36,99.5,4.24,1.51,3768146.0,2278887.0,10604807.0,7,1.66,763.8900146484375,Weak
NFLX,2025-01-22,14273200,4.61,99.0,3.79,1.35,3768146.0,2278887.0,10604807.0,7,1.66,953.989990234375,Weak
NFLX,2025-07-18,10693300,3.04,98.6,2.84,1.01,3768146.0,2278887.0,10604807.0,7,1.66,1209.239990234375,Weak
COST,2024-03-08,8590200,8.25,100.0,4.19,1.94,2049044.0,792892.0,4427721.0,10,2.38,719.6742553710938,Moderate
COST,2024-07-11,6021100,5.01,99.8,2.94,1.36,2049044.0,792892.0,4427721.0,10,2.38,841.0703125,Weak
COST,2024-09-20,4658200,3.29,98.3,2.27,1.05,2049044.0,792892.0,4427721.0,10,2.38,902.3492431640624,Weak
COST,2024-12-20,5373800,4.19,99.0,2.62,1.21,2049044.0,792892.0,4427721.0,10,2.38,950.4600830078124,Weak
COST,2025-03-07,5510700,4.37,99.5,2.69,1.24,2049044.0,792892.0,4427721.0,10,2.38,961.7228393554688,Weak
COST,2025-03-10,4459900,3.04,97.9,2.18,1.01,2049044.0,792892.0,4427721.0,10,2.38,931.903076171875,Weak
COST,2025-04-04,5167000,3.93,98.8,2.52,1.17,2049044.0,792892.0,4427721.0,10,2.38,914.0211181640624,Weak
COST,2025-04-07,4626600,3.25,98.1,2.26,1.04,2049044.0,792892.0,4427721.0,10,2.38,905.6935424804688,Weak
COST,2025-04-09,5084500,3.83,98.6,2.48,1.15,2049044.0,792892.0,4427721.0,10,2.38,962.6004638671876,Weak
COST,2025-05-30,5403800,4.23,99.3,2.64,1.22,2049044.0,792892.0,4427721.0,10,2.38,1038.740966796875,Weak
ADBE,2024-02-16,10328400,3.42,98.3,2.97,1.09,3481045.0,2003507.0,9491565.0,8,1.9,546.6599731445312,Weak
ADBE,2024-03-15,19580800,8.04,100.0,5.62,2.06,3481045.0,2003507.0,9491565.0,8,1.9,492.4599914550781,Moderate
ADBE,2024-06-14,14846600,5.67,99.5,4.26,1.56,3481045.0,2003507.0,9491565.0,8,1.9,525.3099975585938,Weak
ADBE,2024-09-13,10423500,3.47,98.6,2.99,1.1,3481045.0,2003507.0,9491565.0,8,1.9,536.8699951171875,Weak
ADBE,2024-12-12,17344900,6.92,99.8,4.98,1.83,3481045.0,2003507.0,9491565.0,8,1.9,474.6300048828125,Weak
ADBE,2024-12-13,11395500,3.95,99.0,3.27,1.2,3481045.0,2003507.0,9491565.0,8,1.9,465.6900024414063,Weak
ADBE,2025-03-13,14386600,5.44,99.3,4.13,1.52,3481045.0,2003507.0,9491565.0,8,1.9,377.8399963378906,Weak
ADBE,2025-06-13,10629700,3.57,98.8,3.05,1.12,3481045.0,2003507.0,9491565.0,8,1.9,391.6799926757813,Weak
LULU,2024-03-22,19680100,6.71,99.8,8.03,1.94,2452083.0,2568081.0,10156327.0,7,1.66,403.1900024414063,Weak
LULU,2024-06-06,12294700,3.83,98.8,5.01,1.21,2452083.0,2568081.0,10156327.0,7,1.66,323.0299987792969,Weak
LULU,2024-12-06,10952000,3.31,98.6,4.47,1.08,2452083.0,2568081.0,10156327.0,7,1.66,399.6000061035156,Weak
LULU,2025-03-28,12915200,4.07,99.0,5.27,1.27,2452083.0,2568081.0,10156327.0,7,1.66,293.0599975585937,Weak
LULU,2025-06-06,16112200,5.32,99.5,6.57,1.59,2452083.0,2568081.0,10156327.0,7,1.66,265.2699890136719,Weak
LULU,2025-09-04,15476700,5.07,99.3,6.31,1.52,2452083.0,2568081.0,10156327.0,7,1.66,206.08999633789065,Weak
LULU,2025-09-05,36736100,13.35,100.0,14.98,3.62,2452083.0,2568081.0,10156327.0,7,1.66,167.8000030517578,Strong
ROP,2024-07-24,2064400,6.44,100.0,3.72,1.64,554988.0,234417.0,1258238.0,5,1.19,528.8484497070312,Weak
ROP,2024-09-20,1507100,4.06,99.3,2.72,1.2,554988.0,234417.0,1258238.0,5,1.19,554.7654418945312,Weak
ROP,2024-12-20,1742100,5.06,99.8,3.14,1.38,554988.0,234417.0,1258238.0,5,1.19,523.04638671875,Weak
ROP,2025-04-04,1672600,4.77,99.5,3.01,1.33,554988.0,234417.0,1258238.0,5,1.19,541.01025390625,Weak
ROP,2025-08-20,1337500,3.34,99.0,2.41,1.06,554988.0,234417.0,1258238.0,5,1.19,540.52001953125,Weak
LIN,2024-03-15,33347400,18.24,100.0,17.08,4.69,1952787.0,1721306.0,7116706.0,1,0.24,460.9432067871094,Very Strong
FANG,2024-02-12,7276300,4.66,99.0,3.56,1.34,2044137.0,1123701.0,5415239.0,7,1.66,155.58132934570312,Weak
FANG,2024-09-20,7855300,5.17,99.8,3.84,1.45,2044137.0,1123701.0,5415239.0,7,1.66,176.34022521972656,Weak
FANG,2024-10-08,10794600,7.79,100.0,5.28,1.99,2044137.0,1123701.0,5415239.0,7,1.66,188.781478881836,Weak
FANG,2024-12-20,7837400,5.16,99.5,3.83,1.45,2044137.0,1123701.0,5415239.0,7,1.66,151.7003173828125,Weak
FANG,2025-03-21,7798100,5.12,99.3,3.81,1.44,2044137.0,1123701.0,5415239.0,7,1.66,156.28106689453125,Weak
FANG,2025-04-04,5425100,3.01,98.6,2.65,1.0,2044137.0,1123701.0,5415239.0,7,1.66,121.64286041259766,Weak
FANG,2025-04-07,5480200,3.06,98.8,2.68,1.01,2044137.0,1123701.0,5415239.0,7,1.66,122.78662109375,Weak
VRTX,2024-02-06,4504000,3.41,98.8,3.21,1.09,1402610.0,909794.0,4131990.0,6,1.43,416.1300048828125,Weak
VRTX,2024-12-19,8207400,7.48,99.8,5.85,1.99,1402610.0,909794.0,4131990.0,6,1.43,396.6400146484375,Weak
VRTX,2024-12-20,6203100,5.28,99.3,4.42,1.5,1402610.0,909794.0,4131990.0,6,1.43,397.2699890136719,Weak
VRTX,2025-05-06,8000700,7.25,99.5,5.7,1.94,1402610.0,909794.0,4131990.0,6,1.43,450.0299987792969,Weak
VRTX,2025-08-05,10729400,10.25,100.0,7.65,2.6,1402610.0,909794.0,4131990.0,6,1.43,374.9800109863281,Moderate
VRTX,2025-08-06,4726600,3.65,99.0,3.37,1.14,1402610.0,909794.0,4131990.0,6,1.43,385.6499938964844,Weak
SNPS,2024-01-16,3495800,3.09,98.3,2.9,1.02,1206727.0,740121.0,3427090.0,8,1.9,509.6799926757813,Weak
SNPS,2024-12-05,5081500,5.24,99.5,4.21,1.48,1206727.0,740121.0,3427090.0,8,1.9,515.2899780273438,Weak
SNPS,2025-05-28,4806200,4.86,99.3,3.98,1.4,1206727.0,740121.0,3427090.0,8,1.9,462.4299926757813,Weak
SNPS,2025-05-29,4314300,4.2,99.0,3.58,1.26,1206727.0,740121.0,3427090.0,8,1.9,454.989990234375,Weak
SNPS,2025-07-14,5084300,5.24,99.8,4.21,1.48,1206727.0,740121.0,3427090.0,8,1.9,549.530029296875,Weak
SNPS,2025-07-16,7936000,9.09,100.0,6.58,2.32,1206727.0,740121.0,3427090.0,8,1.9,571.2000122070312,Moderate
SNPS,2025-07-17,3621100,3.26,98.6,3.0,1.06,1206727.0,740121.0,3427090.0,8,1.9,589.010009765625,Weak
SNPS,2025-07-18,3682300,3.34,98.8,3.05,1.07,1206727.0,740121.0,3427090.0,8,1.9,584.760009765625,Weak
INTU,2024-05-24,4252600,3.96,99.3,2.73,1.18,1556000.0,680972.0,3598916.0,8,1.9,602.2623291015625,Weak
INTU,2024-06-21,3682500,3.12,98.3,2.37,1.02,1556000.0,680972.0,3598916.0,8,1.9,627.2265014648438,Weak
INTU,2024-08-23,4113400,3.76,99.0,2.64,1.14,1556000.0,680972.0,3598916.0,8,1.9,615.8743896484375,Weak
INTU,2025-02-26,4674200,4.58,99.5,3.0,1.3,1556000.0,680972.0,3598916.0,8,1.9,623.5755615234375,Weak
INTU,2025-05-23,5327700,5.54,99.8,3.42,1.48,1556000.0,680972.0,3598916.0,8,1.9,719.1568603515625,Weak
INTU,2025-05-27,4079800,3.71,98.8,2.62,1.13,1556000.0,680972.0,3598916.0,8,1.9,750.94384765625,Weak
INTU,2025-08-22,6368800,7.07,100.0,4.09,1.77,1556000.0,680972.0,3598916.0,8,1.9,662.6599731445312,Weak
INTU,2025-08-26,3762900,3.24,98.6,2.42,1.05,1556000.0,680972.0,3598916.0,8,1.9,659.5399780273438,Weak
MSFT,2024-01-31,47871100,3.43,97.6,2.25,1.08,21257853.0,7751306.0,44511770.0,12,2.85,393.11761474609375,Weak
MSFT,2024-03-15,45079900,3.07,97.4,2.12,1.01,21257853.0,7751306.0,44511770.0,12,2.85,412.507568359375,Weak
MSFT,2024-05-31,47995300,3.45,97.9,2.26,1.08,21257853.0,7751306.0,44511770.0,12,2.85,411.9714050292969,Weak
MSFT,2024-09-20,55167100,4.37,99.5,2.6,1.24,21257853.0,7751306.0,44511770.0,12,2.85,432.73675537109375,Weak
MSFT,2024-10-31,53971000,4.22,99.0,2.54,1.21,21257853.0,7751306.0,44511770.0,12,2.85,403.9850769042969,Weak
MSFT,2024-12-20,64263700,5.55,100.0,3.02,1.44,21257853.0,7751306.0,44511770.0,12,2.85,434.9278564453125,Weak
MSFT,2025-01-30,54586300,4.3,99.3,2.57,1.23,21257853.0,7751306.0,44511770.0,12,2.85,413.4006042480469,Weak
MSFT,2025-04-04,49209900,3.61,98.1,2.31,1.11,21257853.0,7751306.0,44511770.0,12,2.85,359.1806030273437,Weak
MSFT,2025-04-07,50425000,3.76,98.6,2.37,1.13,21257853.0,7751306.0,44511770.0,12,2.85,357.2042236328125,Weak
MSFT,2025-04-09,50199700,3.73,98.3,2.36,1.13,21257853.0,7751306.0,44511770.0,12,2.85,389.7744140625,Weak
MSFT,2025-05-01,58938100,4.86,99.8,2.77,1.32,21257853.0,7751306.0,44511770.0,12,2.85,424.6204528808594,Weak
MSFT,2025-07-31,51617300,3.92,98.8,2.43,1.16,21257853.0,7751306.0,44511770.0,12,2.85,533.5,Weak
AMGN,2024-02-07,8411300,3.79,98.8,3.09,1.16,2725866.0,1500250.0,7226617.0,6,1.43,282.3949890136719,Weak
AMGN,2024-03-15,8795800,4.05,99.0,3.23,1.22,2725866.0,1500250.0,7226617.0,6,1.43,258.6308288574219,Weak
AMGN,2024-05-03,9644700,4.61,99.3,3.54,1.33,2725866.0,1500250.0,7226617.0,6,1.43,299.4353942871094,Weak
AMGN,2024-11-26,17010300,9.52,100.0,6.24,2.35,2725866.0,1500250.0,7226617.0,6,1.43,275.33270263671875,Moderate
AMGN,2024-12-20,13687600,7.31,99.8,5.02,1.89,2725866.0,1500250.0,7226617.0,6,1.43,258.9804992675781,Weak
AMGN,2025-03-21,9995000,4.85,99.5,3.67,1.38,2725866.0,1500250.0,7226617.0,6,1.43,313.2715148925781,Weak
IDXX,2024-10-31,2006400,4.49,99.5,3.4,1.31,589342.0,315650.0,1536292.0,7,1.66,406.9200134277344,Weak
IDXX,2025-01-27,1876200,4.08,99.3,3.18,1.22,589342.0,315650.0,1536292.0,7,1.66,427.5199890136719,Weak
IDXX,2025-04-04,1635600,3.31,98.6,2.78,1.06,589342.0,315650.0,1536292.0,7,1.66,393.7300109863281,Weak
IDXX,2025-04-07,1818000,3.89,98.8,3.08,1.18,589342.0,315650.0,1536292.0,7,1.66,378.989990234375,Weak
IDXX,2025-04-09,2190300,5.07,99.8,3.72,1.43,589342.0,315650.0,1536292.0,7,1.66,397.1000061035156,Weak
IDXX,2025-08-04,3331900,8.69,100.0,5.65,2.17,589342.0,315650.0,1536292.0,7,1.66,682.780029296875,Moderate
IDXX,2025-08-05,1870200,4.06,99.0,3.17,1.22,589342.0,315650.0,1536292.0,7,1.66,641.9400024414062,Weak
MSTR,2024-03-04,54250000,3.52,99.0,3.11,1.11,17443375.0,10450257.0,48794146.0,7,1.66,133.4010009765625,Weak
MSTR,2024-03-05,57366000,3.82,99.5,3.29,1.18,17443375.0,10450257.0,48794146.0,7,1.66,105.10099792480467,Weak
MSTR,2024-03-14,49868000,3.1,98.6,2.86,1.02,17443375.0,10450257.0,48794146.0,7,1.66,167.68499755859375,Weak
MSTR,2024-11-19,50954500,3.21,98.8,2.92,1.04,17443375.0,10450257.0,48794146.0,7,1.66,430.5400085449219,Weak
MSTR,2024-11-20,70212600,5.05,99.8,4.03,1.44,17443375.0,10450257.0,48794146.0,7,1.66,473.8299865722656,Weak
MSTR,2024-11-21,100444000,7.94,100.0,5.76,2.06,17443375.0,10450257.0,48794146.0,7,1.66,397.2799987792969,Weak
MSTR,2024-11-22,55935000,3.68,99.3,3.21,1.15,17443375.0,10450257.0,48794146.0,7,1.66,421.8800048828125,Weak
TMUS,2024-03-15,9849300,3.26,98.8,2.28,1.05,4318270.0,1698061.0,9412454.0,6,1.43,158.97283935546875,Weak
TMUS,2024-06-12,10923100,3.89,99.0,2.53,1.16,4318270.0,1698061.0,9412454.0,6,1.43,171.39541625976562,Weak
TMUS,2024-06-21,12269700,4.68,99.3,2.84,1.3,4318270.0,1698061.0,9412454.0,6,1.43,174.29490661621094,Weak
TMUS,2024-09-20,12281900,4.69,99.5,2.84,1.3,4318270.0,1698061.0,9412454.0,6,1.43,197.3330841064453,Weak
TMUS,2025-04-25,13561400,5.44,100.0,3.14,1.44,4318270.0,1698061.0,9412454.0,6,1.43,231.9140167236328,Weak
TMUS,2025-06-17,12423600,4.77,99.8,2.88,1.32,4318270.0,1698061.0,9412454.0,6,1.43,221.42999267578125,Weak
BIIB,2024-02-13,3403600,3.38,98.8,2.52,1.07,1352144.0,606395.0,3171329.0,10,2.38,226.6499938964844,Weak
BIIB,2024-04-24,3265700,3.16,98.3,2.42,1.03,1352144.0,606395.0,3171329.0,10,2.38,201.9900054931641,Weak
BIIB,2024-09-20,3833500,4.09,99.8,2.84,1.21,1352144.0,606395.0,3171329.0,10,2.38,199.3600006103516,Weak
BIIB,2024-11-14,3210600,3.06,97.9,2.37,1.01,1352144.0,606395.0,3171329.0,10,2.38,164.88999938964844,Weak
BIIB,2024-12-20,5776200,7.3,100.0,4.27,1.82,1352144.0,606395.0,3171329.0,10,2.38,146.47000122070312,Weak
BIIB,2025-02-12,3538200,3.61,99.3,2.62,1.12,1352144.0,606395.0,3171329.0,10,2.38,133.42999267578125,Weak
BIIB,2025-03-21,3437600,3.44,99.0,2.54,1.08,1352144.0,606395.0,3171329.0,10,2.38,140.89999389648438,Weak
BIIB,2025-04-09,3321400,3.25,98.6,2.46,1.05,1352144.0,606395.0,3171329.0,10,2.38,120.48999786376952,Weak
BIIB,2025-05-30,3640000,3.77,99.5,2.69,1.15,1352144.0,606395.0,3171329.0,10,2.38,129.7899932861328,Weak
BIIB,2025-07-31,3239700,3.11,98.1,2.4,1.02,1352144.0,606395.0,3171329.0,10,2.38,128.0,Weak
QCOM,2024-01-31,21184200,3.27,97.4,2.44,1.05,8675718.0,3824351.0,20148771.0,12,2.85,143.991943359375,Weak
QCOM,2024-02-01,22810600,3.7,98.6,2.63,1.13,8675718.0,3824351.0,20148771.0,12,2.85,136.8170928955078,Weak
QCOM,2024-05-02,25894800,4.5,99.8,2.98,1.29,8675718.0,3824351.0,20148771.0,12,2.85,175.5078887939453,Weak
QCOM,2024-06-18,22037500,3.49,97.9,2.54,1.09,8675718.0,3824351.0,20148771.0,12,2.85,222.2066650390625,Weak
QCOM,2024-06-21,22286500,3.56,98.3,2.57,1.11,8675718.0,3824351.0,20148771.0,12,2.85,207.9597625732422,Weak
QCOM,2024-08-01,24795000,4.21,99.5,2.86,1.23,8675718.0,3824351.0,20148771.0,12,2.85,160.47335815429688,Weak
QCOM,2024-09-20,27546400,4.93,100.0,3.18,1.37,8675718.0,3824351.0,20148771.0,12,2.85,166.14173889160156,Weak
QCOM,2024-11-07,23586300,3.9,99.0,2.72,1.17,8675718.0,3824351.0,20148771.0,12,2.85,170.06610107421875,Weak
QCOM,2025-04-09,21242600,3.29,97.6,2.45,1.05,8675718.0,3824351.0,20148771.0,12,2.85,142.73260498046875,Weak
QCOM,2025-05-01,22836600,3.7,98.8,2.63,1.13,8675718.0,3824351.0,20148771.0,12,2.85,134.40264892578125,Weak
QCOM,2025-06-27,22100300,3.51,98.1,2.55,1.1,8675718.0,3824351.0,20148771.0,12,2.85,158.5399932861328,Weak
QCOM,2025-07-31,24440100,4.12,99.3,2.82,1.21,8675718.0,3824351.0,20148771.0,12,2.85,146.75999450683594,Weak
ADP,2024-01-31,4436100,3.5,99.8,2.64,1.1,1681856.0,786137.0,4040267.0,3,0.71,238.0357818603516,Weak
ADP,2024-03-15,11912100,13.01,100.0,7.08,2.95,1681856.0,786137.0,4040267.0,3,0.71,235.81643676757807,Strong
ADP,2024-12-20,4165800,3.16,99.5,2.48,1.03,1681856.0,786137.0,4040267.0,3,0.71,291.007568359375,Weak
CEG,2024-06-28,10579100,3.77,98.8,3.28,1.17,3224342.0,1951097.0,9077633.0,9,2.14,198.7003936767578,Weak
CEG,2024-09-20,15031400,6.05,99.8,4.66,1.66,3224342.0,1951097.0,9077633.0,9,2.14,253.45278930664065,Weak
CEG,2024-09-23,10270000,3.61,98.6,3.19,1.13,3224342.0,1951097.0,9077633.0,9,2.14,255.5799865722656,Weak
CEG,2024-11-04,10719400,3.84,99.3,3.32,1.18,3224342.0,1951097.0,9077633.0,9,2.14,224.5966644287109,Weak
CEG,2025-01-10,14707200,5.89,99.5,4.56,1.62,3224342.0,1951097.0,9077633.0,9,2.14,303.83795166015625,Weak
CEG,2025-01-27,16083200,6.59,100.0,4.99,1.77,3224342.0,1951097.0,9077633.0,9,2.14,273.7817077636719,Weak
CEG,2025-01-28,9989300,3.47,98.3,3.1,1.1,3224342.0,1951097.0,9077633.0,9,2.14,277.5648193359375,Weak
CEG,2025-04-04,9358600,3.14,98.1,2.9,1.03,3224342.0,1951097.0,9077633.0,9,2.14,170.5211944580078,Weak
CEG,2025-06-03,10696100,3.83,99.0,3.32,1.18,3224342.0,1951097.0,9077633.0,9,2.14,312.653076171875,Weak
GOOGL,2025-04-07,76794100,3.19,99.3,2.46,1.04,31211039.0,14299144.0,74108470.0,7,1.66,146.5725555419922,Weak
GOOGL,2025-05-07,127490100,6.73,100.0,4.08,1.72,31211039.0,14299144.0,74108470.0,7,1.66,151.19696044921875,Weak
GOOGL,2025-05-22,74864400,3.05,98.6,2.4,1.01,31211039.0,14299144.0,74108470.0,7,1.66,170.66339111328125,Weak
GOOGL,2025-06-20,75659900,3.11,99.0,2.42,1.02,31211039.0,14299144.0,74108470.0,7,1.66,166.63999938964844,Weak
GOOGL,2025-06-27,108140200,5.38,99.8,3.46,1.46,31211039.0,14299144.0,74108470.0,7,1.66,178.52999877929688,Weak
GOOGL,2025-07-24,74881700,3.05,98.8,2.4,1.01,31211039.0,14299144.0,74108470.0,7,1.66,192.1699981689453,Weak
GOOGL,2025-09-03,103336100,5.04,99.5,3.31,1.39,31211039.0,14299144.0,74108470.0,7,1.66,230.66000366210935,Weak
GOOG,2024-04-26,56500800,3.66,99.0,2.63,1.13,21445363.0,9578420.0,50180622.0,6,1.43,172.6636505126953,Weak
GOOG,2024-06-21,58903200,3.91,99.3,2.75,1.17,21445363.0,9578420.0,50180622.0,6,1.43,179.3987579345703,Weak
GOOG,2025-05-07,78729800,5.98,100.0,3.67,1.57,21445363.0,9578420.0,50180622.0,6,1.43,152.61656188964844,Weak
GOOG,2025-06-20,55402600,3.55,98.8,2.58,1.1,21445363.0,9578420.0,50180622.0,6,1.43,167.72999572753906,Weak
GOOG,2025-06-27,74053100,5.49,99.8,3.45,1.48,21445363.0,9578420.0,50180622.0,6,1.43,178.27000427246094,Weak
GOOG,2025-09-03,72250300,5.3,99.5,3.37,1.44,21445363.0,9578420.0,50180622.0,6,1.43,231.1000061035156,Weak
